"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Giannis Antetokounmpo","MIL",67,2047,2.3497818059751596,1.1912789390874354,0.4270622611822881,0.4233511586452763,0.7130124777183601,0.8689839572192514,0.17981568891885816,0.04495392222971454,0,0,0,0.08990784445942908,12.009803921568627
"Khris Middleton","MIL",66,1978,1.790905919292941,1.3529274550968042,0.27991602519244224,0.1391465677179963,0.37105751391465674,0.18552875695732837,0.13995801259622112,0.13995801259622112,0,0,0.023326335432703522,0.023326335432703522,4.243970315398887
"Brook Lopez","MIL",72,1941,2.0478219696969697,2.662862577270566,0.23775558725630053,0.1885902876001886,0.47147571900047147,0.07072135785007072,0.0951022349025202,0,0,0,0,0.23775558725630053,3.253182461103253
"Eric Bledsoe","MIL",65,1749,1.7514270887389725,1.1157239231966787,0.10378827192527244,0.05189413596263622,0.38920601971977165,0.2594706798131811,0.3632589517384536,0.10378827192527244,0,0,0,0,4.929942916450441
"Wesley Matthews","MIL",71,1729,1.484033390751292,1.0071561091969254,0.0795123244102836,0.0794912559618442,0.0794912559618442,0.026497085320614733,0.6360985952822688,0.1590246488205672,0,0,0,0,2.1992580816110228
"Donte DiVincenzo","MIL",70,1575,1.7038007863695936,1.4244186046511629,0.0872093023255814,0.2626203676685147,0.17508024511234316,0.17508024511234316,0.5813953488372093,0.029069767441860465,0,0,0,0,2.918004085205719
"George Hill","MIL",63,1360,1.5754847645429362,1.5256588072122053,0.13869625520110956,0.1037344398340249,0.034578146611341634,0.1037344398340249,0.624133148404993,0.13869625520110956,0,0,0.03467406380027739,0,3.699861687413555
"Pat Connaughton","MIL",71,1331,1.318986463033669,1.6574585635359116,0.034530386740331494,0.17445917655268667,0,0.034891835310537335,0.27624309392265195,0,0,0,0,0,1.465457083042568
"Kyle Korver","MIL",62,1023,1.8432156340217634,2.007136485280999,0.1784121320249777,0.044228217602830605,0.30959752321981426,0,0.1784121320249777,0.26761819803746656,0,0,0,0,1.8575851393188854
"Ersan Ilyasova","MIL",65,997,2.2314239705544052,2.4345429490124024,0.3674781809830041,0.3686635944700461,0.18433179723502305,0.04608294930875576,0.41341295360587965,0.41341295360587965,0,0,0,0,3.7327188940092166
"Robin Lopez","MIL",69,979,2.3261333966294804,2.6848798869524257,0.3297220913801225,0.3827751196172249,1.0047846889952152,0.19138755980861244,0.18841262364578426,0.047103155911446065,0,0,0,0.23551577955723033,2.9186602870813396
"Sterling Brown","MIL",53,770,1.6129032258064515,1.6196760647870425,0.23995200959808038,0.1189767995240928,0.297441998810232,0.1189767995240928,0.059988002399520096,0.059988002399520096,0,0,0,0,2.1415823914336705
"Marvin Williams","MIL",21,375,2.291021671826625,1.838235294117647,0.24509803921568626,0.1251564455569462,0.1251564455569462,0.1251564455569462,0,0.24509803921568626,0,0,0,0,1.376720901126408
"D.J. Wilson","MIL",37,363,2.0846493998736575,2.6582278481012658,0,0.37831021437578816,0.25220680958385877,0,0.12658227848101267,0.25316455696202533,0,0,0,0,2.5220680958385877
"Thanasis Antetokounmpo","MIL",20,129,3.1523642732049035,2.097902097902098,1.048951048951049,0.3508771929824561,0.7017543859649122,0.7017543859649122,0.34965034965034963,0,0,0,0,0,5.2631578947368425
"Frank Mason","MIL",10,118,2.1032504780114722,1.9305019305019304,0.3861003861003861,0,0.3787878787878788,0,0,0,0,0,0,0,4.924242424242424
"Dragan Bender","MIL",7,91,4.071246819338422,6.63265306122449,1.0204081632653061,0,0,0,0,0,0,0,0,0,2.5380710659898478
