"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Josh Okogie","MIN",62,1547,2.079904234625168,1.7035265989240884,0.08965929468021518,0.1498351813005694,0.17980221756068324,0.17980221756068324,0.4781829049611476,0.08965929468021518,0,0,0,0,4.375187293976626
"Jarrett Culver","MIN",63,1506,1.9364833462432223,2.136884484360483,0.18581604211830288,0.15499070055796652,0.21698698078115314,0.24798512089274644,0.09290802105915144,0.03096934035305048,0,0,0,0.03096934035305048,2.9448233106013637
"Andrew Wiggins","MIN",42,1455,1.638280616382806,2.207075624797144,0.03245699448231094,0.09727626459143969,0.2918287937743191,0.1621271076523995,0.03245699448231094,0,0,0,0,0,5.188067444876784
"Robert Covington","MIN",48,1411,2.48072410325176,2.3865546218487395,0.10084033613445378,0.2340354396522902,0.1671681711802073,0.06686726847208292,0.23529411764705882,0.20168067226890757,0,0,0,0,3.1761952524239385
"Karl-Anthony Towns","MIN",35,1187,2.303603071470762,2.0166073546856467,0.3163305654408857,0.7843137254901961,0.7058823529411765,0.39215686274509803,0.15816528272044286,0.11862396204033215,0,0,0,0,7.490196078431373
"Jeff Teague","MIN",34,945,1.7382666997765086,1.694915254237288,0.09970089730807577,0.04948045522018803,0.09896091044037605,0.09896091044037605,0.19940179461615154,0.14955134596211367,0,0,0,0,5.047006432459178
"Shabazz Napier","MIN",36,856,1.700960219478738,0.9863013698630136,0.1095890410958904,0.16483516483516483,0.054945054945054944,0.054945054945054944,0.6027397260273972,0.1095890410958904,0,0,0,0,4.725274725274725
"Gorgui Dieng","MIN",46,778,2.7426810477657937,2.808302808302808,0.6105006105006106,0.6222775357809583,0.37336652146857496,0.06222775357809583,0.3052503052503053,0.6715506715506715,0,0,0,0.06105006105006105,4.4803982576229
"Treveon Graham","MIN",33,663,2.3622047244094486,2.066999287241625,0.4276550249465431,0.21567217828900073,0.07189072609633357,0,0.5702066999287242,0.2851033499643621,0,0,0,0,3.01941049604601
"Keita Bates-Diop","MIN",37,646,1.3109978150036417,1.597676107480029,0.14524328249818447,0.2921840759678597,0,0.14609203798392986,0,0,0,0,0,0.07262164124909223,3.214024835646457
"Jordan McLaughlin","MIN",30,590,1.2152097216777735,1.335428122545169,0,0.1564945226917058,0,0.1564945226917058,0.3927729772191673,0,0,0,0,0,3.677621283255086
"Jake Layman","MIN",23,505,2.088888888888889,1.8683274021352314,0.35587188612099646,0.2664298401420959,0.2664298401420959,0.08880994671403197,0.17793594306049823,0.17793594306049823,0,0,0,0,2.575488454706927
"Naz Reid","MIN",30,495,3.9058823529411764,5.09915014164306,0.4721435316336166,0.7504690431519699,0.28142589118198874,0.09380863039399624,0.28328611898017,0.09442870632672333,0,0,0,0.09442870632672333,4.5966228893058165
"Kelan Martin","MIN",31,495,2.367688022284123,2.968460111317254,0,0.09293680297397769,0.09293680297397769,0.09293680297397769,0.18552875695732837,0,0,0,0,0,2.323420074349442
"Malik Beasley","MIN",14,463,1.3392857142857142,1.3916500994035785,0.09940357852882704,0,0.09900990099009901,0.09900990099009901,0.09940357852882704,0.09940357852882704,0,0,0,0,2.4752475247524752
"Juancho Hernangomez","MIN",14,411,1.9315673289183224,1.3259668508287292,0.4419889502762431,0.5512679162072768,0.11025358324145534,0.2205071664829107,0.4419889502762431,0.11049723756906077,0,0,0,0,4.74090407938258
"D'Angelo Russell","MIN",12,392,1.261467889908257,1.4891179839633448,0.1145475372279496,0,0.2296211251435132,0,0,0.2290950744558992,0,0,0,0.1145475372279496,5.1664753157290475
"Noah Vonleh","MIN",29,347,2.401601067378252,2.2666666666666666,0.5333333333333333,0.40053404539385845,0.8010680907877169,0.13351134846461948,0.13333333333333333,0,0,0,0,0.26666666666666666,3.871829105473965
"James Johnson","MIN",14,338,3.044341495698213,3.5526315789473686,0,0,0.3994673768308921,0,0,0,0,0,0,0,2.796271637816245
"Jordan Bell","MIN",27,235,1.6881827209533267,2.1782178217821784,0,0.796812749003984,0.199203187250996,0,0,0.594059405940594,0,0,0,0,4.382470119521912
"Jaylen Nowell","MIN",15,151,1.661631419939577,2.735562310030395,0,0,0,0,0.60790273556231,0,0,0,0,0,3.3033033033033035
"Allen Crabbe","MIN",9,131,1.8644067796610169,2.0202020202020203,0,0,0,0,0,0,0,0,0,0,0.6825938566552902
"Jarred Vanderbilt","MIN",2,5,0,0,0,0,0,0,0,0,0,0,0,0,9.090909090909092
"Jacob Evans","MIN",2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
