"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Jrue Holiday","NOP",61,2117,1.5997352162400706,1.2364760432766615,0.044159858688452194,0.08820286659316427,0.1543550165380375,0.06615214994487321,0.5299183042614264,0.022079929344226097,0,0,0,0.022079929344226097,3.7045203969128995
"Brandon Ingram","NOP",62,2104,1.97136563876652,1.5897549127842792,0.1324795760653566,0.2856515051637003,0.4834102395078005,0.2856515051637003,0.2870390814749393,0.11039964672113049,0,0,0,0.08831971737690439,6.855636123928807
"Lonzo Ball","NOP",63,2025,1.4704192992533027,1.5416474919466177,0.06902899217671422,0.20646937370956642,0.1605872906629961,0.13764624913971094,0.16106764841233318,0,0,0,0,0,1.8352833218628126
"Josh Hart","NOP",65,1755,2.128508713582546,1.8592297476759627,0.13280212483399734,0.2931769722814499,0.026652452025586353,0.21321961620469082,0.1593625498007968,0.02656042496679947,0,0,0.02656042496679947,0,2.718550106609808
"JJ Redick","NOP",60,1581,1.3977868375072802,1.4314928425357873,0.029214139643587496,0.05805515239477504,0.11611030478955008,0,0.23371311714869997,0.40899795501022496,0,0,0,0,4.615384615384615
"Derrick Favors","NOP",51,1243,2.0169651272384543,2.6037735849056602,0.33962264150943394,0.5649717514124294,0.263653483992467,0.18832391713747645,0.07547169811320754,0.03773584905660377,0,0,0,0.07547169811320754,2.975517890772128
"Jaxson Hayes","NOP",64,1080,3.413186347254611,4.230118443316413,0.4653130287648054,0.5949851253718657,0.8074798130046749,0.21249468763280918,0.25380710659898476,0.1692047377326565,0,0,0,0.12690355329949238,6.162345941351466
"Nicolo Melli","NOP",60,1042,2.815622161671208,3.2861706983112735,0.22820629849383842,0.49706281066425667,0.13556258472661545,0.0903750564844103,0.5020538566864445,0.045641259698767686,0,0,0,0,4.292815183009489
"E'Twaun Moore","NOP",56,1020,1.8522806205140079,1.5733456732993985,0.2776492364645997,0.09267840593141798,0.13901760889712697,0.09267840593141798,0.09254974548819991,0.09254974548819991,0,0,0,0,1.8999073215940685
"Kenrich Williams","NOP",39,832,2.5092671799258626,2.6210826210826212,0.45584045584045585,0.17123287671232876,0.05707762557077625,0.1141552511415525,0.5698005698005698,0.3418803418803419,0,0,0,0.11396011396011396,1.9977168949771689
"Frank Jackson","NOP",59,797,2.2126436781609193,2.0080321285140563,0.2868617326448652,0.17271157167530224,0.4029936672423719,0.28785261945883706,0.2868617326448652,0.05737234652897304,0,0,0,0,3.454231433506045
"Zion Williamson","NOP",24,668,1.4497756299620297,1.1049723756906078,0.06906077348066299,0.2070393374741201,0.2070393374741201,0.4140786749482402,0.20718232044198895,0.06906077348066299,0,0,0,0.06906077348066299,9.178743961352657
"Nickeil Alexander-Walker","NOP",47,591,2.2673031026252985,2.6148969889064975,0,0,0,0.23961661341853036,0.9508716323296355,0.23771790808240886,0,0,0,0,3.6741214057507987
"Jahlil Okafor","NOP",30,467,3.42360756259581,3.673469387755102,0.5102040816326531,0.7164790174002047,1.330603889457523,0.3070624360286592,0,0,0,0,0,0.10204081632653061,6.24360286591607
"Zylan Cheatham","NOP",4,51,4.545454545454546,4.504504504504505,0,0,0.9174311926605505,0,0,0,0,0,0,0,0
"Sindarius Thornwell","NOP",2,35,1.3986013986013985,1.3888888888888888,0,0,1.408450704225352,0,0,0,0,0,0,0,2.816901408450704
"Josh Gray","NOP",2,23,1.075268817204301,2.1739130434782608,0,0,0,0,0,0,0,0,0,0,2.127659574468085
