"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Julius Randle","NYK",64,2080,2.10054283691291,1.7229171583667688,0.25961765400047204,0.35402407363700733,0.49563370309181026,0.401227283455275,0.16521123436393675,0,0,0,0,0,6.561246164739202
"RJ Barrett","NYK",56,1704,1.7396264080992443,1.6528925619834711,0.17098888572242804,0.08561643835616438,0.3710045662100457,0.05707762557077625,0.2564833285836421,0.05699629524080935,0,0,0,0,5.565068493150685
"Mitchell Robinson","NYK",61,1412,3.361053361053361,4.178176795580111,0.20718232044198895,0.6258692628650904,0.48678720445062584,0,0.10359116022099447,0.034530386740331494,0,0,0,0.06906077348066299,4.589707927677329
"Bobby Portis","NYK",66,1393,1.9213973799126638,1.7825934987766516,0.3145753233135267,0.27932960893854747,0.5935754189944135,0.10474860335195531,0.10485844110450891,0.03495281370150297,0,0,0,0.10485844110450891,3.107541899441341
"Marcus Morris Sr.","NYK",43,1387,2.288575004469873,2.1451555237754736,0.14301036825169824,0.3218884120171674,0.3218884120171674,0.2503576537911302,0.07150518412584912,0.14301036825169824,0,0,0,0,5.185979971387697
"Elfrid Payton","NYK",45,1246,1.7372633222721061,1.484375,0.078125,0.03901677721420211,0.07803355442840422,0.03901677721420211,0.2734375,0,0,0,0,0,3.004291845493562
"Frank Ntilikina","NYK",57,1187,2.968848003345181,2.085070892410342,0.16680567139282734,0.08385744234800839,0.08385744234800839,0.20964360587002095,0.6672226855713094,0.2085070892410342,0,0,0,0.041701417848206836,2.9350104821802936
"Kevin Knox II","NYK",65,1166,2.189630241685602,2.315963606286187,0.45492142266335817,0.1650846058605035,0.12381345439537764,0.28889806025588116,0.0827129859387924,0,0,0,0,0.0413564929693962,3.342963268675196
"Taj Gibson","NYK",62,1025,2.9611650485436893,2.7184466019417477,0.6310679611650486,0.5339805825242718,0.8737864077669902,0.04854368932038835,0.14563106796116504,0,0,0,0,0.24271844660194175,2.9611650485436893
"Damyean Dotson","NYK",48,836,1.2764722947490572,1.6213086276780544,0.11580775911986103,0,0.05813953488372093,0,0.11580775911986103,0.17371163867979156,0,0,0,0,1.627906976744186
"Reggie Bullock","NYK",29,684,2.0114942528735633,1.7972681524083394,0,0,0.07178750897343862,0,0.21567217828900073,0.21567217828900073,0,0,0,0,1.722900215362527
"Wayne Ellington","NYK",36,558,1.823032458870609,1.7777777777777777,0.17777777777777778,0.17793594306049823,0.2669039145907473,0,0.26666666666666666,0,0,0,0,0,1.9572953736654803
"Dennis Smith Jr.","NYK",34,537,2.9585798816568047,2.917046490428441,0.27347310847766637,0,0.2727272727272727,0.09090909090909091,0.45578851412944393,0.09115770282588878,0,0,0,0,4.636363636363637
"Allonzo Trier","NYK",24,291,2.390766694146744,1.644736842105263,0,0,0.6611570247933884,0,0.32894736842105265,0,0,0,0.32894736842105265,0,4.628099173553719
"Maurice Harkless","NYK",12,286,2.3313905079100747,3.482587064676617,0,0,0,0.33444816053511706,0.16583747927031509,0,0,0,0,0,2.3411371237458196
"Kadeem Allen","NYK",10,117,1.4344262295081966,0.823045267489712,0,1.2244897959183674,0.40816326530612246,0,0,0.411522633744856,0,0,0,0,2.857142857142857
"Ignas Brazdeikis","NYK",9,53,1.4492753623188406,2.857142857142857,0,0,0,0,0,0,0,0,0,0,2.9411764705882355
