"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Shai Gilgeous-Alexander","OKC",74,2593,1.172909572455543,1.0993176648976497,0.0758150113722517,0.09441087613293052,0.22658610271903323,0.0755287009063444,0.1326762699014405,0.03790750568612585,0,0,0,0.03790750568612585,6.1555891238670695
"Chris Paul","OKC",74,2359,1.8002081165452652,0.9619406106231703,0.27185278126306983,0.22783761391880697,0.22783761391880697,0.041425020712510356,0.1463822668339607,0.0836470096194061,0,0,0,0,5.364540182270091
"Dennis Schroder","OKC",69,2133,1.7715194185782421,1.1136363636363635,0.1590909090909091,0.06808896958692692,0.29505220154335,0.11348161597821153,0.2727272727272727,0.29545454545454547,0,0,0.022727272727272728,0.022727272727272728,4.925102133454381
"Danilo Gallinari","OKC",66,1969,1.0255127563781892,0.7802668009061163,0.05033979360684621,0.12428535918468804,0.2734277902063137,0.12428535918468804,0.12584948401711554,0.2516989680342311,0,0,0,0.025169896803423106,6.1894108873974645
"Steven Adams","OKC",67,1800,1.7786290874264605,1.7250821467688937,0.547645125958379,0.7656549083948592,0.5468963631391851,0.08203445447087777,0.054764512595837894,0.08214676889375684,0,0,0,0.054764512595837894,6.015859994531036
"Terrance Ferguson","OKC",58,1276,3.0450907671286354,2.6049766718506997,0.2332814930015552,0.07840062720501764,0.11760094080752646,0.11760094080752646,0.6998444790046656,0,0,0,0,0,1.5680125441003527
"Darius Bazley","OKC",65,1193,1.1627906976744187,1.3398294762484775,0.04060089321965083,0.04100041000410004,0.08200082000820008,0.2870028700287003,0.2842062525375558,0,0,0,0,0.08120178643930166,2.0500205002050023
"Nerlens Noel","OKC",65,1180,3.682778824021762,3.854210305823209,0.6702974444909929,0.8361204013377926,0.459866220735786,0.08361204013377926,0.33514872224549647,0.2932551319648094,0,0,0,0,4.682274247491639
"Luguentz Dort","OKC",39,917,2.9356818788364025,2.610548748002131,0.37293553542887586,0.21390374331550802,0,0.16042780748663102,1.1188066062866275,0.3196590303676079,0,0,0,0,4.171122994652406
"Hamidou Diallo","OKC",48,914,2.655798054167762,2.4671916010498687,0.4199475065616798,0.2107481559536354,0.31612223393045313,0.36880927291886195,0.9448818897637795,0.05249343832020997,0,0,0,0.05249343832020997,3.4773445732349844
"Abdel Nader","OKC",57,879,2.185338865836791,2.2172949002217295,0.22172949002217296,0.27609055770292656,0.11043622308117063,0.27609055770292656,0.11086474501108648,0,0,0,0,0,2.70568746548868
"Mike Muscala","OKC",48,584,2.3983739837398375,3.2626427406199023,0.4078303425774878,0.7293354943273906,0.4051863857374392,0.1620745542949757,0.4078303425774878,0.1631321370309951,0,0,0,0,3.2414910858995136
"Deonte Burton","OKC",40,358,2.2121014964216004,2.3346303501945527,0.38910505836575876,0.5221932114882507,0.26109660574412535,0.13054830287206268,0,0.1297016861219196,0,0,0,0,2.088772845953003
"Andre Roberson","OKC",8,90,3.6363636363636362,4.123711340206185,0,0,0,0,1.0309278350515463,0,0,0,0,0,1.5706806282722514
"Devon Hall","OKC",11,81,1.639344262295082,1.092896174863388,0.546448087431694,1.092896174863388,0,0.546448087431694,0,0.546448087431694,0,0,0,0,4.918032786885246
"Kevin Hervey","OKC",10,52,1.694915254237288,1.7094017094017093,0.8547008547008547,0.8403361344537815,0,0,0,0,0,0,0,0,0.8403361344537815
"Justin Patton","OKC",5,24,3.5714285714285716,3.5714285714285716,0,0,1.7857142857142858,0,0,0,0,0,0,0,0
"Isaiah Roby","OKC",3,11,1.9230769230769231,0,0,0,0,0,0,0,0,0,0,0,0
