"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Evan Fournier","ORL",70,2213,1.8749310687107092,1.2342957901697156,0.08816398501212255,0.13245033112582782,0.2869757174392936,0.13245033112582782,0.28653295128939826,0.11020498126515318,0,0,0,0,4.083885209713024
"Nikola Vucevic","ORL",66,2144,1.6589023974548347,2.048247610377788,0.13654984069185253,0.3176764238711141,0.2269117313365101,0.04538234626730202,0.06827492034592626,0,0,0,0,0.06827492034592626,3.8801906058543225
"Markelle Fultz","ORL",76,2111,1.8271661686968512,1.5603487838458008,0.11473152822395594,0.13812154696132597,0.2532228360957643,0.16114180478821363,0.18357044515832951,0.04589261128958238,0,0,0,0,3.476058931860037
"Aaron Gordon","ORL",62,2017,1.5245761678253447,1.3385251886103675,0.17035775127768313,0.26894865525672373,0.293398533007335,0.17114914425427874,0.12168410805548795,0.02433682161109759,0,0,0,0.02433682161109759,5.012224938875305
"Terrence Ross","ORL",73,2001,1.4391999024271254,1.3190034196384954,0.07327796775769418,0.024360535931790498,0.19488428745432398,0.1705237515225335,0.024425989252564728,0,0,0,0.024425989252564728,0,3.069427527405603
"D.J. Augustin","ORL",61,1524,1.2399355877616747,0.7436146136437116,0.032331070158422244,0.03208213025344883,0.4170676932948348,0,0.3879728419010669,0.09699321047526673,0,0,0,0,5.0368944497914665
"Wes Iwundu","ORL",56,1014,2.0299661672305462,1.5988372093023255,0.14534883720930233,0.19286403085824494,0.19286403085824494,0.048216007714561235,0.04844961240310078,0.04844961240310078,0,0,0.04844961240310078,0,3.0376084860173576
"Khem Birch","ORL",52,992,2.449282533399307,2.570439940682155,0.6426099851705388,0.4952947003467063,0.4457652303120357,0.1981178801386825,0.049431537320810674,0.3460207612456747,0,0,0,0.09886307464162135,4.358593363051015
"Jonathan Isaac","ORL",34,980,2.068278096187391,2.1945137157107233,0.09975062344139651,0.49800796812749004,0.049800796812749,0.29880478087649404,0.09975062344139651,0.19950124688279303,0,0,0,0.04987531172069826,4.03386454183267
"Mo Bamba","ORL",62,878,3.298265567244811,4.372515616127201,0.6246450880181715,0.39863325740318906,0.7403189066059226,0.05694760820045558,0.1135718341851221,0,0,0,0,0.05678591709256105,2.562642369020501
"Michael Carter-Williams","ORL",45,833,2.5808365470186887,1.950354609929078,0.0591016548463357,0.1786777843954735,0.05955926146515783,0.11911852293031566,1.4184397163120568,0.5319148936170213,0,0,0,0,6.908874329958309
"James Ennis III","ORL",24,578,2.6737967914438503,2.1241830065359477,0.24509803921568626,0.33140016570008285,0.4971002485501243,0.08285004142502071,0.24509803921568626,0.16339869281045752,0,0,0,0,3.8939519469759736
"Gary Clark","ORL",28,474,1.561712846347607,1.8108651911468814,0,0.4036326942482341,0.20181634712411706,0,0.2012072434607646,0.30181086519114686,0,0,0,0,1.311806256306761
"Al-Farouq Aminu","ORL",18,380,1.7498379779650033,1.6927083333333333,0.13020833333333334,0.25806451612903225,0.25806451612903225,0.25806451612903225,0.2604166666666667,0.13020833333333334,0,0,0,0,3.7419354838709675
"Melvin Frazier Jr.","ORL",19,126,2.0484171322160147,2.5925925925925926,0,0,0,0,0.37037037037037035,0,0,0,0,0,1.4981273408239701
"BJ Johnson","ORL",11,86,0.7853403141361257,1.0526315789473684,0,0,0,0.5208333333333334,0.5263157894736842,0,0,0,0,0,3.125
"Amile Jefferson","ORL",18,74,2.2508038585209005,1.948051948051948,1.2987012987012987,0,0.6369426751592356,0,0,0,0,0,0,0,5.095541401273885
"Vic Law","ORL",9,65,2.1739130434782608,2.9411764705882355,0,0.7142857142857143,0.7142857142857143,0,0.7352941176470589,0,0,0,0,0.7352941176470589,3.5714285714285716
"Josh Magette","ORL",8,38,2.5641025641025643,0,1.2658227848101267,0,0,0,0,1.2658227848101267,0,0,0,0,2.5974025974025974
