"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Tobias Harris","PHI",76,2618,1.6558472104619437,1.7504234895539243,0.09410878976096368,0.13167795334838225,0.20692249811888638,0.1504890895410083,0.05646527385657821,0,0,0,0,0,3.4048156508653125
"Al Horford","PHI",71,2154,1.7661043812974075,2.1291053227633068,0.3171007927519819,0.13580805794477138,0.29425079221367134,0,0,0,0,0,0,0.1812004530011325,2.2634676324128566
"Ben Simmons","PHI",57,2017,2.222487752419644,1.3145315487571703,0.19120458891013384,0.2628434886499403,0.5734767025089605,0.3345280764635603,0.5019120458891013,0.09560229445506692,0,0,0,0,6.810035842293907
"Josh Richardson","PHI",59,1837,1.9841801850113956,1.7218186709712133,0.16142050040355124,0.24051309460181722,0.347407803313736,0.10689470871191876,0.4035512510088781,0.026903416733925208,0,0,0.026903416733925208,0,4.649919828968466
"Joel Embiid","PHI",55,1651,2.8469750889679717,2.7010982487384982,0.5342831700801425,0.7703703703703704,0.7407407407407407,0.26666666666666666,0.14841199168892846,0.14841199168892846,0,0,0,0.05936479667557139,11.496296296296297
"Furkan Korkmaz","PHI",76,1599,1.523148846327854,1.4186537881074555,0.09055236945366738,0,0.12055455093429777,0.06027727546714889,0.2112888620585572,0.18110473890733475,0,0,0,0.03018412315122246,2.772754671488849
"Matisse Thybulle","PHI",69,1363,2.619387027797577,2.657689581856839,0.21261516654854712,0.035842293906810034,0.10752688172043011,0.07168458781362007,0.4606661941885188,0,0,0,0,0,1.5770609318996416
"Mike Scott","PHI",72,1227,1.9556974655757333,1.9498607242339834,0.43772383605252685,0.16012810248198558,0.200160128102482,0,0.1193792280143255,0,0,0,0,0,1.4011208967173738
"Shake Milton","PHI",44,931,2.7777777777777777,3.2223983095615427,0.10565240359218173,0.10598834128245893,0.21197668256491786,0.1589825119236884,0.21130480718436345,0.10565240359218173,0,0,0,0,3.0206677265500796
"James Ennis III","PHI",49,776,2.662907268170426,2.5608994378513428,0.4372267332916927,0.3142677561282212,0.3771213073538655,0.1257071024512885,0.24984384759525297,0.18738288569643974,0,0,0,0,3.1426775612822127
"Raul Neto","PHI",56,693,1.7661603673613564,2.1201413427561837,0.21201413427561838,0.14124293785310735,0.14124293785310735,0,1.5547703180212014,0.2826855123674912,0,0,0,0,4.943502824858757
"Alec Burks","PHI",22,459,1.5013404825737264,1.1789924973204715,0.5359056806002144,0.2145922746781116,0.3218884120171674,0.1072961373390558,0.3215434083601286,0,0,0,0,0,4.721030042918455
"Trey Burke","PHI",25,329,1.636788776305534,0.7836990595611285,0,0,0.31007751937984496,0.15503875968992248,0,0.15673981191222572,0,0,0,0,2.945736434108527
"Kyle O'Quinn","PHI",30,318,3.0840400925212026,3.235747303543914,0.7704160246533128,0.9259259259259259,0.7716049382716049,0,0.15408320493066255,0.15408320493066255,0,0,0,0.4622496147919877,3.3950617283950617
"Glenn Robinson III","PHI",14,270,1.637852593266606,2.536231884057971,0,0,0,0.3656307129798903,0.18115942028985507,0,0,0,0,0,2.010968921389397
"Norvel Pelle","PHI",25,238,5.65262076053443,7.0393374741200825,0.4140786749482402,0.6122448979591837,2.0408163265306123,0,0,0,0,0,0,0.4140786749482402,2.4489795918367347
"Zhaire Smith","PHI",7,32,2.8368794326241136,5.633802816901408,0,0,0,0,0,0,0,0,0,0,2.857142857142857
"Marial Shayok","PHI",4,28,3.1496062992125986,1.5873015873015872,0,0,0,0,0,1.5873015873015872,0,0,0,0,4.6875
"Jonah Bolden","PHI",4,14,6.25,6.451612903225806,0,0,0,0,0,0,0,0,0,0,3.0303030303030303
