"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Devin Booker","PHX",70,2512,2.0172364807273415,1.2336306699563484,0.13285253368760674,0.0945179584120983,0.5671077504725898,0.30245746691871456,0.37957866767887644,0.07591573353577528,0,0,0.01897893338394382,0,8.449905482041588
"Mikal Bridges","PHX",73,2042,1.8960102361288822,2.0204366000928937,0.18578727357176034,0.3495688650664181,0.04660918200885574,0.09321836401771148,0.6038086391082211,0,0,0,0,0.023223409196470042,3.1927289676066186
"Ricky Rubio","PHX",65,2016,1.9637817497648165,1.271186440677966,0.3060263653483992,0.046992481203007516,0.046992481203007516,0.07048872180451128,0.9651600753295668,0.18832391713747645,0,0,0,0,5.239661654135339
"Kelly Oubre Jr.","PHX",56,1933,2.3656973878758008,1.845472440944882,0.0984251968503937,0.1727541954590326,0.12339585389930899,0.19743336623889438,0.4675196850393701,0.07381889763779527,0,0,0,0,4.911154985192497
"Dario Saric","PHX",66,1632,2.2840409956076133,2.5738520035097983,0.38022813688212925,0.5863383172090296,0.3224860744649663,0.08795074758135445,0.14624159110851126,0.08774495466510676,0,0,0,0.029248318221702253,4.104368220463208
"Cameron Johnson","PHX",57,1255,1.6644599962171365,1.6987542468856172,0.07550018875047187,0.265352539802881,0,0.03790750568612585,0.33975084937712347,0.22650056625141562,0,0,0,0.03775009437523594,2.122820318423048
"Deandre Ayton","PHX",38,1236,2.270081490104773,2.7950310559006213,0.5046583850931677,0.038789759503491075,0.46547711404189296,0.11636927851047324,0.07763975155279502,0,0,0,0,0.11645962732919254,3.5686578743211794
"Jevon Carter","PHX",58,945,2.177766523170423,2.3629964806435395,0.20110608345902464,0,0.15306122448979592,0,0.45248868778280543,0,0,0,0,0.05027652086475616,1.683673469387755
"Aron Baynes","PHX",42,934,3.6079836233367453,3.6261491317671095,0.5107252298263534,0.46153846153846156,0.9743589743589743,0.05128205128205128,0.30643513789581206,0.7660878447395302,0,0,0.05107252298263534,0.05107252298263534,5.0256410256410255
"Frank Kaminsky","PHX",39,777,2.2672309552599756,2.542372881355932,0.06053268765133172,0.12077294685990338,0.24154589371980675,0.06038647342995169,0.12106537530266344,0.3026634382566586,0,0,0,0,4.408212560386473
"Elie Okobo","PHX",55,719,1.839863713798978,2.0463847203274215,0,0.34036759700476515,0.06807351940095303,0.13614703880190607,0.20463847203274216,0,0,0,0,0,4.084411164057181
"Tyler Johnson","PHX",31,515,1.9661636945587564,1.639344262295082,0.273224043715847,0.09182736455463728,0.18365472910927455,0,0.4553734061930783,0.18214936247723132,0,0,0,0,2.6629935720844813
"Cheick Diallo","PHX",47,479,2.756892230576441,3.3033033033033035,0.4004004004004004,0.40160642570281124,0.40160642570281124,0.10040160642570281,0.2002002002002002,0.1001001001001001,0,0,0,0.1001001001001001,3.6144578313253013
"Ty Jerome","PHX",31,328,2.116788321167883,1.7341040462427746,0.14450867052023122,0,0.14749262536873156,0,0.43352601156069365,0.14450867052023122,0,0,0,0,1.9174041297935103
"Cameron Payne","PHX",8,183,2.5806451612903225,3.0927835051546393,0.25773195876288657,0.25839793281653745,0.5167958656330749,0,0.25773195876288657,0.7731958762886598,0,0,0,0,2.3255813953488373
"Jonah Bolden","PHX",3,33,4.316546762589928,4.3478260869565215,2.898550724637681,1.4285714285714286,0,0,1.4492753623188406,0,0,0,0,0,4.285714285714286
"Jalen Lecque","PHX",5,32,2.18978102189781,1.3888888888888888,0,0,0,1.5384615384615385,2.7777777777777777,0,0,0,0,0,4.615384615384615
"Tariq Owens","PHX",3,15,1.5625,0,0,3.225806451612903,0,0,0,0,0,0,0,0,3.225806451612903
"Jared Harper","PHX",3,8,0,0,0,0,0,0,0,0,0,0,0,0,0
