"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"CJ McCollum","POR",75,2751,1.6825869774778723,1.5797788309636651,0.1228716868527295,0.03500175008750438,0.24501225061253062,0.03500175008750438,0.0877654906090925,0.0175530981218185,0,0,0.0175530981218185,0.0175530981218185,2.6601330066503324
"Damian Lillard","POR",71,2661,1.0726736390453204,0.9488005728607233,0.05370569280343716,0.2499553651133726,0.10712372790573112,0.05356186395286556,0.30433225921947726,0.12531328320802004,0,0,0,0,7.802178182467417
"Hassan Whiteside","POR",72,2112,2.4211968935587027,2.8368794326241136,0.4575611988103409,0.8209806157354618,0.5245153933865451,0.11402508551881414,0.18302447952413636,0.09151223976206818,0,0,0,0.29741477922672155,5.359179019384264
"Carmelo Anthony","POR",63,2075,2.2037275817606377,1.6670579948344681,0.3287156609532754,0.04681647940074907,0.6788389513108615,0.09363295880149813,0.1643578304766377,0.0234796900680911,0,0,0,0.0234796900680911,4.166666666666667
"Anfernee Simons","POR",73,1503,2.229299363057325,2.0070086014654347,0.12742911755336095,0.06367398917542184,0.1591849729385546,0.06367398917542184,0.15928639694170119,0.03185727938834024,0,0,0,0,2.6743075453677174
"Gary Trent Jr.","POR",66,1480,1.6855753646677472,1.1056910569105691,0.3252032520325203,0.22617124394184168,0.1938610662358643,0.03231017770597738,0.5528455284552846,0,0,0,0,0,1.9063004846526657
"Kent Bazemore","POR",43,1111,2.6032702237521517,2.2795698924731185,0.08602150537634409,0.2152389151958674,0.08609556607834697,0.08609556607834697,0.8602150537634409,0.043010752688172046,0,0,0,0,3.7021093413689194
"Mario Hezonja","POR",58,936,2.831858407079646,2.623612512613522,0.30272452068617556,0.25342118601115055,0.20273694880892043,0.15205271160669032,0.2522704339051463,0.10090817356205853,0,0,0,0,2.990369994931576
"Trevor Ariza","POR",21,702,1.6432728517630948,0.9602194787379973,0,0.1367053998632946,0.0683526999316473,0.0683526999316473,0.411522633744856,0.06858710562414266,0,0,0,0,3.0758714969241283
"Rodney Hood","POR",21,619,1.7550553223960321,1.21580547112462,0.3799392097264438,0.3065134099616858,0.1532567049808429,0,0.45592705167173253,0.07598784194528875,0,0,0,0,2.681992337164751
"Nassir Little","POR",48,573,2.977667493796526,3.8524590163934427,0.16393442622950818,0.5008347245409015,0,0.25041736227045075,0.16393442622950818,0,0,0,0,0,2.9215358931552586
"Skal Labissiere","POR",33,567,3.7568594343604897,3.787878787878788,1.2626262626262625,0.42337002540220153,0.7620660457239627,0.0846740050804403,0.25252525252525254,0,0,0,0.08417508417508418,0.4208754208754209,2.8789161727349706
"Anthony Tolliver","POR",33,554,2.2968949383241175,2.37892948173322,0.7646559048428208,0.08517887563884156,0.08517887563884156,0,0,0.5097706032285472,0,0,0,0,1.959114139693356
"Jusuf Nurkic","POR",13,418,3.495702005730659,4.238258877434135,0.4581901489117984,1.261467889908257,0.9174311926605505,0.3440366972477064,0.6872852233676976,0,0,0,0,0.1145475372279496,7.68348623853211
"Zach Collins","POR",12,297,3.0179445350734095,3.9215686274509802,0.6535947712418301,1.1400651465798046,0.6514657980456026,0,0.32679738562091504,0,0,0,0,0,2.9315960912052117
"Caleb Swanigan","POR",20,265,4.895738893925658,3.949730700179533,1.436265709156194,0.5494505494505495,1.2820512820512822,0,0.3590664272890485,0.3590664272890485,0,0,0,0,4.945054945054945
"Wenyen Gabriel","POR",24,236,5.107252298263535,4.65587044534413,0.6072874493927125,0.41237113402061853,0.6185567010309279,0.41237113402061853,0.4048582995951417,0,0,0,0,0.20242914979757085,2.88659793814433
"Jaylen Hoard","POR",15,124,2.8957528957528957,1.953125,0.390625,0.3816793893129771,0.3816793893129771,0.3816793893129771,0.390625,0,0,0,0,0,3.816793893129771
"Moses Brown","POR",9,33,4.827586206896552,8.333333333333334,0,0,1.36986301369863,0,0,0,0,0,0,1.3888888888888888,6.8493150684931505
"Jaylen Adams","POR",2,19,0,0,0,0,0,0,2.6315789473684212,0,0,0,0,0,5.2631578947368425
