"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Harrison Barnes","SAC",72,2482,0.9080257762155829,0.8991399530883503,0.1563721657544957,0.13655872024970736,0.19508388607101054,0.09754194303550527,0.3518373729476153,0.039093041438623924,0,0,0,0.019546520719311962,4.389387436597737
"Buddy Hield","SAC",72,2216,1.802096985583224,1.3172338090010978,0.06586169045005488,0.021734405564007825,0.2608128667680939,0.04346881112801565,0.06586169045005488,0.021953896816684963,0,0,0,0,2.1517061508367745
"Nemanja Bjelica","SAC",72,2011,2.6522593320235757,2.542582078499136,0.37027894347074797,0.19545565599804543,0.3176154409968239,0.09772782799902271,0.17279684028634906,0,0,0,0,0.0740557886941496,2.3210359149767896
"Bogdan Bogdanovic","SAC",61,1766,1.8601398601398602,1.3740886146943354,0.11217049915872125,0.08370535714285714,0.22321428571428573,0,0.3925967470555244,0.028042624789680313,0,0,0,0.028042624789680313,3.5714285714285716
"Cory Joseph","SAC",72,1759,1.859619686800895,2.030598052851182,0.11126564673157163,0.11245431543435479,0.056227157717177394,0.028113578858588697,1.0013908205841446,0.13908205841446453,0,0,0,0,3.204947989879112
"De'Aaron Fox","SAC",51,1634,2.1208132221734677,1.5551643192488263,0.11737089201877934,0.08748906386701662,0.2916302128900554,0.17497812773403323,0.6455399061032864,0.029342723004694836,0,0,0,0,8.253135024788568
"Richaun Holmes","SAC",44,1242,3.373253493013972,2.9470330545599364,0.955794504181601,0.6402561024409764,0.6402561024409764,0.08003201280512205,0.07964954201513341,0,0,0,0,0,4.161664665866347
"Trevor Ariza","SAC",32,791,1.9565217391304348,1.1823273179838207,0.12445550715619166,0.24798512089274644,0.06199628022318661,0.12399256044637322,0.49782202862476665,0,0,0,0,0,2.231866088034718
"Harry Giles III","SAC",46,667,4.311594202898551,4.916847433116414,0.5061460592913956,0.7262164124909223,0.8714596949891068,0.07262164124909223,0.14461315979754158,0.14461315979754158,0,0,0,0.21691973969631237,4.212055192447349
"Kent Bazemore","SAC",25,577,3.096614368290669,3.360655737704918,0.16393442622950818,0.16638935108153077,0.415973377703827,0.16638935108153077,0.6557377049180327,0.4098360655737705,0,0,0,0,5.490848585690515
"Dewayne Dedmon","SAC",34,541,4.268012849931161,4.3357933579335795,0.7380073800738007,0.821917808219178,1.004566210045662,0.273972602739726,0.09225092250922509,0.2767527675276753,0,0,0,0.18450184501845018,3.7442922374429224
"Yogi Ferrell","SAC",50,530,1.7495395948434622,1.0185185185185186,0.09259259259259259,0.09157509157509157,0.09157509157509157,0.18315018315018314,1.1111111111111112,0.37037037037037035,0,0,0,0,4.212454212454213
"Marvin Bagley III","SAC",13,334,3.118201595358956,3.0478955007256894,1.1611030478955007,0.7246376811594203,0,0.2898550724637681,0.43541364296081275,0.14513788098693758,0,0,0,0,5.36231884057971
"Justin James","SAC",36,232,1.710261569416499,1.9723865877712032,0.19723865877712032,0.8213552361396304,0,0,0.591715976331361,0,0,0,0,0,3.9014373716632442
"Alex Len","SAC",15,225,3.545359749739312,3.9665970772442587,0.6263048016701461,0.8333333333333334,1.0416666666666667,0.20833333333333334,0,0,0,0,0,0,4.375
"DaQuan Jeffries","SAC",13,141,3.0063291139240507,2.5316455696202533,0.31645569620253167,0,0,0,0.31645569620253167,0.31645569620253167,0,0,0,0,1.8987341772151898
"Anthony Tolliver","SAC",9,82,1.791044776119403,0.5988023952095808,0,1.1904761904761905,0,0.5952380952380952,0,0,0,0,0,0,1.1904761904761905
"Jabari Parker","SAC",6,80,1.6528925619834711,2.2099447513812156,0,0,0.5494505494505495,0,1.1049723756906078,0,0,0,0,0,6.043956043956044
"Wenyen Gabriel","SAC",11,61,2.611940298507463,1.4814814814814814,1.4814814814814814,0.7518796992481203,0,0.7518796992481203,0,0,0,0,0,0,5.2631578947368425
"Corey Brewer","SAC",5,33,4.761904761904762,4.054054054054054,0,0,1.36986301369863,0,0,1.3513513513513513,0,0,0,0,5.47945205479452
"Caleb Swanigan","SAC",7,23,7.4766355140186915,7.547169811320755,0,0,1.8518518518518519,0,0,0,0,0,0,0,1.8518518518518519
"Eric Mika","SAC",1,19,6.329113924050633,5.128205128205129,0,0,0,0,0,0,0,0,0,0,2.5
"Kyle Guy","SAC",3,10,2.0833333333333335,0,0,0,0,0,0,0,0,0,0,0,0
