"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"DeMar DeRozan","SAS",68,2316,1.8795029758797117,1.7529215358931554,0.12520868113522537,0.14629049111807732,0.2507836990595611,0.14629049111807732,0.1669449081803005,0.06260434056761269,0,0,0,0,6.980146290491118
"LaMarcus Aldridge","SAS",53,1754,1.7804979830296286,1.9482326746451433,0.11132758140829391,0.1946607341490545,0.778642936596218,0.027808676307007785,0.027831895352073477,0,0,0,0,0.055663790704146954,4.53281423804227
"Dejounte Murray","SAS",66,1687,2.0443173695496784,1.6514806378132119,0.05694760820045558,0.08613264427217916,0.17226528854435832,0.20097616996841802,0.3132118451025057,0,0,0,0,0,3.0433534309503303
"Derrick White","SAS",68,1677,2.1563342318059298,2.387720295622513,0.08527572484366117,0.2548853016142736,0.05664117813650524,0.05664117813650524,0.6537805571347356,0.8527572484366117,0,0,0.028425241614553724,0,6.088926649674313
"Bryn Forbes","SAS",63,1579,1.7470624613481756,1.8271910808299783,0.06193868070610096,0.09262117937635073,0.21611608521148504,0,0.12387736141220192,0,0,0,0,0,1.7289286816918803
"Patty Mills","SAS",66,1485,1.6711761897182875,0.8920038228735266,0.09557183816502071,0.06361323155216285,0.19083969465648856,0.06361323155216285,0.7964319847085058,0.19114367633004142,0,0,0,0.03185727938834024,3.753180661577608
"Rudy Gay","SAS",67,1461,1.6690973910225246,1.7886178861788617,0.2601626016260163,0.09689922480620156,0.16149870801033592,0.06459948320413436,0.22764227642276422,0.032520325203252036,0,0,0,0,3.456072351421189
"Trey Lyles","SAS",63,1271,1.8716577540106951,2.290950744558992,0.19091256204658266,0.26748184944593045,0.07642338555598013,0.03821169277799007,0.07636502481863307,0.038182512409316534,0,0,0,0,1.757737867787543
"Jakob Poeltl","SAS",66,1171,2.5552626242141554,3.364410214835833,0.5674908796108634,0.44642857142857145,0.5275974025974026,0.040584415584415584,0.2837454398054317,0.36481556546412647,0,0,0,0.08107012565869477,3.896103896103896
"Lonnie Walker IV","SAS",61,988,1.902903147109051,1.85546875,0.146484375,0.04875670404680644,0.04875670404680644,0.24378352023403219,0.1953125,0,0,0,0.048828125,0.048828125,2.4865919063871282
"Marco Belinelli","SAS",57,883,1.2041744715012042,1.4423076923076923,0.10683760683760683,0,0,0.05361930294906166,0.32051282051282054,0,0,0,0.053418803418803416,0,2.734584450402145
"Keldon Johnson","SAS",17,301,2.118003025718608,1.8045112781954886,0.15037593984962405,0.15220700152207,0.15220700152207,0.15220700152207,0,0,0,0,0,0.15037593984962405,4.109589041095891
"Drew Eubanks","SAS",22,272,3.1171019376579614,4.033613445378151,0,0.33783783783783783,0.8445945945945946,0,0.16806722689075632,0.16806722689075632,0,0,0,0.16806722689075632,4.72972972972973
"DeMarre Carroll","SAS",15,135,3.5398230088495577,2.816901408450704,0.352112676056338,0,1.0676156583629892,0.35587188612099646,0,0,0,0,0,0,3.9145907473309607
"Chimezie Metu","SAS",18,105,1.580135440180587,0.9174311926605505,0.9174311926605505,0,0.4444444444444444,0.8888888888888888,0,0,0,0,0,0,3.5555555555555554
"Quinndary Weatherspoon","SAS",11,78,2.2598870056497176,1.6853932584269662,0,0.5681818181818182,0,0,0,0,0,0,0,0,1.7045454545454546
"Luka Samanic","SAS",3,48,2.9702970297029703,0,0,0,1.0101010101010102,0,0.970873786407767,0,0,0,0,0,4.040404040404041
"Tyler Zeller","SAS",2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
