"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Pascal Siakam","TOR",64,2244,1.8891954998938654,1.3169073916737468,0.42480883602378927,0.06364022061943148,0.3606279168434451,0.3182011030971574,0.04248088360237893,0.021240441801189464,0,0,0,0.04248088360237893,5.282138311412813
"Kyle Lowry","TOR",62,2218,2.154011847065159,1.81190681622088,0.21570319240724764,0.36567003656700364,0.23661002366100237,0.1290600129060013,0.45297670405522,0.7981018119068162,0,0,0.021570319240724764,0.06471095772217429,7.334910733491073
"OG Anunoby","TOR",73,2195,1.9344262295081966,1.68085570836062,0.17463435931019428,0.04377325454147516,0.1094331363536879,0.17509301816590064,0.26195153896529144,0.08731717965509714,0,0,0,0.13097576948264572,2.101116217990808
"Fred VanVleet","TOR",58,2061,1.6645176415426093,1.1954992967651195,0.14064697609001406,0.04689331770222743,0.25791324736225085,0.18757327080890973,0.2578527894983591,0.02344116268166901,0,0,0,0,4.6658851113716295
"Serge Ibaka","TOR",59,1579,2.5231798145614834,2.3361650485436893,0.5461165048543689,0.45689917758148035,0.7614986293024673,0.21321961620469082,0,0,0,0,0,0.15169902912621358,3.320134023758757
"Norman Powell","TOR",56,1575,1.7846430713857229,1.2605042016806722,0.21008403361344538,0.05995203836930456,0.11990407673860912,0.17985611510791366,0.18007202881152462,0.030012004801920768,0,0,0,0.030012004801920768,3.7170263788968825
"Terence Davis","TOR",75,1263,2.4813895781637716,2.146416251437332,0.19164430816404754,0.03802281368821293,0.1520912547528517,0.19011406844106463,0.07665772326561901,0.07665772326561901,0,0,0.038328861632809505,0,2.0152091254752853
"Marc Gasol","TOR",48,1241,2.57153905645785,2.5551684088269453,0.6968641114982579,0.540749324063345,0.540749324063345,0,0.03871467286101433,0.3097173828881146,0,0,0,0.07742934572202866,3.5534955581305523
"Rondae Hollis-Jefferson","TOR",63,1152,2.4947589098532497,2.002503128911139,0.4171881518564873,0.2528445006321112,0.21070375052675938,0.08428150021070376,0.5840634125990822,0.1251564455569462,0,0,0,0,5.646860514117151
"Patrick McCaw","TOR",37,908,1.5910898965791567,1.696712619300106,0,0,0.05305039787798409,0.05305039787798409,0.053022269353128315,0,0,0,0,0,0.7957559681697612
"Chris Boucher","TOR",65,837,3.364969801553063,4.320276497695852,0.576036866359447,0.6892590465249856,0.11487650775416428,0.05743825387708214,0.2304147465437788,0.1728110599078341,0,0,0,0.2880184331797235,5.284319356691556
"Matt Thomas","TOR",45,483,1.968503937007874,2.288557213930348,0.19900497512437812,0.09737098344693282,0.09737098344693282,0,0,0.09950248756218906,0,0,0,0,1.1684518013631937
"Malcolm Miller","TOR",29,167,2.849002849002849,1.9886363636363635,0.5681818181818182,0,0,0.2857142857142857,0,0.2840909090909091,0,0,0,0,1.4285714285714286
"Stanley Johnson","TOR",27,166,2.5174825174825175,1.9607843137254901,0.5602240896358543,0,0.27932960893854747,0.27932960893854747,0.2801120448179272,0,0,0,0,0,3.0726256983240225
"Oshae Brissett","TOR",19,135,3.260869565217391,3.2846715328467155,0,0.3597122302158273,0,0.3597122302158273,0,0,0,0,0,0,2.5179856115107913
"Paul Watson","TOR",10,78,1.1594202898550725,1.1627906976744187,0,0,0,0,0.5813953488372093,0,0,0,0,0,4.624277456647399
"Dewan Hernandez","TOR",6,28,4.8,1.5873015873015872,0,0,1.6129032258064515,0,0,0,0,0,0,0,4.838709677419355
"Shamorie Ponds","TOR",4,11,4.444444444444445,9.090909090909092,0,0,0,0,0,0,0,0,0,0,4.3478260869565215
