"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Donovan Mitchell","UTA",74,2545,1.7271323813199537,1.3518733101583622,0.2703746620316725,0.15426147319706904,0.23139220979560354,0.1349787890474354,0.34762456546929316,0.05793742757821553,0,0,0.019312475859405175,0.03862495171881035,5.669109139992287
"Rudy Gobert","UTA",73,2523,2.2955944124255154,2.3251270027354436,0.6838608831574834,0.9376831412385231,0.5469818323891386,0.19535065442469232,0.31262211801484957,0,0,0,0,0.039077764751856196,7.872631373315101
"Joe Ingles","UTA",77,2302,1.7455557935318056,0.8140531276778064,0.12853470437017994,0.1284796573875803,0.47109207708779444,0.08565310492505353,0.1928020565552699,0.14995715509854327,0,0,0,0.04284490145672665,2.7623126338329764
"Royce O'Neale","UTA",76,2218,2.4672149366525895,2.103631532329495,0.19929140832595216,0.06693440428380187,0.22311468094600626,0.06693440428380187,0.4428697962798937,0.022143489813994686,0,0,0,0.022143489813994686,1.717983043284248
"Bojan Bogdanovic","UTA",63,2083,1.2953367875647668,0.8979206049149339,0.0945179584120983,0.09389671361502347,0.07042253521126761,0.1643192488262911,0.14177693761814744,0.07088846880907372,0,0,0,0,4.577464788732394
"Mike Conley","UTA",50,1454,1.8762677484787018,1.2207527975584944,0.1017293997965412,0.16852039096730703,0.16852039096730703,0.10111223458038422,0.84774499830451,0.2712783994574432,0,0,0,0,5.392652510953825
"Jordan Clarkson","UTA",47,1184,1.8170426065162908,1.3819095477386936,0.25125628140703515,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.16750418760469013,0,0,0,0.04187604690117253,0,3
"Georges Niang","UTA",71,1011,1.9455252918287937,1.951219512195122,0.1951219512195122,0.04849660523763336,0.1454898157129001,0.04849660523763336,0.1951219512195122,0.04878048780487805,0,0,0,0,1.3579049466537343
"Emmanuel Mudiay","UTA",57,883,1.9629225736095965,1.5242242787152966,0.10887316276537834,0.054614964500273075,0.4369197160021846,0.2184598580010923,0.1633097441480675,0,0,0,0.05443658138268917,0,4.369197160021846
"Tony Bradley","UTA",63,707,4.0358744394618835,5.248618784530387,0.5524861878453039,0.2067539627842867,1.1026878015161958,0.13783597518952448,0.06906077348066299,0,0,0,0,0.4143646408839779,3.1702274293590627
"Jeff Green","UTA",30,553,2.019315188762072,1.6637478108581436,0.17513134851138354,0,0.7922535211267606,0.44014084507042256,0.08756567425569177,0.17513134851138354,0,0,0,0,4.137323943661972
"Ed Davis","UTA",28,303,5.028854080791426,6.219312602291326,1.1456628477905073,1.9933554817275747,0.6644518272425249,0,0,0,0,0,0,0,3.9867109634551494
"Juwan Morgan","UTA",26,212,3.3180778032036615,4.587155963302752,0.45871559633027525,0.45662100456621,0,0,0,0,0,0,0,0,1.36986301369863
"Rayjon Tucker","UTA",21,173,1.510989010989011,1.36986301369863,0.273972602739726,0,0,0.27548209366391185,2.191780821917808,0.821917808219178,0,0,0,0,7.43801652892562
"Miye Oni","UTA",12,123,2.208835341365462,1.6129032258064515,0.4032258064516129,0.4,0,0.4,1.2096774193548387,0,0,0,0,0,2.8
"Jarrell Brantley","UTA",11,109,2.4282560706401766,3.0701754385964914,0,0,0.8888888888888888,0.4444444444444444,0,0,0,0,0,0,1.7777777777777777
"Dante Exum","UTA",11,83,2.3391812865497075,2.2988505747126435,0,0,0,0.5952380952380952,0,0,0,0,0,0,1.7857142857142858
"Nigel Williams-Goss","UTA",11,52,2.6666666666666665,2.6548672566371683,0,0,0.8928571428571429,0,0,0,0,0,0,0,1.7857142857142858
"Justin Wright-Foreman","UTA",4,45,2.6737967914438503,4.301075268817204,0,0,0,0,0,0,0,0,0,0,2.127659574468085
"Stanton Kidd","UTA",4,15,4.285714285714286,8.333333333333334,0,0,0,0,0,0,0,0,0,0,0
