"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Bradley Beal","WAS",57,2053,1.4429683921209344,1.1929341592108282,0.06882312456985547,0.1600731763091699,0.3201463526183398,0.2972787560027441,0.1605872906629961,0.29823353980270706,0,0,0,0.022941041523285157,8.003658815458495
"Ish Smith","WAS",68,1787,1.391258695366846,1.8659658344283836,0.052562417871222074,0.026219192448872573,0,0.07865757734661773,0.18396846254927726,0.1314060446780552,0,0,0,0,2.1237545883586786
"Troy Brown Jr.","WAS",69,1782,1.7379855167873601,1.3958388201211482,0.15801948907031868,0.1579778830963665,0.13164823591363875,0.13164823591363875,0.31603897814063736,0.05267316302343956,0,0,0,0.02633658151171978,2.975250131648236
"Davis Bertans","WAS",54,1583,2.0321637426900585,1.9917984768599883,0.23432923257176333,0.20431990659661411,0.08756567425569177,0.05837711617046118,0.5565319273579379,0.29291154071470415,0,0,0.029291154071470416,0,3.765323992994746
"Rui Hachimura","WAS",48,1444,1.7179319371727748,1.3721006207121855,0.22868343678536426,0.1638806948541462,0.19665683382497542,0.09832841691248771,0.1960143743874551,0.03266906239790918,0,0,0,0.06533812479581835,3.8675843985578497
"Isaac Bonga","WAS",66,1250,2.955665024630542,3.354692800603091,0.3015454202789295,0.3047619047619048,0.0761904761904762,0.1523809523809524,0.5653976630229929,0.4146249528835281,0,0,0,0.11307953260459856,4.038095238095238
"Thomas Bryant","WAS",46,1147,2.104187946884576,1.9631901840490797,0.24539877300613497,0.5306122448979592,0.6122448979591837,0.12244897959183673,0.12269938650306748,0.0408997955010225,0,0,0,0,4.081632653061225
"Isaiah Thomas","WAS",40,925,1.9356460532931121,1.7596782302664655,0.05027652086475616,0.05027652086475616,0.20110608345902464,0.10055304172951232,0.2513826043237808,0.15082956259426847,0,0,0,0,3.3685268979386627
"Moritz Wagner","WAS",45,835,4.178119846069269,3.8503850385038505,0.8800880088008801,0.8791208791208791,1.2087912087912087,0.10989010989010989,0.7150715071507151,1.375137513751375,0,0,0,0.16501650165016502,6.538461538461538
"Ian Mahinmi","WAS",38,808,3.393867222387615,3.5863717872086074,0.657501494321578,0.5338078291814946,0.5931198102016607,0.05931198102016608,0.17931858936043035,0.3586371787208607,0,0,0,0.05977286312014345,6.049822064056939
"Jordan McRae","WAS",29,654,2.148643888693202,2.1231422505307855,0.21231422505307856,0.2805049088359046,0.21037868162692847,0,0.4953998584571833,0,0,0,0,0,4.838709677419355
"Jerome Robinson","WAS",21,503,2.6182820395039044,3.1164069660861595,0.18331805682859761,0.09208103130755065,0,0.09208103130755065,0.36663611365719523,0,0,0,0,0,2.85451197053407
"Shabazz Napier","WAS",20,488,1.8959649975692756,1.3631937682570594,0,0.2912621359223301,0.1941747572815534,0,0.5842259006815969,0,0,0,0,0,5.339805825242719
"Anzejs Pasecniks","WAS",26,437,4.060638873849486,3.7593984962406015,0.322234156820623,1.6375545851528384,1.091703056768559,0,0.644468313641246,0.5370569280343717,0,0,0,0.21482277121374865,6.986899563318778
"Gary Payton II","WAS",29,432,2.9719317556411666,2.4175824175824174,0.5494505494505495,0,0,0.11025358324145534,0.10989010989010989,0,0,0,0,0,1.2127894156560088
"Admiral Schofield","WAS",33,368,3.2658393207054215,3.1372549019607843,0.7843137254901961,0.5221932114882507,0.13054830287206268,0,0.39215686274509803,0.13071895424836602,0,0,0,0.13071895424836602,2.349869451697128
"Garrison Mathews","WAS",18,227,3.3402922755741127,2.9106029106029108,0,0.20964360587002095,0.20964360587002095,0.20964360587002095,1.2474012474012475,0.4158004158004158,0,0,0,0,6.079664570230608
"Johnathan Williams","WAS",15,180,2.188782489740082,1.3623978201634876,1.0899182561307903,1.6483516483516483,0.5494505494505495,0,0.5449591280653951,0,0,0,0,0,4.1208791208791204
"CJ Miles","WAS",10,161,1.969057665260197,2.272727272727273,0.2840909090909091,0,0,0,0.5681818181818182,0.5681818181818182,0,0,0,0,3.8997214484679668
"Chris Chiozza","WAS",10,123,2.3210831721470018,0.7874015748031497,0.3937007874015748,0.38022813688212925,0,0,0,0,0,0,0,0,1.1406844106463878
"Jerian Grant","WAS",6,80,3.283582089552239,2.395209580838323,0,0,0,0,0,0,0,0,0,0,2.380952380952381
"Justin Robinson","WAS",9,49,1.0204081632653061,1.0416666666666667,0,0,0,0,0,1.0416666666666667,0,0,0,0,1
"Jarrod Uthoff","WAS",3,39,0.6134969325153374,1.2195121951219512,0,0,0,0,0,0,0,0,0,0,0
