"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Joe Harris","BKN",71,2195,0.6890191026136989,112.44858194414375,111.75956284153006,19.506386663780038,0.17573221757322174,0.4065934065934066,0.43859649122807015,0.25,0.37158469945355194,0.34972677595628415,0.02185792349726776,0.26229508196721313,0.06557377049180328,0.02185792349726776,0,0.02185792349726776,0.17486338797814208,0.47058823529411764,0.9180327868852459,11,31,0
"Spencer Dinwiddie","BKN",64,1994,0.854068311068545,112.36468607168631,111.51061776061776,29.708924705316335,0.19548872180451127,0.2986111111111111,0.3333333333333333,0.29411764705882354,0.5067567567567568,0.4826254826254826,0.02413127413127413,0.2413127413127413,0.2413127413127413,0,0,0.02413127413127413,0.2171814671814672,0.42857142857142855,0.9652509652509652,7,33,0
"Jarrett Allen","BKN",74,1984,-0.27929497921225277,111.87137330754352,112.15066828675577,15.401353965183752,0.2,0.3130434782608696,0.34,0,2.405832320777643,2.405832320777643,0,1.8955042527339003,0.5103280680437424,0,0,0,1.3122721749696233,0.5454545454545454,1.0206561360874848,11,31,0.09720534629404617
"Garrett Temple","BKN",66,1867,-2.406104661608097,107.51209574738985,109.91820040899796,16.170104405398522,0.21978021978021978,0.4117647058823529,0.3333333333333333,0.13333333333333333,0.7668711656441718,0.7157464212678937,0.05112474437627812,0.3834355828220859,0.3067484662576687,0.02556237218813906,0,0.05112474437627812,0.3834355828220859,0.5,1.329243353783231,28,24,0
"Taurean Prince","BKN",64,1857,1.6568087110710081,111.65423205556985,109.99742334449883,17.777206071520453,0.24100719424460432,0.3466666666666667,0.2857142857142857,0.2857142857142857,0.6441638752898737,0.6441638752898737,0,0.4380314351971141,0.2061324400927596,0,0,0,0.23189899510435455,0.36,1.4686936356609122,13,44,0
"Caris LeVert","BKN",49,1469,-1.5282776679506895,111.42206313049138,112.95034079844207,26.879271070615033,0.19333333333333333,0.5294117647058824,0.34911242603550297,0.30303030303030304,0.35702693930542034,0.32456994482310936,0.03245699448231094,0.2921129503407984,0.03245699448231094,0,0.03245699448231094,0,0.22719896137617657,0.6363636363636364,1.8825056799740345,18,40,0
"DeAndre Jordan","BKN",56,1234,-0.8027300433117404,106.7829457364341,107.58567577974587,12.325581395348838,0,0.3170731707317073,0.4166666666666667,0,2.002310358105506,1.9638043896804005,0.03850596842510589,1.039661147477859,0.8471313053523296,0.07701193685021178,0,0.03850596842510589,1.039661147477859,0.5192307692307693,0.693107431651906,10,8,0.03850596842510589
"Timothe Luwawu-Cabarrot","BKN",51,984,-2.7059020213928875,105.9049447911666,108.61084681255947,18.14690350456073,0.2809917355371901,0.38095238095238093,0.3333333333333333,0.14285714285714285,0.3330161750713606,0.3330161750713606,0,0.285442435775452,0.047573739295908656,0,0,0,0.285442435775452,0.8571428571428571,0.9990485252140818,8,13,0.047573739295908656
"Rodions Kurucs","BKN",51,742,-4.77465774735532,103.875,108.64965774735532,13,0.13846153846153847,0.3333333333333333,0.17647058823529413,0,0.4355942750466708,0.4355942750466708,0,0.24891101431238333,0.18668326073428748,0,0,0,0.18668326073428748,0.42857142857142855,1.6179215930304915,11,15,0
"Wilson Chandler","BKN",35,734,-6.856951736833167,103.92927308447938,110.78622482131253,12.573673870333987,0.25,0.3333333333333333,0.5,0.5,0.7797270955165692,0.7147498375568551,0.0649772579597141,0.3898635477582846,0.3248862897985705,0,0,0.0649772579597141,0.5198180636777128,0.6666666666666666,1.0396361273554255,11,5,0.0649772579597141
"Kyrie Irving","BKN",20,658,-0.9921168908142306,114.66192170818505,115.65403859899928,36.08540925266904,0.16666666666666666,0.5151515151515151,0.2711864406779661,0.13157894736842105,0.7147962830593281,0.6433166547533953,0.07147962830593281,0.42887776983559683,0.21443888491779842,0,0,0.07147962830593281,0.35739814152966404,0.5,1.9299499642601858,16,11,0
"Dzanan Musa","BKN",43,527,-4.791921679005156,105.03978779840848,109.83170947741365,16.180371352785144,0.2153846153846154,0.3684210526315789,0.16666666666666666,1,0.1771479185119575,0.08857395925597875,0.08857395925597875,0.08857395925597875,0,0,0,0.08857395925597875,0.08857395925597875,0.5,1.328609388839681,4,11,0
"Theo Pinson","BKN",33,365,-3.2759969530397512,98.28042328042329,101.55642023346303,15.343915343915343,0.10344827586206896,0.26666666666666666,0.2,0.3333333333333333,0.5188067444876784,0.5188067444876784,0,0.2594033722438392,0.2594033722438392,0,0,0,0,0,2.204928664072633,7,10,0
"Chris Chiozza","BKN",22,343,-0.8755656437790122,109.40860215053763,110.28416779431664,16.801075268817204,0.13636363636363635,0.2222222222222222,0.2857142857142857,0.6,0.2706359945872801,0.2706359945872801,0,0,0.2706359945872801,0,0,0,0.13531799729364005,0.5,2.165087956698241,9,7,0
"Tyler Johnson","BKN",12,287,-11.48128370801517,112.62295081967214,124.1042345276873,21.147540983606557,0.23076923076923078,0.2857142857142857,0.2857142857142857,0,0.3257328990228013,0.3257328990228013,0,0.3257328990228013,0,0,0,0,0.16286644951140064,0.5,0.6514657980456026,1,3,0
"David Nwaba","BKN",20,268,7.576024340144258,105.13274336283185,97.5567190226876,16.106194690265486,0.25,0.4444444444444444,0.5,0,2.094240837696335,2.094240837696335,0,1.3961605584642234,0.6980802792321117,0,0,0,1.0471204188481675,0.5,1.9197207678883073,1,10,0
"Iman Shumpert","BKN",13,241,-8.545503046521375,100.41580041580042,108.9613034623218,9.355509355509355,0.2,0.25,0.3333333333333333,0.45454545454545453,0.4073319755600815,0.20366598778004075,0.20366598778004075,0,0.20366598778004075,0,0,0.20366598778004075,0.20366598778004075,0.5,2.443991853360489,5,7,0
