"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Jayson Tatum","BOS",70,2410,10.739802302933967,116.74428021866774,106.00447791573376,30.755213605993116,0.22807017543859648,0.45517241379310347,0.3493975903614458,0.2549019607843137,1.3433747201302666,1.1601872582943211,0.18318746183594545,0.5292082230816202,0.4884998982291879,0.14247913698351314,0.061062487278648485,0.12212497455729697,0.7734581721962142,0.5757575757575758,1.9336454304905353,32,63,0.061062487278648485
"Jaylen Brown","BOS",61,2084,6.391556250008293,115.37373261023345,108.98217636022514,26.64465927847206,0.21621621621621623,0.4380952380952381,0.4519230769230769,0.2222222222222222,0.4924953095684803,0.46904315196998125,0.02345215759849906,0.21106941838649157,0.23452157598499063,0.02345215759849906,0,0.02345215759849906,0.21106941838649157,0.42857142857142855,1.6181988742964353,32,37,0
"Marcus Smart","BOS",64,2063,7.144546090384523,114.33270676691728,107.18816067653277,17.457706766917294,0.21705426356589147,0.18,0.3411764705882353,0.24324324324324326,0.704721634954193,0.6577401926239136,0.04698144233027954,0.3523608174770965,0.28188865398167723,0.02349072116513977,0,0.04698144233027954,0.4698144233027954,0.6666666666666666,2.513507164669955,31,76,0.04698144233027954
"Kemba Walker","BOS",60,1874,6.680911941814159,116.85305591677502,110.17214397496086,30.48114434330299,0.2052980132450331,0.3263157894736842,0.34210526315789475,0.2542372881355932,0.8085550339071466,0.704225352112676,0.10432968179447052,0.33907146583202924,0.28690662493479396,0.0782472613458529,0.02608242044861763,0.0782472613458529,0.5998956703182056,0.7419354838709677,1.3823682837767344,26,27,0
"Gordon Hayward","BOS",53,1774,8.833221447532992,116.04971629289382,107.21649484536083,22.453390975412052,0.20863309352517986,0.3389830508474576,0.2857142857142857,0.22388059701492538,0.5968529571351058,0.5968529571351058,0,0.2984264785675529,0.2984264785675529,0,0,0,0.40694519804666307,0.6818181818181818,1.1394465545306565,8,34,0
"Daniel Theis","BOS",69,1656,6.694784913526675,113.97561700862325,107.28083209509659,14.391911983348201,0.1095890410958904,0.36231884057971014,0.2608695652173913,0.15384615384615385,2.6151560178306092,2.5557206537890043,0.05943536404160475,1.5156017830609212,1.0104011887072808,0.029717682020802376,0,0.05943536404160475,1.575037147102526,0.6022727272727273,1.1589895988112928,8,31,0.3863298662704309
"Brad Wanamaker","BOS",75,1439,5.625563632388705,113.00675675675676,107.38119312436804,15.608108108108109,0.15873015873015872,0.32,0.46875,0.25925925925925924,0.5729693292888439,0.5729693292888439,0,0.33704078193461406,0.20222446916076844,0.03370407819346141,0,0,0.33704078193461406,0.5882352941176471,2.1570610043815304,45,19,0
"Grant Williams","BOS",73,1083,7.463368473649112,113.16376617581437,105.70039770216528,9.415439535921463,0.1791044776119403,0.30434782608695654,0.25,0,1.6791869200176757,1.458241272646929,0.2209456473707468,0.9721608484312859,0.3535130357931949,0.13256738842244808,0.08837825894829872,0.13256738842244808,1.0163499779054352,0.6052631578947368,1.3256738842244808,10,20,0.04418912947414936
"Enes Kanter","BOS",62,1044,11.154767009719848,117.64150943396227,106.48674242424242,14.622641509433961,0.16666666666666666,0.4519230769230769,0.225,0.1111111111111111,1.941287878787879,1.941287878787879,0,0.7575757575757576,1.0890151515151516,0.0946969696969697,0,0,1.0416666666666667,0.5365853658536586,1.0416666666666667,10,12,0.04734848484848485
"Semi Ojeleye","BOS",72,1039,-0.3345603810730893,107.7798861480076,108.11444652908068,10.199240986717268,0.2289156626506024,0.4117647058823529,0.4166666666666667,0.3333333333333333,0.23452157598499063,0.14071294559099437,0.09380863039399624,0.09380863039399624,0.04690431519699812,0,0.04690431519699812,0.04690431519699812,0.04690431519699812,0.2,0.9849906191369606,5,16,0
"Javonte Green","BOS",49,474,-1.71614319503648,106.5590312815338,108.2751744765703,15.035317860746721,0.13043478260869565,0.21739130434782608,0.2,0,0.7976071784646062,0.6979062811565304,0.09970089730807577,0.3988035892323031,0.29910269192422734,0,0,0.09970089730807577,0.19940179461615154,0.25,2.3928215353938187,8,16,0
"Robert Williams III","BOS",32,410,5.172195606978207,116.92307692307693,111.75088131609871,13.964497041420119,0,0.2222222222222222,0.6,0.25,4.112808460634548,3.525264394829612,0.5875440658049353,1.762632197414806,1.4101057579318448,0.3525264394829612,0.11750881316098707,0.4700352526439483,2.1151586368977675,0.5142857142857142,2.5851938895417157,5,17,0.3525264394829612
"Romeo Langford","BOS",36,407,9.311304047581913,113.3254716981132,104.01416765053128,9.080188679245284,0.3333333333333333,0.3888888888888889,0.26666666666666666,0,0.9445100354191264,0.9445100354191264,0,0.7083825265643447,0.2361275088547816,0,0,0,0.8264462809917356,0.875,1.062573789846517,3,6,0
"Carsen Edwards","BOS",37,351,-5.630267523625136,97.71197846567968,103.3422459893048,16.01615074024226,0.21568627450980393,0.5,0.3,0,0.5347593582887701,0.40106951871657753,0.13368983957219252,0.13368983957219252,0.26737967914438504,0,0.13368983957219252,0,0.13368983957219252,0.25,1.6042780748663101,5,7,0
"Vincent Poirier","BOS",21,130,-6.612899295826125,102.09790209790211,108.71080139372822,11.538461538461538,1,0.2857142857142857,0.2857142857142857,0,3.1358885017421603,3.1358885017421603,0,2.0905923344947737,1.0452961672473868,0,0,0,2.0905923344947737,0.6666666666666666,0.6968641114982579,0,2,0
"Tremont Waters","BOS",11,119,7.778452405046224,109.8360655737705,102.05761316872427,15.573770491803279,0.21052631578947367,0.5,0.4444444444444444,0,0.823045267489712,0.823045267489712,0,0,0.823045267489712,0,0,0,0.411522633744856,0.5,4.11522633744856,6,4,0
"Tacko Fall","BOS",8,35,9.552017771195864,102.70270270270271,93.15068493150685,28.37837837837838,0,0,0,0,5.47945205479452,5.47945205479452,0,1.36986301369863,4.109589041095891,0,0,0,2.73972602739726,0.5,1.36986301369863,0,1,0
