"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Devonte' Graham","CHA",63,2211,-4.968098679639212,109.69062784349408,114.65872652313331,24.56778889899909,0.23076923076923078,0.36486486486486486,0.36046511627906974,0.1774193548387097,0.3435639028859368,0.3435639028859368,0,0.1832340815391663,0.1603298213467705,0,0,0,0.20613834173156206,0.6,1.4200641319285388,23,39,0
"Terry Rozier","CHA",63,2164,-9.917392098540603,105.8905704307334,115.807962529274,23.538998835855647,0.22727272727272727,0.36752136752136755,0.32727272727272727,0.18032786885245902,0.234192037470726,0.1873536299765808,0.0468384074941452,0.0702576112412178,0.117096018735363,0,0.0468384074941452,0,0.117096018735363,0.5,1.4285714285714286,23,38,0
"Miles Bridges","CHA",65,1995,-9.654291480059001,106.7934093789607,116.44770085901972,18.326996197718632,0.19072164948453607,0.45454545454545453,0.3333333333333333,0.125,1.2127337038908539,1.0611419909044972,0.15159171298635674,0.7326932794340576,0.32844871147043964,0,0.050530570995452245,0.10106114199090449,0.6821627084386054,0.5625,1.010611419909045,14,26,0.12632642748863063
"P.J. Washington","CHA",58,1759,-7.2460753371484685,105.71102227298685,112.95709761013534,18.50371216447744,0.16666666666666666,0.42528735632183906,0.3953488372093023,0.25,1.2669162107687877,1.1805355600345522,0.08638065073423554,0.7774258566081198,0.4031097034264325,0,0.08638065073423554,0,0.6622516556291391,0.5227272727272727,1.468471062482004,16,35,0.08638065073423554
"Cody Zeller","CHA",58,1341,-9.451824139999772,107.41017964071857,116.86200378071834,18.001497005988025,0.2222222222222222,0.3652173913043478,0.2909090909090909,0,0.945179584120983,0.945179584120983,0,0.718336483931947,0.22684310018903592,0,0,0,0.6805293005671077,0.72,1.5122873345935728,18,22,0
"Malik Monk","CHA",55,1169,-10.739355204606923,104.5859872611465,115.32534246575342,21.48619957537155,0.21804511278195488,0.3050847457627119,0.2711864406779661,0.09090909090909091,0.684931506849315,0.5993150684931506,0.08561643835616438,0.3852739726027397,0.17123287671232876,0.04280821917808219,0.04280821917808219,0.04280821917808219,0.21404109589041095,0.3125,1.0702054794520548,10,15,0.04280821917808219
"Bismack Biyombo","CHA",53,1029,-6.3926579266902195,107.03944083874188,113.4320987654321,15.82626060908637,0,0.423728813559322,0.20967741935483872,0,2.419753086419753,2.3703703703703702,0.04938271604938271,1.876543209876543,0.49382716049382713,0,0,0.04938271604938271,1.5802469135802468,0.6530612244897959,0.49382716049382713,5,5,0.09876543209876543
"Cody Martin","CHA",48,903,-2.9113015432872658,107.79510022271714,110.7064017660044,11.247216035634743,0.17543859649122806,0.3055555555555556,0.46153846153846156,0.2222222222222222,0.4966887417218543,0.44150110375275936,0.05518763796909492,0.33112582781456956,0.11037527593818984,0,0,0.05518763796909492,0.33112582781456956,0.6666666666666666,2.152317880794702,15,24,0
"Marvin Williams","CHA",41,808,-6.317406897999106,108.34355828220859,114.6609651802077,14.171779141104295,0.20588235294117646,0.5,0.20689655172413793,0.375,1.3439218081857056,1.2828344532681735,0.06108735491753207,0.6108735491753207,0.6719609040928528,0,0,0.06108735491753207,0.9773976786805131,0.7272727272727273,1.5882712278558337,5,21,0
"Dwayne Bacon","CHA",39,687,-7.506454251215757,103.78732702112163,111.29378127233738,14.420975965040059,0.19148936170212766,0.2545454545454545,0.375,0.0625,0.14295925661186562,0.14295925661186562,0,0.14295925661186562,0,0,0,0,0.14295925661186562,1,1.6440314510364546,10,13,0
"Nicolas Batum","CHA",22,505,-3.8876958688749284,111.12224448897796,115.00994035785288,6.613226452905812,0.20588235294117646,0.42857142857142855,0.5,0,0.7952286282306164,0.6958250497017893,0.09940357852882704,0.4970178926441352,0.1988071570576541,0,0,0.09940357852882704,0.3976143141153082,0.5,1.6898608349900597,5,12,0
"Willy Hernangomez","CHA",31,375,-2.968198884969837,105.05319148936171,108.02139037433155,19.148936170212767,0.21428571428571427,0.4166666666666667,0.2727272727272727,1,0.9358288770053476,0.9358288770053476,0,0.8021390374331551,0.13368983957219252,0,0,0,0.8021390374331551,0.8571428571428571,1.3368983957219251,3,7,0
"Caleb Martin","CHA",18,317,-0.05027296649778634,105.15297906602254,105.20325203252033,15.942028985507246,0.29411764705882354,0.14285714285714285,0,0.3333333333333333,1.1382113821138211,1.1382113821138211,0,0.6504065040650406,0.4878048780487805,0,0,0,0.4878048780487805,0.42857142857142855,1.951219512195122,3,9,0
"Jalen McDaniels","CHA",16,293,-4.00696864111498,107.49128919860627,111.49825783972125,11.67247386759582,0.21428571428571427,0.5833333333333334,0.2,0,0.5226480836236934,0.34843205574912894,0.17421602787456447,0.17421602787456447,0.17421602787456447,0,0.17421602787456447,0,0.34843205574912894,0.6666666666666666,1.3937282229965158,5,3,0
"Michael Kidd-Gilchrist","CHA",12,160,8.484081804764912,107.51633986928104,99.03225806451613,12.091503267973856,0.08333333333333333,0.42857142857142855,0.36363636363636365,0.4,0.967741935483871,0.967741935483871,0,0.967741935483871,0,0,0,0,0,0,0,0,0,0
"Joe Chealey","CHA",4,33,-21.31595543409712,71.64179104477611,92.95774647887325,2.985074626865672,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5.633802816901408,1,3,0
