"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Zach LaVine","CHI",60,2085,-4.75462103786046,108.20619509939898,112.96081613725944,32.362459546925564,0.18305084745762712,0.3917525773195876,0.2535211267605634,0.1111111111111111,0.6492000927428704,0.5564572223510318,0.09274287039183862,0.3246000463714352,0.20867145838163692,0.023185717597959656,0.023185717597959656,0.06955715279387897,0.44052863436123346,0.6785714285714286,2.0403431486204497,26,62,0
"Tomas Satoransky","CHI",65,1878,-1.9785136858132262,108.96907216494846,110.9475858507617,15.335051546391753,0.11940298507462686,0.3333333333333333,0.27848101265822783,0.15,0.18073844564936742,0.18073844564936742,0,0.07745933384972889,0.10327911179963853,0,0,0,0.15491866769945778,0.8571428571428571,2.0655822359927702,25,55,0.025819777949909632
"Coby White","CHI",65,1674,-4.5377635040777164,106.72581568402977,111.2635791881075,22.438465941614197,0.21304347826086956,0.45614035087719296,0.2830188679245283,0.14516129032258066,0.17152658662092624,0.17152658662092624,0,0.1429388221841052,0.02858776443682104,0,0,0,0.08576329331046312,0.5,1.400800457404231,13,36,0
"Thaddeus Young","CHI",64,1591,-6.171396734464992,104.28355957767722,110.45495631214222,16.71191553544495,0.2518518518518518,0.25773195876288657,0.2948717948717949,0.15384615384615385,0.692979813196746,0.692979813196746,0,0.3615546851461284,0.33142512805061763,0,0,0,0.4820729135281711,0.6956521739130435,2.771919252786984,49,43,0.030129557095510694
"Lauri Markkanen","CHI",50,1492,-2.790503327241609,107.05086928525435,109.84137261249595,20.959433354797167,0.20588235294117646,0.3333333333333333,0.3728813559322034,0.1111111111111111,0.7445775331822596,0.7445775331822596,0,0.38847523470378764,0.32372936225315635,0.03237293622531564,0,0,0.5503399158303658,0.7391304347826086,1.3596633214632567,14,28,0.06474587245063128
"Kris Dunn","CHI",51,1269,-0.6611000896259043,105.69354222392052,106.35464231354642,13.068398930072602,0.25925925925925924,0.3333333333333333,0.35555555555555557,0.3,0.6468797564687976,0.6468797564687976,0,0.4946727549467275,0.15220700152207,0,0,0,0.3424657534246575,0.5294117647058824,3.843226788432268,47,54,0
"Wendell Carter Jr.","CHI",43,1256,-0.8339421107724547,107.15674834694671,107.99069045771915,13.807856865033061,0.21739130434782608,0.3,0.19230769230769232,0.21428571428571427,1.3964313421256789,1.3964313421256789,0,0.8921644685802949,0.504266873545384,0,0,0,0.8921644685802949,0.6388888888888888,1.2800620636152056,9,24,0.038789759503491075
"Ryan Arcidiacono","CHI",58,930,-4.415643647756312,104.45365095805283,108.86929460580912,11.755567063697566,0.2875,0.2,0.28,0.5,0.15560165975103735,0.15560165975103735,0,0.1037344398340249,0.05186721991701245,0,0,0,0.1037344398340249,0.6666666666666666,1.400414937759336,11,16,0
"Daniel Gafford","CHI",43,609,-2.3089171974522316,105.73248407643311,108.04140127388534,12.738853503184714,0,0.35714285714285715,0.16666666666666666,0,4.45859872611465,4.45859872611465,0,3.343949044585987,1.1146496815286624,0,0,0,2.3089171974522293,0.5178571428571429,1.035031847133758,4,9,0.1592356687898089
"Luke Kornet","CHI",36,559,-5.830138293088993,105.34943917169974,111.17957746478874,16.47972389991372,0.15584415584415584,0.1875,0.4,0.5,2.288732394366197,2.2007042253521125,0.0880281690140845,1.6725352112676057,0.528169014084507,0,0,0.0880281690140845,1.4964788732394365,0.6538461538461539,0.9683098591549296,4,7,0
"Chandler Hutchison","CHI",28,527,-12.945632798573982,99.55436720142602,112.50000000000001,16.844919786096256,0.28,0.3333333333333333,0.35714285714285715,0,0.625,0.5357142857142857,0.08928571428571429,0.35714285714285715,0.17857142857142858,0,0.08928571428571429,0,0.17857142857142858,0.2857142857142857,2.4107142857142856,6,21,0.08928571428571429
"Denzel Valentine","CHI",36,488,-5.384529828109208,102.3,107.68452982810919,21.9,0.2976190476190476,0.5,0.1875,0,0.6066734074823054,0.5055611729019212,0.10111223458038422,0.5055611729019212,0,0,0,0.10111223458038422,0.3033367037411527,0.5,2.62891809908999,7,19,0
"Shaquille Harrison","CHI",43,484,6.7357606218456,109.32798395185556,102.59222333000997,17.953861584754264,0.45454545454545453,0.2926829268292683,0.4117647058823529,0,1.8943170488534398,1.4955134596211366,0.3988035892323031,1.0967098703888336,0.3988035892323031,0,0.19940179461615154,0.19940179461615154,1.296111665004985,0.6842105263157895,3.389830508474576,16,18,0
"Cristiano Felicio","CHI",22,386,-7.425000651601636,113.77551020408164,121.20051085568326,6.377551020408164,0.5,0.25,0.4,1,0.2554278416347382,0.2554278416347382,0,0.2554278416347382,0,0,0,0,0,0,1.277139208173691,1,9,0
"Otto Porter Jr.","CHI",14,331,3.5966464442197434,112.7536231884058,109.15697674418605,22.028985507246375,0.2972972972972973,0.3333333333333333,0.3076923076923077,0,0.872093023255814,0.872093023255814,0,0.5813953488372093,0.29069767441860467,0,0,0,0.5813953488372093,0.6666666666666666,2.1802325581395348,2,13,0
"Adam Mokoka","CHI",11,112,20.616346758967907,127.31277533039648,106.69642857142856,12.334801762114537,0.3333333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.7857142857142858,2,2,0
"Max Strus","CHI",2,6,100.00000000000001,193.33333333333334,93.33333333333334,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
