"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Dorian Finney-Smith","DAL",76,2274,5.9021436301259484,118.15053763440861,112.24839400428264,13.053763440860216,0.23267326732673269,0.4117647058823529,0.36363636363636365,0.14285714285714285,0.8993576017130621,0.8993576017130621,0,0.6423982869379015,0.23554603854389722,0.021413276231263382,0,0,0.5353319057815846,0.5952380952380952,1.113490364025696,17,35,0.042826552462526764
"Tim Hardaway Jr.","DAL",76,2262,4.434938635853641,118.21262177043626,113.77768313458262,23.16814908936891,0.2331288343558282,0.2459016393442623,0.35714285714285715,0.26229508196721313,0.10647359454855196,0.10647359454855196,0,0,0.10647359454855196,0,0,0,0.06388415672913117,0.6,0.9156729131175468,14,29,0
"Luka Doncic","DAL",66,2220,4.23085550526234,118.19952391257303,113.9686684073107,37.61090673014499,0.22849462365591397,0.4,0.3924731182795699,0.16666666666666666,0.3698868581375109,0.3698868581375109,0,0.13054830287206268,0.23933855526544823,0,0,0,0.2175805047867711,0.5882352941176471,1.4795474325500435,26,42,0.02175805047867711
"Maxi Kleber","DAL",79,2057,1.8227844324033953,115.02944640753827,113.20666197513488,14.58186101295642,0.2336448598130841,0.43137254901960786,0.21739130434782608,0,2.0642739854562513,2.0408163265306123,0.02345765892563922,1.5012901712409101,0.5160684963640628,0.02345765892563922,0,0.02345765892563922,1.1259676284306825,0.5454545454545454,0.633356790992259,5,22,0.07037297677691766
"Kristaps Porzingis","DAL",60,1908,5.880148293476651,118.01055011303691,112.13040181956028,26.752072343632253,0.21132075471698114,0.25,0.22962962962962963,0.18072289156626506,2.982057113975234,2.9315137730603995,0.05054334091483447,1.9459186252211271,0.960323477381855,0.025271670457417236,0,0.05054334091483447,1.7942886024766238,0.6016949152542372,1.0361384887541067,3,38,0.0758150113722517
"Seth Curry","DAL",69,1720,3.9720017991703855,118.03140773976445,114.05940594059406,21.48065058889512,0.2459016393442623,0.36363636363636365,0.3,0.3157894736842105,0.2545968882602546,0.2545968882602546,0,0.11315417256011315,0.11315417256011315,0.028288543140028287,0,0,0.11315417256011315,0.4444444444444444,1.188118811881188,13,29,0
"Delon Wright","DAL",77,1623,1.7925180044242524,113.84569377990431,112.05317577548006,13.307416267942584,0.1506849315068493,0.4264705882352941,0.4090909090909091,0.42857142857142855,0.6499261447562777,0.6499261447562777,0,0.2658788774002954,0.29542097488921715,0.08862629246676514,0,0,0.2658788774002954,0.4090909090909091,2.658788774002954,28,62,0
"Dwight Powell","DAL",40,1061,8.49077409076473,118.57010213556175,110.07932804479701,14.484679665738161,0.13793103448275862,0.2571428571428571,0.0625,0,1.026598226784881,1.026598226784881,0,0.653289780681288,0.3733084461035931,0,0,0,0.3733084461035931,0.36363636363636365,1.5865608959402706,15,19,0
"Justin Jackson","DAL",67,1059,0.1931109266647013,115.44117647058823,115.24806554392354,14.935661764705882,0.25217391304347825,0.4375,0.27450980392156865,0.1111111111111111,0.4551661356395084,0.4551661356395084,0,0.13654984069185253,0.27309968138370505,0.04551661356395084,0,0,0.27309968138370505,0.6,0.6827492034592626,5,10,0
"Jalen Brunson","DAL",57,1022,8.39693431426717,116.5309056061332,108.13397129186603,20.939147101102062,0.11267605633802817,0.3548387096774194,0.3620689655172414,0.24324324324324326,0.19138755980861244,0.19138755980861244,0,0.09569377990430622,0.04784688995215311,0.04784688995215311,0,0,0.14354066985645933,0.75,1.0526315789473684,10,12,0
"Boban Marjanovic","DAL",46,487,5.537490398048163,119.88011988011988,114.34262948207173,21.57842157842158,0.15384615384615385,0.5925925925925926,0.23529411764705882,0,1.095617529880478,1.095617529880478,0,0.896414342629482,0.199203187250996,0,0,0,0.896414342629482,0.8181818181818182,0.796812749003984,5,3,0
"J.J. Barea","DAL",30,455,-0.273081772754864,113.7486573576799,114.0217391304348,22.34156820622986,0.23076923076923078,0.32,0.3870967741935484,0.07142857142857142,0.21739130434782608,0.21739130434782608,0,0.10869565217391304,0.10869565217391304,0,0,0,0.10869565217391304,0.5,0.5434782608695652,1,4,0
"Courtney Lee","DAL",24,345,7.436852446597797,119.971671388102,112.53481894150418,13.456090651558073,0.19230769230769232,0,0.2857142857142857,0,0.8356545961002786,0.8356545961002786,0,0.4178272980501393,0.4178272980501393,0,0,0,0.5571030640668524,0.6666666666666666,2.5069637883008355,4,14,0
"Trey Burke","DAL",13,312,-1.0037335134425263,121.77914110429448,122.78287461773701,23.006134969325153,0.19230769230769232,0.2631578947368421,0.3,0,0.45871559633027525,0.45871559633027525,0,0,0.45871559633027525,0,0,0,0.1529051987767584,0.3333333333333333,2.293577981651376,4,11,0
"Ryan Broekhoff","DAL",17,180,0.2604040418031559,116.97127937336815,116.71087533156499,17.754569190600524,0.26666666666666666,0.3333333333333333,0.3333333333333333,0,1.0610079575596818,1.0610079575596818,0,0.7957559681697612,0.26525198938992045,0,0,0,0.5305039787798409,0.5,1.3262599469496021,2,3,0
"Michael Kidd-Gilchrist","DAL",18,170,-5.606114873665007,108.88252148997134,114.48863636363636,5.444126074498567,0.3333333333333333,0,0,0,1.1363636363636365,1.1363636363636365,0,0.8522727272727273,0.2840909090909091,0,0,0,0.2840909090909091,0.25,0.8522727272727273,2,1,0
"Willie Cauley-Stein","DAL",13,157,3.8309781157600185,111.0410094637224,107.21003134796238,17.665615141955836,0,0.3333333333333333,0,0,3.4482758620689653,3.4482758620689653,0,1.567398119122257,1.8808777429467085,0,0,0,2.8213166144200628,0.8181818181818182,1.2539184952978057,1,3,0
"Antonius Cleveland","DAL",12,53,-17.85714285714286,104.46428571428571,122.32142857142856,11.607142857142858,0,0.5714285714285714,0,0,2.6785714285714284,1.7857142857142858,0.8928571428571429,0,0.8928571428571429,0.8928571428571429,0,0.8928571428571429,1.7857142857142858,0.6666666666666666,1.7857142857142858,2,0,0
"Josh Reaves","DAL",5,36,-5.593607305936075,102.73972602739727,108.33333333333334,13.698630136986301,0,0,0,0,1.3888888888888888,1.3888888888888888,0,0,1.3888888888888888,0,0,0,1.3888888888888888,1,0,0,0,0
