"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Nikola Jokic","DEN",78,2523,3.43026176024766,116.00318471337579,112.57292295312814,26.53264331210191,0.1711229946524064,0.4536082474226804,0.25925925925925924,0.16161616161616163,0.9454838060752364,0.9253671293502314,0.020116676725005028,0.5833836250251458,0.3419835043250855,0,0,0.020116676725005028,0.5230335948501308,0.5531914893617021,1.7501508750754375,15,72,0
"Jamal Murray","DEN",64,2086,5.209072308380058,116.70276774969916,111.4936954413191,28.08664259927798,0.228310502283105,0.3076923076923077,0.35353535353535354,0.3103448275862069,0.46071774975751695,0.4122211445198836,0.04849660523763336,0.12124151309408342,0.21823472356935014,0.07274490785645005,0.02424830261881668,0.02424830261881668,0.21823472356935014,0.47368421052631576,1.6973811833171677,17,53,0.02424830261881668
"Jerami Grant","DEN",76,2060,-2.1850146242006048,113.58800773694391,115.7730223611445,19.414893617021278,0.24550898203592814,0.3333333333333333,0.3013698630136986,0.2894736842105263,1.4907429670593892,1.3705217600384707,0.12022120702091849,0.8415484491464295,0.5049290694878577,0.024044241404183698,0.048088482808367396,0.0721327242125511,0.8415484491464295,0.5645161290322581,1.2503005530175524,22,30,0.09617696561673479
"Will Barton","DEN",58,1916,5.62158212485825,114.54875518672199,108.92717306186374,19.605809128630707,0.24858757062146894,0.4479166666666667,0.4731182795698925,0.25,0.7569825110937092,0.7047768206734534,0.05220569042025581,0.5220569042025581,0.18271991647089533,0,0.026102845210127904,0.026102845210127904,0.44374836857217437,0.5862068965517241,1.5922735578178022,27,34,0.05220569042025581
"Gary Harris","DEN",56,1780,3.773339820448996,112.78513094902844,109.01179112857946,15.31962827372571,0.20437956204379562,0.352112676056338,0.3333333333333333,0.19230769230769232,0.3930376193149916,0.36496350364963503,0.02807411566535654,0.1965188096574958,0.16844469399213924,0,0,0.02807411566535654,0.25266704098820886,0.6428571428571429,2.133632790567097,30,46,0
"Monte Morris","DEN",78,1767,-0.4466095252208362,113.16815144766146,113.6147609728823,18.01224944320713,0.2413793103448276,0.3673469387755102,0.2828282828282828,0.3684210526315789,0.5032149846239866,0.4752585965893207,0.02795638803466592,0.19569471624266144,0.2516074923119933,0.02795638803466592,0,0.02795638803466592,0.3075202683813251,0.6111111111111112,1.6214705060106234,15,43,0
"Paul Millsap","DEN",56,1359,6.317882515575278,116.24722427831236,109.92934176273708,20.09622501850481,0.25,0.3235294117647059,0.24705882352941178,0.15384615384615385,1.2644105615470436,1.2272220156191893,0.03718854592785422,0.8925251022685013,0.33469691335068796,0,0.03718854592785422,0,0.6322052807735218,0.5,1.7850502045370027,25,23,0
"Torrey Craig","DEN",63,1186,-6.268140082879668,111.74193548387096,118.01007556675063,12.172043010752688,0.21649484536082475,0.4,0.3333333333333333,0,1.5533165407220824,1.5113350125944585,0.041981528127623846,0.6297229219143576,0.797649034424853,0.08396305625524769,0,0.041981528127623846,0.8816120906801007,0.5675675675675675,1.0075566750629723,6,18,0.08396305625524769
"Mason Plumlee","DEN",66,1108,-1.4499513732828575,110.80839660562751,112.25834797891036,15.587315765966949,0.6666666666666666,0.36363636363636365,0.2391304347826087,0.5555555555555556,1.8014059753954306,1.757469244288225,0.043936731107205626,1.1423550087873462,0.5711775043936731,0.043936731107205626,0.043936731107205626,0,1.1862917398945518,0.6585365853658537,1.4938488576449913,15,19,0.08787346221441125
"Michael Porter Jr.","DEN",60,1040,-0.10584652321422539,116.97312588401697,117.0789724072312,22.77227722772277,0.23711340206185566,0.24528301886792453,0.3870967741935484,0.18181818181818182,1.3320647002854424,1.3320647002854424,0,0.8087535680304472,0.47573739295908657,0.047573739295908656,0,0,0.6660323501427212,0.5,1.3320647002854424,9,19,0.09514747859181731
"Malik Beasley","DEN",41,746,2.0489964099216706,111.81462140992167,109.765625,18.864229765013054,0.22772277227722773,0.4,0.35294117647058826,0.15,0.390625,0.390625,0,0.1953125,0.1953125,0,0,0,0.2604166666666667,0.6666666666666666,2.0182291666666665,16,15,0
"PJ Dozier","DEN",33,492,-4.896275506244493,112.53761283851554,117.43388834476004,17.853560682046137,0.08823529411764706,0.6470588235294118,0.36363636363636365,0.13333333333333333,0.6856023506366308,0.6856023506366308,0,0.48971596474045054,0.1958863858961802,0,0,0,0.48971596474045054,0.7142857142857143,1.4691478942213516,5,10,0.0979431929480901
"Juancho Hernangomez","DEN",34,422,0.9080590238365573,106.81044267877411,105.90238365493757,8.286038592508513,0.30952380952380953,0.42105263157894735,0.5714285714285714,0,0.5675368898978433,0.5675368898978433,0,0.22701475595913734,0.340522133938706,0,0,0,0.4540295119182747,0.8,0.5675368898978433,0,5,0
"Keita Bates-Diop","DEN",9,114,-1.1610376896720425,118.22222222222223,119.38325991189427,14.222222222222221,0.3333333333333333,0.5454545454545454,1,0,1.7621145374449338,1.7621145374449338,0,0.8810572687224669,0.8810572687224669,0,0,0,0.44052863436123346,0.25,0.8810572687224669,0,2,0.44052863436123346
"Bol Bol","DEN",8,100,-3.636639139328736,117.25888324873097,120.89552238805972,18.781725888324875,0.16666666666666666,0.5,0.75,0.2,3.482587064676617,2.487562189054726,0.9950248756218906,2.487562189054726,0,0,0.4975124378109453,0.4975124378109453,2.985074626865672,0.8571428571428571,1.492537313432836,1,2,0.4975124378109453
"Troy Daniels","DEN",9,95,1.8891621748914105,111.16751269035534,109.27835051546393,15.228426395939087,0.35294117647058826,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5463917525773196,1,2,0
"Vlatko Cancar","DEN",14,45,-1.3821230316075628,110.98901098901098,112.37113402061856,12.087912087912088,0.2,0.5,0,1,1.0309278350515463,1.0309278350515463,0,1.0309278350515463,0,0,0,0,0,0,1.0309278350515463,0,1,0
"Jarred Vanderbilt","DEN",9,41,-18.681318681318672,102.19780219780219,120.87912087912088,6.593406593406593,0,0.5,0,0,1.098901098901099,1.098901098901099,0,1.098901098901099,0,0,0,0,0,0,3.2967032967032965,0,3,0
"Noah Vonleh","DEN",8,33,-14.89769820971867,113.04347826086958,127.94117647058823,17.391304347826086,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jordan McRae","DEN",4,32,21.46520146520146,147.61904761904762,126.15384615384615,14.285714285714286,0,0,0,0,1.5384615384615385,1.5384615384615385,0,1.5384615384615385,0,0,0,0,0,0,3.076923076923077,0,2,0
"Tyler Cook","DEN",3,23,8.695652173913047,119.56521739130434,110.8695652173913,4.3478260869565215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.3478260869565215,0,2,0
