"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Eric Paschall","GSW",60,1654,-10.533400795030957,106.30288882404435,116.83628961907532,21.62241027137438,0.10588235294117647,0.42105263157894735,0.32978723404255317,0.13793103448275862,0.37801686536783946,0.37801686536783946,0,0.2035475428903751,0.17446932247746438,0,0,0,0.2617039837161966,0.6923076923076923,0.9305030532131433,10,22,0.08723466123873219
"Glenn Robinson III","GSW",48,1516,-8.847361064655956,106.26191989828354,115.1092809629395,17.037507946598854,0.15151515151515152,0.3023255813953488,0.3157894736842105,0.2033898305084746,0.4434589800443459,0.4434589800443459,0,0.25340513145391197,0.19005384859043395,0,0,0,0.15837820715869497,0.35714285714285715,1.4254038644282547,10,35,0.06335128286347799
"Damion Lee","GSW",49,1422,-4.151322397053903,108.00133913625712,112.152661533311,18.781386006026114,0.18,0.32432432432432434,0.2698412698412698,0.23809523809523808,0.2008704385671242,0.2008704385671242,0,0.06695681285570806,0.13391362571141613,0,0,0,0.1004352192835621,0.5,1.6739203213927016,16,34,0
"Alec Burks","GSW",48,1390,-8.980582524271838,104.81969486823856,113.80027739251041,24.826629680998614,0.24031007751937986,0.358974358974359,0.3563218390804598,0.12,0.5894590846047156,0.5547850208044383,0.03467406380027739,0.24271844660194175,0.3120665742024965,0,0,0.03467406380027739,0.34674063800277394,0.5882352941176471,1.7337031900138695,20,30,0.03467406380027739
"Jordan Poole","GSW",57,1274,-7.8566962176777935,104.89171023151606,112.74840644919384,17.886482449589245,0.21978021978021978,0.375,0.275,0.2,0.3749531308586427,0.3374578177727784,0.03749531308586427,0.14998125234345708,0.18747656542932134,0,0,0.03749531308586427,0.2249718785151856,0.6,1.3123359580052494,12,23,0
"Draymond Green","GSW",43,1222,-7.2392987879170505,104.9747376603187,112.21403644823576,12.592304702681695,0.19101123595505617,0.17142857142857143,0.2682926829268293,0.08695652173913043,1.2795657231485071,1.0081426909654905,0.27142303218301667,0.27142303218301667,0.7367196587824738,0,0.07754943776657619,0.19387359441644048,0.6591702210158976,0.5151515151515151,2.2877084141139976,21,38,0
"Marquese Chriss","GSW",59,1196,-8.858913916535698,106.8840579710145,115.74297188755021,17.431561996779386,0,0.3404255319148936,0.15789473684210525,0.09090909090909091,2.4899598393574296,2.4497991967871484,0.040160642570281124,1.7269076305220883,0.7228915662650602,0,0,0.040160642570281124,1.4859437751004017,0.5967741935483871,1.5662650602409638,9,30,0.4819277108433735
"D'Angelo Russell","GSW",33,1060,-10.937660297512181,105.75892857142858,116.69658886894075,31.607142857142858,0.28205128205128205,0.6153846153846154,0.2391304347826087,0.125,0.40394973070017953,0.40394973070017953,0,0.26929982046678635,0.08976660682226212,0.04488330341113106,0,0,0.26929982046678635,0.6666666666666666,1.3913824057450628,9,22,0
"Ky Bowman","GSW",45,1015,-7.814766343286607,102.33222275107092,110.14698909435752,14.945264159923846,0.14925373134328357,0.36666666666666664,0.34782608695652173,0.15151515151515152,0.474158368895211,0.474158368895211,0,0.2844950213371266,0.1896633475580844,0,0,0,0.0948316737790422,0.2,2.0862968231389285,18,26,0
"Willie Cauley-Stein","GSW",41,941,-6.708580821823375,103.9021852237253,110.61076604554866,13.631633714880333,0,0.12195121951219512,0.17073170731707318,0.16666666666666666,2.587991718426501,2.536231884057971,0.051759834368530024,1.5527950310559007,0.9834368530020704,0,0,0.051759834368530024,1.2939958592132506,0.5,2.329192546583851,16,29,0.051759834368530024
"Omari Spellman","GSW",49,886,-8.81572222313818,103.77969762419006,112.59541984732824,16.360691144708422,0.13846153846153847,0.3409090909090909,0.23076923076923078,0.06451612903225806,1.3086150490730644,1.3086150490730644,0,0.7088331515812432,0.5997818974918212,0,0,0,0.8178844056706652,0.625,1.7993456924754634,10,23,0.21810250817884405
