"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"James Harden","HOU",72,2633,5.510560695592375,114.98745069917533,109.47689000358294,40.7314449623521,0.21631205673758866,0.35526315789473684,0.3945578231292517,0.3,1.0927982801863132,0.9853099247581512,0.10748835542816194,0.4299534217126478,0.5374417771408098,0.01791472590469366,0.03582945180938732,0.07165890361877464,0.627015406664278,0.5737704918032787,2.3826585453242566,58,75,0
"P.J. Tucker","HOU",76,2614,3.1269185837910953,113.66179390001805,110.53487531622696,8.28370330265295,0.2,0.28125,0.34782608695652173,0.2,0.6505240332490061,0.6324539212143115,0.018070112034694615,0.2710516805204192,0.32526201662450305,0.03614022406938923,0.018070112034694615,0,0.3794723527285869,0.5833333333333334,1.4275388507408746,30,49,0.018070112034694615
"Danuel House Jr.","HOU",67,2060,2.9946978034246,114.06783519235147,111.07313738892687,14.249943091281585,0.22268907563025211,0.18867924528301888,0.2857142857142857,0,0.7746639325586694,0.7518796992481203,0.0227842333105491,0.5696058327637274,0.1367053998632946,0.0455684666210982,0,0.0227842333105491,0.3645477329687856,0.47058823529411764,1.5721120984278878,18,51,0.0455684666210982
"Russell Westbrook","HOU",57,2049,2.121646229405428,112.34127868122076,110.21963245181533,31.41011361104923,0.16774193548387098,0.2918454935622318,0.21739130434782608,0.1388888888888889,0.44822949350067237,0.42581801882563874,0.022411474675033616,0.29134917077543704,0.1344688480502017,0,0,0.022411474675033616,0.17929179740026893,0.4,2.0842671447781265,42,51,0.022411474675033616
"Ben McLemore","HOU",75,1683,4.881885493295826,117.17536071032187,112.29347521702604,18.423973362930077,0.26199261992619927,0.38461538461538464,0.375,0,0.44805376645197426,0.44805376645197426,0,0.3080369644357323,0.14001680201624195,0,0,0,0.19602352282273872,0.4375,1.3161579389526743,17,30,0.02800336040324839
"Austin Rivers","HOU",72,1677,1.61911395953652,115.41029207232266,113.79117811278616,15.577190542420027,0.24719101123595505,0.34285714285714286,0.32,0,0.27917364600781686,0.25125628140703515,0.027917364600781685,0.13958682300390843,0.11166945840312674,0,0,0.027917364600781685,0.16750418760469013,0.6,1.3958682300390843,18,32,0
"Clint Capela","HOU",39,1279,2.1528646417994963,111.91520467836257,109.76234003656306,15.350877192982455,0,0.41836734693877553,0.3409090909090909,0,2.6325411334552102,2.5594149908592323,0.07312614259597806,1.8281535648994516,0.7312614259597806,0,0.03656307129798903,0.03656307129798903,1.7550274223034734,0.6666666666666666,1.206581352833638,11,22,0.21937842778793418
"Eric Gordon","HOU",40,1152,-0.38491358081694216,112.70032051282051,113.08523409363747,22.756410256410255,0.16228070175438597,0.296875,0.15625,0.25,0.6802721088435374,0.6002400960384153,0.08003201280512205,0.3201280512204882,0.24009603841536614,0.040016006402561026,0.040016006402561026,0.040016006402561026,0.36014405762304924,0.5294117647058824,1.0804321728691477,9,18,0
"Robert Covington","HOU",26,838,3.2823630010612277,111.45598194130926,108.17361894024803,14.616252821670429,0.184,0.23529411764705882,0.2222222222222222,0,2.987598647125141,2.987598647125141,0,1.8038331454340473,1.1273957158962795,0.05636978579481398,0,0,1.7474633596392333,0.5849056603773585,2.3111612175873733,11,30,0.05636978579481398
"Jeff Green","HOU",22,547,4.002644555246405,116.12903225806453,112.12638770281809,22.920203735144312,0.1,0.26666666666666666,0.2,0,0.9393680614859095,0.9393680614859095,0,0.5123825789923142,0.4269854824935952,0,0,0,0.4269854824935952,0.45454545454545453,1.3663535439795047,4,12,0
"Thabo Sefolosha","HOU",41,436,3.002182288194021,113.70882040382571,110.70663811563169,8.71413390010627,0.13157894736842105,0.25,0.6666666666666666,0.25,1.284796573875803,1.177730192719486,0.10706638115631692,0.5353319057815846,0.6423982869379015,0,0,0.10706638115631692,0.6423982869379015,0.5,2.569593147751606,9,15,0
"Chris Clemons","HOU",33,291,-11.364542586750801,100.31545741324922,111.68,23.186119873817034,0.15714285714285714,0.09090909090909091,0.5,0,0.96,0.96,0,0.32,0.64,0,0,0,0.48,0.5,1.44,2,7,0
"Isaiah Hartenstein","HOU",23,266,6.626059175312946,114.88616462346761,108.26010544815465,14.360770577933451,0,0.36363636363636365,0.16666666666666666,0,2.10896309314587,2.10896309314587,0,1.757469244288225,0.351493848857645,0,0,0,1.2302284710017575,0.5833333333333334,1.5817223198594024,3,6,0.351493848857645
"Tyson Chandler","HOU",26,219,6.092436974789919,113.65546218487395,107.56302521008404,6.092436974789916,0,0,0,0,1.680672268907563,1.680672268907563,0,1.2605042016806722,0.42016806722689076,0,0,0,0.8403361344537815,0.5,1.2605042016806722,1,5,0
"Gary Clark","HOU",18,212,2.3697148475909557,116.81415929203541,114.44444444444444,15.044247787610619,0.2727272727272727,0,0,0,1.5555555555555556,1.1111111111111112,0.4444444444444444,1.1111111111111112,0,0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.14285714285714285,0.4444444444444444,2,0,0
"DeMarre Carroll","HOU",10,157,-6.41382868937049,103.23529411764706,109.64912280701755,15.588235294117647,0.26666666666666666,0.3333333333333333,0,0,0.8771929824561403,0.8771929824561403,0,0.5847953216374269,0.29239766081871343,0,0,0,0.5847953216374269,0.6666666666666666,1.7543859649122806,3,3,0
"Michael Frazier","HOU",14,147,-16.09693782402745,95.98765432098764,112.08459214501511,8.333333333333334,0.05263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6042296072507553,2,0,0
"Bruno Caboclo","HOU",9,54,-11.212903225806443,98.38709677419355,109.6,19.35483870967742,0,0,1,0,4,2.4,1.6,2.4,0,0,0.8,0.8,3.2,0.8,4.8,0,6,0
"Luc Mbah a Moute","HOU",3,25,-9.972677595628411,91.66666666666667,101.63934426229508,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.278688524590164,1,1,0
"Ryan Anderson","HOU",2,14,25.09469696969697,128.125,103.03030303030303,15.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0303030303030303,0,1,0
"William Howard","HOU",2,13,-51.26436781609195,62.06896551724138,113.33333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
