"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Kawhi Leonard","LAC",62,2042,11.697385596623008,119.25082977714557,107.55344418052256,37.1977240398293,0.2191780821917808,0.39759036144578314,0.30434782608695654,0.225,0.8551068883610451,0.7838479809976246,0.07125890736342043,0.40380047505938244,0.35629453681710216,0.023752969121140142,0.07125890736342043,0,0.5700712589073634,0.6666666666666666,2.660332541567696,40,72,0
"Lou Williams","LAC",70,2010,3.596800790437655,114.86705202312139,111.27025123268372,27.398843930635838,0.20689655172413793,0.31313131313131315,0.3586206896551724,0.22727272727272727,0.2817562808170932,0.2582765907490021,0.0234796900680911,0.0939187602723644,0.1408781404085466,0.0234796900680911,0.0234796900680911,0,0.0939187602723644,0.3333333333333333,1.0800657431321907,9,37,0
"Montrezl Harrell","LAC",68,1844,5.389094931355331,114.71631205673759,109.32721712538226,25.05065856129686,0.5,0.34375,0.24369747899159663,0.07142857142857142,1.9622833843017329,1.8603465851172274,0.1019367991845056,1.2487257900101936,0.5351681957186545,0.0764525993883792,0.0509683995922528,0.0509683995922528,0.9938837920489296,0.5064935064935064,0.9938837920489296,13,26,0.0509683995922528
"Paul George","LAC",53,1596,8.251620116228338,117.81970649895177,109.56808638272345,30.997304582210244,0.2248995983935743,0.4426229508196721,0.345679012345679,0.2127659574468085,0.629874025194961,0.5698860227954409,0.059988002399520096,0.44991001799640074,0.11997600479904019,0,0.029994001199760048,0.029994001199760048,0.3899220155968806,0.6190476190476191,2.1895620875824835,25,48,0
"Landry Shamet","LAC",58,1551,3.0029529959792995,114.17202326293234,111.16907026695304,14.967860422405877,0.23076923076923078,0.5714285714285714,0.3684210526315789,0.16666666666666666,0.33752684872660327,0.3068425897514575,0.03068425897514575,0.27615833077631174,0.03068425897514575,0,0,0.03068425897514575,0.21478981282602025,0.6363636363636364,0.7364222154034981,6,18,0
"Ivica Zubac","LAC",77,1441,10.215380590875142,116.94228822139723,106.72690763052209,15.086061424232197,0,0.4166666666666667,0.32558139534883723,0.2857142857142857,2.3761713520749663,2.3761713520749663,0,1.606425702811245,0.7028112449799196,0.06693440428380187,0,0,1.6733601070950468,0.704225352112676,0.5689424364123159,3,14,0.10040160642570281
"JaMychal Green","LAC",68,1376,3.7378158070992527,113.9678192399863,110.23000343288706,12.906538856555974,0.1564625850340136,0.35135135135135137,0.26666666666666666,0.14285714285714285,0.8925506350841057,0.82389289392379,0.06865774116031582,0.5835907998626845,0.2059732234809475,0.03432887058015791,0.03432887058015791,0.03432887058015791,0.5835907998626845,0.6538461538461539,1.0298661174047374,11,19,0
"Patrick Beverley","LAC",52,1362,10.572375732115404,116.51927838698266,105.94690265486726,13.406437920056597,0.28346456692913385,0.3333333333333333,0.4666666666666667,0.16666666666666666,0.8849557522123894,0.6371681415929203,0.24778761061946902,0.17699115044247787,0.3893805309734513,0.07079646017699115,0.07079646017699115,0.17699115044247787,0.5309734513274337,0.6,1.9823008849557522,32,24,0
"Maurice Harkless","LAC",50,1141,3.334790131332767,111.97829716193655,108.6435070306038,9.766277128547578,0.2222222222222222,0.43478260869565216,0.5555555555555556,0.25,1.2406947890818858,1.075268817204301,0.1654259718775848,0.5789909015715468,0.37220843672456577,0.12406947890818859,0.0827129859387924,0.0827129859387924,0.5376344086021505,0.43333333333333335,2.0264681555004134,15,34,0
"Rodney McGruder","LAC",58,879,1.7801697660132874,111.64893617021276,109.86876640419948,9.46808510638298,0.2222222222222222,0.2,0.37037037037037035,0,0.4199475065616798,0.4199475065616798,0,0.4199475065616798,0,0,0,0,0.15748031496062992,0.375,1.3648293963254594,11,15,0
"Patrick Patterson","LAC",60,781,4.016352921279619,111.03074141048825,107.01438848920864,15.611814345991561,0.20192307692307693,0.38461538461538464,0.3333333333333333,0,0.17985611510791366,0.17985611510791366,0,0.17985611510791366,0,0,0,0,0.11990407673860912,0.6666666666666666,0.4196642685851319,2,5,0
"Marcus Morris Sr.","LAC",24,711,15.44106698828189,123.56948228882834,108.12841530054645,15.326975476839237,0.14285714285714285,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.9562841530054644,0.8879781420765027,0.06830601092896176,0.34153005464480873,0.4781420765027322,0.06830601092896176,0.06830601092896176,0,0.7513661202185792,0.7857142857142857,1.366120218579235,3,17,0.06830601092896176
"Jerome Robinson","LAC",42,476,4.251477392522617,108.54947166186359,104.29799426934096,11.527377521613833,0.23404255319148937,0.3333333333333333,0.35294117647058826,0,0.7640878701050621,0.6685768863419294,0.09551098376313276,0.4775549188156638,0.09551098376313276,0.09551098376313276,0,0.09551098376313276,0.4775549188156638,0.625,1.241642788920726,7,6,0
"Reggie Jackson","LAC",22,472,10.113381341093486,120.42682926829268,110.31344792719918,19.20731707317073,0.1590909090909091,0.2857142857142857,0.2857142857142857,0.5,0.4044489383215369,0.3033367037411527,0.10111223458038422,0.10111223458038422,0.20222446916076844,0,0,0.10111223458038422,0.20222446916076844,0.5,0.6066734074823054,3,3,0
"Terance Mann","LAC",46,379,2.150133151816945,106.5190651906519,104.36893203883496,11.562115621156211,0.16666666666666666,0.5,0.2,0.3333333333333333,0.6067961165048543,0.6067961165048543,0,0.24271844660194175,0.3640776699029126,0,0,0,0.24271844660194175,0.4,1.4563106796116505,2,10,0
"Derrick Walton Jr.","LAC",23,222,0.3992774978610072,106.36942675159236,105.97014925373134,10.19108280254777,0.4166666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8528784648187633,2,2,0
"Amir Coffey","LAC",20,164,3.7544062967791803,109.6866096866097,105.9322033898305,17.094017094017094,0.21428571428571427,0.25,0.5714285714285714,0,0.5649717514124294,0.5649717514124294,0,0.2824858757062147,0.2824858757062147,0,0,0,0.2824858757062147,0.5,1.694915254237288,2,4,0
