"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"LeBron James","LAL",71,2447,9.71808317908473,115.12455516014235,105.40647198105762,32.2854883353104,0.20350877192982456,0.3879781420765027,0.4074074074074074,0.22115384615384615,0.7300710339384373,0.7300710339384373,0,0.5327545382794001,0.19731649565903708,0,0,0,0.3354380426203631,0.4594594594594595,1.637726913970008,27,56,0.03946329913180742
"Anthony Davis","LAL",66,2258,6.275517379863402,113.23807522588778,106.9625578460244,31.35112418575331,0.2323943661971831,0.31932773109243695,0.23125,0.17142857142857143,3.176272612536811,2.9028186790071517,0.27345393352965924,1.6407236011779553,0.9676062263357172,0.2944888514934792,0.02103491796381994,0.2524190155658393,1.9772822885990744,0.6225165562913907,2.040387042490534,29,68,0.12620950778291964
"Kentavious Caldwell-Pope","LAL",73,1864,5.220136791081572,113.80107941403239,108.58094262295083,16.31971215625803,0.20382165605095542,0.39285714285714285,0.375,0.21428571428571427,0.35860655737704916,0.33299180327868855,0.025614754098360656,0.20491803278688525,0.12807377049180327,0,0.025614754098360656,0,0.2305327868852459,0.6428571428571429,1.5368852459016393,14,46,0
"Danny Green","LAL",72,1789,7.2714571688053695,115.36008503853307,108.0886278697277,14.323677916555939,0.2903225806451613,0.5161290322580645,0.4782608695652174,0.2608695652173913,0.9610250934329952,0.8542445274959958,0.10678056593699947,0.5339028296849974,0.3203416978109984,0,0,0.10678056593699947,0.587293112653497,0.6111111111111112,2.429257875066738,47,44,0.053390282968499736
"Kyle Kuzma","LAL",65,1622,6.204456602412407,112.72301842644049,106.51856182402805,21.146534074290727,0.1774193548387097,0.3488372093023256,0.3106796116504854,0.25925925925925924,0.7892429114294066,0.7892429114294066,0,0.5261619409529378,0.2630809704764689,0,0,0,0.4384682841274481,0.5555555555555556,0.8477053493130664,11,18,0.05846243788365975
"Dwight Howard","LAL",73,1380,6.174266382995043,114.58781362007169,108.41354723707664,11.971326164874553,0.3333333333333333,0.4909090909090909,0.2608695652173913,0,2.8520499108734403,2.8520499108734403,0,1.8181818181818181,1.0338680926916222,0,0,0,1.5329768270944741,0.5375,1.1408199643493762,14,18,0.46345811051693403
"Alex Caruso","LAL",68,1269,11.60966734933291,113.9780884019645,102.36842105263158,12.618058179070646,0.26136363636363635,0.4523809523809524,0.21212121212121213,0.21052631578947367,0.7142857142857143,0.7142857142857143,0,0.3383458646616541,0.3383458646616541,0.03759398496240601,0,0,0.3007518796992481,0.42105263157894735,2.781954887218045,19,55,0
"Avery Bradley","LAL",49,1186,7.658245614035081,113.36,105.70175438596492,16,0.25925925925925924,0.3103448275862069,0.375,0.2,0.19936204146730463,0.19936204146730463,0,0.07974481658692185,0.11961722488038277,0,0,0,0.1594896331738437,0.8,1.7145135566188199,29,14,0
"JaVale McGee","LAL",72,1184,5.770270869499356,113.8629914876368,108.09272061813745,14.87636805837049,0,0.3972602739726027,0.2894736842105263,0.5,4.06669377795852,3.944692964619764,0.12200081333875559,3.13135420902806,0.7726718178121188,0.040666937779585195,0.040666937779585195,0.08133387555917039,2.684017893452623,0.66,1.5046766978446522,10,27,0.7726718178121188
"Rajon Rondo","LAL",48,984,1.561883547882502,111.95277914412199,110.39089559623947,15.44515494343335,0.1728395061728395,0.35294117647058826,0.4838709677419355,0.15,0.09896091044037605,0.04948045522018803,0.04948045522018803,0,0.04948045522018803,0,0,0.04948045522018803,0,0,1.979218208807521,19,21,0
"Quinn Cook","LAL",46,525,3.539548819319265,109.14027149321267,105.6007226738934,19.27601809954751,0.33962264150943394,0.45,0.43478260869565216,0.07142857142857142,0.18066847335140018,0.18066847335140018,0,0.18066847335140018,0,0,0,0,0.09033423667570009,0.5,1.084010840108401,4,8,0
