"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Bam Adebayo","MIA",76,2554,5.805980769720264,115.31865133502241,109.51267056530214,20.210485285519393,0.14285714285714285,0.33088235294117646,0.2874251497005988,0.10526315789473684,1.9103313840155944,1.8518518518518519,0.05847953216374269,1.1306042884990253,0.5847953216374269,0.1364522417153996,0.03898635477582846,0.01949317738791423,1.1306042884990253,0.5918367346938775,1.6764132553606237,25,61,0.3508771929824561
"Duncan Robinson","MIA",77,2266,7.249677960950038,116.11570247933885,108.8660245183888,20.117442366246195,0.1844380403458213,0.3,0.5555555555555556,0.2,0.43782837127845886,0.3283712784588441,0.10945709281961472,0.21891418563922943,0.10945709281961472,0,0,0.10945709281961472,0.21891418563922943,0.5,0.8099824868651488,12,25,0.021891418563922942
"Jimmy Butler","MIA",62,2094,5.843418210570505,115.43180745634733,109.58838924577682,26.54554034922133,0.21052631578947367,0.4,0.28846153846153844,0.1111111111111111,0.8565310492505354,0.7375684035212943,0.11896264572924102,0.4282655246252677,0.30930287889602665,0,0.04758505829169641,0.07137758743754462,0.5948132286462051,0.6944444444444444,2.688555793480847,46,67,0.023792529145848205
"Kendrick Nunn","MIA",68,1977,1.7019825685287913,112.47504990019961,110.77306733167082,23.527944111776446,0.21370967741935484,0.3448275862068966,0.37209302325581395,0.23529411764705882,0.3740648379052369,0.3491271820448878,0.02493765586034913,0.2743142144638404,0.07481296758104738,0,0,0.02493765586034913,0.19950124688279303,0.5333333333333333,1.3965087281795512,29,27,0.02493765586034913
"Goran Dragic","MIA",63,1800,4.564536008399401,114.6301815226226,110.06564551422319,26.523977241939853,0.2318181818181818,0.25,0.3645833333333333,0.35185185185185186,0.2735229759299781,0.2735229759299781,0,0.10940919037199125,0.08205689277899343,0.08205689277899343,0,0,0.16411378555798686,0.6,1.2308533916849016,23,22,0
"Tyler Herro","MIA",59,1638,-1.0643182790170584,110.30068472759748,111.36500300661456,21.554033938672223,0.1827956989247312,0.3673469387755102,0.21428571428571427,0.20238095238095238,0.30066145520144316,0.30066145520144316,0,0.12026458208057728,0.15033072760072158,0.03006614552014432,0,0,0.24052916416115455,0.8,1.0823812387251954,18,18,0.03006614552014432
"Derrick Jones Jr.","MIA",63,1418,0.7347602516514655,113.26064016883574,112.52587991718427,15.476609215617305,0.2235294117647059,0.40425531914893614,0.3333333333333333,0.3333333333333333,1.311249137336094,1.2422360248447204,0.06901311249137336,0.759144237405107,0.3795721187025535,0.10351966873706005,0,0.06901311249137336,0.8281573498964804,0.631578947368421,2.1048999309868877,19,42,0
"Kelly Olynyk","MIA",71,1355,2.1552567970558982,112.93992179168148,110.78466499462559,17.66797013864202,0.15172413793103448,0.25,0.36,0.06666666666666667,0.8599068434252956,0.8240773916159083,0.03582945180938732,0.6449301325689717,0.17914725904693657,0,0.03582945180938732,0,0.35829451809387314,0.4166666666666667,1.6123253314224293,13,32,0.07165890361877464
"Meyers Leonard","MIA",51,1034,4.4644056225798465,112.6453488372093,108.18094321462945,13.614341085271318,0.16,0.23076923076923078,0.19047619047619047,0.2,0.7218479307025987,0.6737247353224254,0.04812319538017324,0.3368623676612127,0.3368623676612127,0,0.04812319538017324,0,0.3368623676612127,0.4666666666666667,0.6737247353224254,5,9,0
"Jae Crowder","MIA",24,656,1.0879848628192974,111.90476190476191,110.8167770419426,18.75,0.15476190476190477,0.4444444444444444,0.3333333333333333,0,0.7358351729212657,0.7358351729212657,0,0.5886681383370125,0.14716703458425312,0,0,0,0.515084621044886,0.7,2.1339220014716704,10,19,0
"Andre Iguodala","MIA",25,525,2.6029272296416366,111.72668513388734,109.1237579042457,9.695290858725762,0.058823529411764705,0.5714285714285714,0.14285714285714285,0,2.3486901535682025,1.987353206865402,0.36133694670280037,0.993676603432701,0.993676603432701,0,0.09033423667570009,0.27100271002710025,1.1743450767841013,0.5,1.7163504968383017,9,10,0.09033423667570009
"Justise Winslow","MIA",11,352,6.924101198402127,108.92143808255659,101.99733688415446,14.913448735019973,0.21052631578947367,0.5,0.3333333333333333,0.25,0.6657789613848203,0.5326231691078562,0.13315579227696406,0.3994673768308921,0.13315579227696406,0,0,0.13315579227696406,0.3994673768308921,0.6,0.9320905459387483,5,2,0.13315579227696406
"Chris Silva","MIA",44,346,-7.026855693868143,106.52777777777777,113.55463347164591,12.222222222222221,0,0.29411764705882354,0.375,0,2.904564315352697,2.904564315352697,0,2.351313969571231,0.5532503457814661,0,0,0,2.074688796680498,0.7142857142857143,1.2448132780082988,3,6,0.2766251728907331
"James Johnson","MIA",18,281,4.768603048030712,117.55319148936171,112.784588441331,16.666666666666668,0.041666666666666664,0.4,0.1111111111111111,0,2.276707530647986,1.4010507880910683,0.8756567425569177,1.0507880910683012,0.3502626970227671,0,0.17513134851138354,0.7005253940455342,1.926444833625219,0.8461538461538461,1.0507880910683012,2,4,0.17513134851138354
"Solomon Hill","MIA",11,187,-3.108152423427569,108.03108808290156,111.1392405063291,11.139896373056995,0.17647058823529413,0,0.5714285714285714,0.5,1.2658227848101267,1.2658227848101267,0,0.759493670886076,0.5063291139240507,0,0,0,1.0126582278481013,0.8,3.037974683544304,6,6,0.25316455696202533
"Gabe Vincent","MIA",9,83,-16.243194192377487,91.2280701754386,107.47126436781609,9.35672514619883,0.19047619047619047,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8735632183908044,2,3,0
"Udonis Haslem","MIA",4,44,-19.608879492600423,87.20930232558139,106.81818181818181,13.953488372093023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dion Waiters","MIA",3,42,15.560224089635852,122.61904761904762,107.05882352941177,33.333333333333336,0.2222222222222222,0.2,0,0,2.3529411764705883,1.1764705882352942,1.1764705882352942,0,0,1.1764705882352942,0,1.1764705882352942,1.1764705882352942,0.5,0,0,0,0
"KZ Okpala","MIA",5,26,-24.38297872340425,93.61702127659575,118,14.893617021276595,0,0,1,0,2,0,2,0,0,0,0,2,0,0,4,1,1,0
"Daryl Macon","MIA",4,14,5.238095238095241,78.57142857142857,73.33333333333334,10.714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kyle Alexander","MIA",2,13,-6.653225806451616,87.09677419354838,93.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
