"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Jrue Holiday","NOP",61,2117,0.624806009441059,111.70893054024255,111.0841245308015,23.836824696802648,0.17972350230414746,0.4394904458598726,0.3515625,0.2727272727272727,1.0598366085228528,0.9494369618017222,0.11039964672113049,0.5299183042614264,0.3974387281960698,0.022079929344226097,0.044159858688452194,0.0662397880326783,0.5078383749172003,0.4791666666666667,2.1859130050783837,55,44,0
"Brandon Ingram","NOP",62,2104,-1.5125649158898398,111.38211382113822,112.89467873702804,29.42210503186113,0.22767857142857142,0.3805309734513274,0.35384615384615387,0.25742574257425743,0.8390373150805918,0.7948774563921396,0.044159858688452194,0.5740781629498786,0.17663943475380878,0.044159858688452194,0.022079929344226097,0.022079929344226097,0.46367851622874806,0.5526315789473685,1.346875689997792,17,44,0.022079929344226097
"Lonzo Ball","NOP",63,2025,-0.9310019407508747,111.24111034640971,112.1721122871606,15.209910529938059,0.15,0.4264705882352941,0.35714285714285715,0.18,0.8743672342383801,0.8743672342383801,0,0.5062126092959043,0.3451449608835711,0.02300966405890474,0,0,0.5522319374137138,0.631578947368421,2.024850437183617,27,61,0
"Josh Hart","NOP",65,1755,-2.6458841251907756,110.63432835820895,113.28021248339974,14.8454157782516,0.2782608695652174,0.45454545454545453,0.23529411764705882,0,0.6108897742363878,0.5577689243027888,0.05312084993359894,0.45152722443559096,0.10624169986719788,0,0,0.05312084993359894,0.2656042496679947,0.43478260869565216,1.6733067729083666,19,44,0
"JJ Redick","NOP",60,1581,-1.3431465706034516,113.52685050798257,114.86999707858605,24.90566037735849,0.2571428571428571,0.3333333333333333,0.2413793103448276,0.15384615384615385,0.29214139643587494,0.29214139643587494,0,0.175284837861525,0.0876424189307625,0.029214139643587496,0,0,0.175284837861525,0.6,0.5842827928717499,4,16,0
"Derrick Favors","NOP",51,1243,4.124293785310741,114.12429378531073,110,12.090395480225988,0.16666666666666666,0.4864864864864865,0.2222222222222222,0,1.7358490566037736,1.7358490566037736,0,1.320754716981132,0.41509433962264153,0,0,0,1.1320754716981132,0.6521739130434783,1.1320754716981132,8,22,0.1509433962264151
"Jaxson Hayes","NOP",64,1080,-1.9395084073828741,110.45473863153421,112.39424703891709,15.639609009774755,0,0.14285714285714285,0.2222222222222222,0,2.326565143824027,2.284263959390863,0.04230118443316413,1.6920473773265652,0.5922165820642978,0,0,0.04230118443316413,1.3113367174280879,0.5636363636363636,1.0998307952622672,4,22,0.21150592216582065
"Nicolo Melli","NOP",60,1042,-5.1026639605022694,108.17894261183913,113.2816065723414,15.318572074107546,0.10687022900763359,0.1875,0.21739130434782608,0.09090909090909091,1.0497489730716567,1.004107713372889,0.045641259698767686,0.7759014148790506,0.18256503879507074,0.045641259698767686,0,0.045641259698767686,0.5476951163852122,0.5217391304347826,1.5518028297581012,6,28,0
"E'Twaun Moore","NOP",56,1020,-1.9752808979126684,110.47265987025024,112.4479407681629,18.999073215940687,0.21782178217821782,0.4666666666666667,0.313953488372093,0.4,0.5090236001850995,0.46274872744099954,0.04627487274409996,0.18509949097639983,0.23137436372049977,0.04627487274409996,0.04627487274409996,0,0.13882461823229986,0.2727272727272727,1.4807959278111986,12,20,0
"Kenrich Williams","NOP",39,832,-1.2940522187097514,109.64611872146119,110.94017094017093,6.735159817351598,0.29411764705882354,0.5294117647058824,0.4,0,1.1965811965811965,1.1396011396011396,0.05698005698005698,0.7407407407407407,0.39886039886039887,0,0,0.05698005698005698,0.5698005698005698,0.47619047619047616,1.5384615384615385,6,21,0
"Frank Jackson","NOP",59,797,-2.9961444594068354,112.95336787564766,115.94951233505451,19.40126655152562,0.22340425531914893,0.4634146341463415,0.43243243243243246,0.38095238095238093,0.22948938611589215,0.22948938611589215,0,0.11474469305794607,0.11474469305794607,0,0,0,0.11474469305794607,0.5,0.9753298909925416,5,12,0
"Zion Williamson","NOP",24,668,4.202603052591044,114.63077984817114,110.42817679558011,30.296756383712907,0.25,0.41228070175438597,0.47619047619047616,0.5,0.6215469613259669,0.6215469613259669,0,0.27624309392265195,0.3453038674033149,0,0,0,0.3453038674033149,0.5555555555555556,1.1049723756906078,5,11,0.20718232044198895
