"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Julius Randle","NYK",64,2080,-5.7587915978286475,107.90653764455983,113.6653292423885,24.168043426953034,0.18902439024390244,0.4397590361445783,0.3404255319148936,0.18181818181818182,0.5192353080009441,0.5192353080009441,0,0.401227283455275,0.09440641963653529,0.023601604909133822,0,0,0.37762567854614115,0.7272727272727273,1.2036818503658249,21,30,0.023601604909133822
"RJ Barrett","NYK",56,1704,-9.137088452264294,107.59132420091325,116.72841265317753,21.261415525114156,0.2578125,0.47651006711409394,0.37623762376237624,0.28,0.4844685095468795,0.4844685095468795,0,0.3419777714448561,0.1139925904816187,0.028498147620404674,0,0,0.2564833285836421,0.5294117647058824,1.567398119122257,14,41,0
"Mitchell Robinson","NYK",61,1412,-2.9076602709410793,108.97079276773296,111.87845303867402,13.108484005563282,0,0.47435897435897434,0.75,0,4.109116022099448,3.5566298342541436,0.5524861878453039,2.106353591160221,1.3466850828729282,0.10359116022099447,0.20718232044198895,0.3453038674033149,2.4861878453038675,0.6050420168067226,1.7955801104972375,13,39,0.27624309392265195
"Bobby Portis","NYK",66,1393,-6.821766523015157,105.69134078212291,112.51310730513806,19.937150837988828,0.11016949152542373,0.4642857142857143,0.27380952380952384,0.1724137931034483,0.6291506466270534,0.5941978329255505,0.03495281370150297,0.4893393918210416,0.10485844110450891,0,0,0.03495281370150297,0.38448095071653265,0.6111111111111112,1.1184900384480951,8,24,0
"Marcus Morris Sr.","NYK",43,1387,-4.394154681364611,109.54935622317596,113.94351090454059,26.75250357653791,0.21428571428571427,0.3939393939393939,0.3875,0.17391304347826086,0.6077940650697176,0.572041473006793,0.03575259206292456,0.3932785126921702,0.1787629603146228,0,0,0.03575259206292456,0.32177332856632107,0.5294117647058824,1.2155881301394351,12,22,0
"Elfrid Payton","NYK",45,1246,-3.4505767167381975,111.1587982832618,114.609375,15.567694108466641,0.09803921568627451,0.4606741573033708,0.3924050632911392,0.3181818181818182,0.6640625,0.6640625,0,0.4296875,0.1953125,0.0390625,0,0,0.2734375,0.4117647058823529,2.734375,29,41,0
"Frank Ntilikina","NYK",57,1187,-3.459276860696278,108.0503144654088,111.50959132610508,14.50733752620545,0.25,0.4838709677419355,0.21212121212121213,0.20454545454545456,0.6672226855713094,0.5421184320266889,0.12510425354462051,0.3336113427856547,0.2085070892410342,0,0,0.12510425354462051,0.5838198498748958,0.875,2.2518765638031693,14,40,0.041701417848206836
"Kevin Knox II","NYK",65,1166,-7.617787490778852,103.96203054065208,111.57981803143093,15.352868345026826,0.21212121212121213,0.3023255813953488,0.3170731707317073,0.2631578947368421,1.1579818031430935,0.9925558312655087,0.1654259718775848,0.7030603804797353,0.24813895781637718,0.0413564929693962,0.0413564929693962,0.12406947890818859,0.5789909015715468,0.5,0.9511993382961125,7,16,0.0827129859387924
"Taj Gibson","NYK",62,1025,-12.62135922330097,104.32038834951456,116.94174757281553,13.54368932038835,0.2222222222222222,0.3018867924528302,0.44,0.0967741935483871,1.4563106796116505,1.2135922330097086,0.24271844660194175,0.8252427184466019,0.33980582524271846,0.04854368932038835,0.1941747572815534,0.04854368932038835,0.7766990291262136,0.5333333333333333,1.3106796116504855,9,18,0.0970873786407767
"Damyean Dotson","NYK",48,836,-4.609923109034355,105.5232558139535,110.13317892298784,16.686046511627907,0.29292929292929293,0.6153846153846154,0.35714285714285715,0.16216216216216217,0.23161551823972207,0.23161551823972207,0,0.17371163867979156,0.05790387955993052,0,0,0,0.23161551823972207,1,1.3317892298784018,5,18,0.05790387955993052
