"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Evan Fournier","ORL",70,2213,-2.3213937305286265,109.69094922737308,112.01234295790171,26.136865342163354,0.17582417582417584,0.2835820895522388,0.25252525252525254,0.19480519480519481,0.37469693630152084,0.37469693630152084,0,0.19836896627727574,0.15428697377121445,0.02204099625303064,0,0,0.1763279700242451,0.47058823529411764,1.6751157152303284,23,53,0
"Nikola Vucevic","ORL",66,2144,0.3529215892414328,111.48173360562741,111.128812016386,26.73020195144089,0.1111111111111111,0.4166666666666667,0.20670391061452514,0.12345679012345678,1.137915339098771,1.137915339098771,0,0.5461993627674101,0.5689576695493855,0.02275830678197542,0,0,0.7737824305871643,0.68,1.297223486572599,12,45,0.02275830678197542
"Markelle Fultz","ORL",76,2111,-1.7561635974398229,110.47421731123389,112.23038090867371,19.521178637200737,0.21505376344086022,0.45454545454545453,0.27419354838709675,0.13793103448275862,0.2983019733822855,0.2983019733822855,0,0.2524093620927031,0.04589261128958238,0,0,0,0.2065167508031207,0.6923076923076923,2.179899036255163,25,70,0.04589261128958238
"Aaron Gordon","ORL",62,2017,-1.1416289961626376,111.00244498777506,112.14407398393769,18.2640586797066,0.11486486486486487,0.5168539325842697,0.30392156862745096,0.16883116883116883,0.9491360428328061,0.9004623996106108,0.04867364322219518,0.6814310051107325,0.14602092966658553,0.07301046483329277,0,0.04867364322219518,0.6327573618885374,0.6666666666666666,1.2411779021659772,16,35,0.04867364322219518
"Terrence Ross","ORL",73,2001,-2.0985941221727984,108.33130328867236,110.42989741084514,25.042630937880634,0.19637462235649547,0.4666666666666667,0.4642857142857143,0.26732673267326734,0.6106497313141183,0.48851978505129456,0.12212994626282364,0.268685881778212,0.19540791402051783,0.024425989252564728,0.024425989252564728,0.09770395701025891,0.3419638495359062,0.56,1.9540791402051783,17,63,0
"D.J. Augustin","ORL",61,1524,0.8728766593011557,108.34135386589669,107.46847720659554,18.992621110041707,0.21138211382113822,0.40350877192982454,0.4166666666666667,0.1388888888888889,0.032331070158422244,0.032331070158422244,0,0.032331070158422244,0,0,0,0,0.032331070158422244,1,1.1315874555447785,14,21,0
"Wes Iwundu","ORL",56,1014,-0.22860554820479706,107.18418514946963,107.41279069767441,14.223722275795565,0.22807017543859648,0.39285714285714285,0.16666666666666666,0.2413793103448276,0.7267441860465116,0.7267441860465116,0,0.3391472868217054,0.29069767441860467,0.09689922480620156,0,0,0.4844961240310077,0.6666666666666666,1.3565891472868217,6,22,0.04844961240310078
"Khem Birch","ORL",52,992,-6.465933983067927,104.85388806339772,111.31982204646565,8.122833085685983,0,0.6785714285714286,0.29545454545454547,0,1.1369253583786456,1.1369253583786456,0,0.7909045971329708,0.2965892239248641,0.049431537320810674,0,0,0.6426099851705388,0.5652173913043478,1.0380622837370241,5,16,0.14829461196243204
"Jonathan Isaac","ORL",34,980,0.7359837458147496,108.1175298804781,107.38154613466334,16.583665338645417,0.16393442622950818,0.3333333333333333,0.2647058823529412,0.09375,3.890274314214464,3.7406483790523692,0.14962593516209477,1.6957605985037407,1.745635910224439,0.29925187032418954,0,0.14962593516209477,2.543640897755611,0.6538461538461539,2.6433915211970076,16,37,0
"Mo Bamba","ORL",62,878,1.443416520174523,108.37129840546697,106.92788188529245,12.813211845102506,0.20588235294117646,0.4883720930232558,0.13043478260869565,0.17647058823529413,4.88358886996025,4.713231118682566,0.17035775127768313,2.668938103350369,1.9307211811470755,0.1135718341851221,0.05678591709256105,0.1135718341851221,3.4071550255536627,0.6976744186046512,1.306076093128904,8,15,0.5110732538330494
