"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Devin Booker","PHX",70,2512,2.0042112423451925,116.18147448015124,114.17726323780605,33.13799621928166,0.23983739837398374,0.32673267326732675,0.21637426900584794,0.23809523809523808,0.3416208009109888,0.3416208009109888,0,0.2467261339912697,0.09489466691971911,0,0,0,0.11387360030366293,0.3333333333333333,0.9299677358132473,15,34,0
"Mikal Bridges","PHX",73,2042,3.1120071898938875,113.35353064553718,110.24152345564329,13.656490328594733,0.29411764705882354,0.39622641509433965,0.26666666666666666,0.08333333333333333,1.0682768230376218,1.0450534138411518,0.023223409196470042,0.6270320483046912,0.41802136553646074,0,0.023223409196470042,0,0.6734788666976312,0.6304347826086957,2.3687877380399445,34,68,0.023223409196470042
"Ricky Rubio","PHX",65,2016,3.315403622049473,114.52067669172932,111.20527306967986,18.397556390977442,0.21323529411764705,0.3563218390804598,0.3333333333333333,0.13953488372093023,0.2589453860640301,0.2589453860640301,0,0.18832391713747645,0.047080979284369114,0.023540489642184557,0,0,0.14124293785310735,0.5454545454545454,2.212806026365348,45,49,0
"Kelly Oubre Jr.","PHX",56,1933,-0.3328044476918137,112.29022704837116,112.62303149606299,22.95162882527147,0.19289340101522842,0.4728682170542636,0.3829787234042553,0.16129032258064516,0.984251968503937,0.9350393700787402,0.04921259842519685,0.5167322834645669,0.2952755905511811,0.12303149606299213,0.024606299212598427,0.024606299212598427,0.6643700787401575,0.675,1.7470472440944882,24,47,0.04921259842519685
"Dario Saric","PHX",66,1632,-1.7832813663346343,112.87012606273821,114.65340742907284,17.707417179712696,0.17333333333333334,0.27941176470588236,0.2727272727272727,0.2222222222222222,0.46797309154723604,0.46797309154723604,0,0.3217315004387248,0.14624159110851126,0,0,0,0.17548990933021352,0.375,1.0821877742029833,12,25,0
"Cameron Johnson","PHX",57,1255,0.8813459296726336,112.24412433661865,111.36277840694602,16.868840030326005,0.21604938271604937,0.38461538461538464,0.42857142857142855,0.26666666666666666,0.7550018875047187,0.7550018875047187,0,0.45300113250283125,0.3020007550018875,0,0,0,0.45300113250283125,0.6,1.3590033975084939,19,17,0
"Deandre Ayton","PHX",38,1236,3.7155048210129706,114.42979053529868,110.71428571428571,21.838634600465475,0.125,0.36363636363636365,0.21153846153846154,0.03636363636363636,2.251552795031056,2.1350931677018634,0.11645962732919254,1.358695652173913,0.6987577639751553,0.07763975155279502,0.03881987577639751,0.07763975155279502,1.3198757763975155,0.5862068965517241,1.0093167701863355,10,16,0
"Jevon Carter","PHX",58,945,0.9427873713588042,109.48979591836734,108.54700854700855,13.061224489795919,0.2345679012345679,0.36363636363636365,0.4117647058823529,0.23529411764705882,0.8547008547008547,0.7038712921065863,0.15082956259426847,0.2513826043237808,0.45248868778280543,0,0,0.15082956259426847,0.5530417295123178,0.6470588235294118,2.3629964806435395,18,29,0
"Aron Baynes","PHX",42,934,-1.9390272648699636,112.92307692307692,114.8621041879469,21.435897435897434,0.1559633027522936,0.26,0.3125,0,1.1746680286006128,1.0725229826353422,0.10214504596527069,0.9703779366700716,0.10214504596527069,0,0,0.10214504596527069,0.5107252298263534,0.43478260869565216,0.5107252298263534,2,8,0.05107252298263534
"Frank Kaminsky","PHX",39,777,-0.8126586424301934,110.62801932367151,111.4406779661017,20.108695652173914,0.2125,0.21951219512195122,0.26666666666666666,0,0.6053268765133172,0.6053268765133172,0,0.48426150121065376,0.12106537530266344,0,0,0,0.3026634382566586,0.5,0.847457627118644,2,12,0
