"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"CJ McCollum","POR",75,2751,-0.8707952511896337,115.34826741337066,116.2190626645603,27.633881694084703,0.18235294117647058,0.3870967741935484,0.3064516129032258,0.2695035460992908,0.7898894154818326,0.7547832192381956,0.035106196243637,0.4037212568018255,0.245743373705459,0.105318588730911,0,0.035106196243637,0.526592943654555,0.6666666666666666,1.0707389854309286,27,34,0
"Damian Lillard","POR",71,2661,0.7259137974249228,116.336368505624,115.61045470819907,36.08284234958043,0.18269230769230768,0.35555555555555557,0.26744186046511625,0.22857142857142856,0.4117436448263516,0.322234156820623,0.08950948800572861,0.08950948800572861,0.17901897601145722,0.05370569280343716,0.01790189760114572,0.07160759040458288,0.2864303616183315,0.6956521739130435,1.3068385248836376,31,42,0
"Hassan Whiteside","POR",72,2112,1.3680401589516578,115.73546180159634,114.3674216426447,16.53363740022805,0,0.44166666666666665,0.24770642201834864,0.14285714285714285,4.712880347746511,4.667124227865477,0.04575611988103409,3.3630748112560056,1.1439029970258523,0.1601464195836193,0,0.04575611988103409,2.8368794326241136,0.6019417475728155,0.6405856783344772,9,19,0.27453671928620454
"Carmelo Anthony","POR",63,2075,-1.3361823343033024,114.67696629213484,116.01314862643812,20.060861423220974,0.19607843137254902,0.42168674698795183,0.23853211009174313,0.15441176470588236,0.704390702042733,0.680911011974642,0.0234796900680911,0.46959380136182205,0.2113172106128199,0,0.0234796900680911,0,0.4226344212256398,0.6,1.2679032636769194,22,32,0.0234796900680911
"Anfernee Simons","POR",73,1503,-7.810753763920829,108.97803247373447,116.7887862376553,17.70136899076727,0.24,0.3448275862068966,0.2727272727272727,0.19607843137254902,0.31857279388340237,0.31857279388340237,0,0.19114367633004142,0.09557183816502071,0.03185727938834024,0,0,0.19114367633004142,0.6,0.8920038228735266,11,17,0.03185727938834024
"Gary Trent Jr.","POR",66,1480,-3.501425062715896,113.34410339256866,116.84552845528455,17.092084006462034,0.22727272727272727,0.391304347826087,0.45161290322580644,0.26666666666666666,0.5853658536585366,0.5528455284552846,0.032520325203252036,0.3902439024390244,0.16260162601626016,0,0,0.032520325203252036,0.1951219512195122,0.3333333333333333,1.7886178861788617,26,29,0
"Kent Bazemore","POR",43,1111,0.6970593272510968,110.33146792940164,109.63440860215054,13.517003874300473,0.22018348623853212,0.3191489361702128,0.48148148148148145,0.125,1.3333333333333333,1.1612903225806452,0.17204301075268819,0.989247311827957,0.08602150537634409,0.08602150537634409,0.12903225806451613,0.043010752688172046,0.7311827956989247,0.5483870967741935,1.935483870967742,17,28,0.043010752688172046
"Mario Hezonja","POR",58,936,-9.198345167327034,107.65331981753674,116.85166498486377,12.975164723770908,0.21052631578947367,0.3695652173913043,0.1875,0.23529411764705882,0.5045408678102926,0.45408678102926336,0.050454086781029264,0.2522704339051463,0.20181634712411706,0,0,0.050454086781029264,0.30272452068617556,0.6,2.0181634712411705,15,25,0
"Trevor Ariza","POR",21,702,1.9950268488280187,118.25017088174982,116.2551440329218,14.490772385509228,0.22,0.34782608695652173,0,0,0.5486968449931413,0.5486968449931413,0,0.3429355281207133,0.13717421124828533,0.06858710562414266,0,0,0.3429355281207133,0.625,2.3319615912208507,11,23,0
"Rodney Hood","POR",21,619,1.3362214536095678,114.40613026819923,113.06990881458967,16.47509578544061,0.2222222222222222,0.5,0.3333333333333333,0.2,0.303951367781155,0.303951367781155,0,0.1519756838905775,0.1519756838905775,0,0,0,0,0,1.2917933130699089,7,10,0
"Nassir Little","POR",48,573,-2.389638468485728,112.93823038397329,115.32786885245902,11.018363939899833,0.23255813953488372,0.24,0.15384615384615385,0,1.1475409836065573,1.0655737704918034,0.08196721311475409,0.9016393442622951,0,0.16393442622950818,0,0.08196721311475409,0.7377049180327869,0.6428571428571429,1.0655737704918034,4,9,0.2459016393442623
"Skal Labissiere","POR",33,567,1.6656830797389688,111.26164267569855,109.59595959595958,12.447078746824724,0,0.36363636363636365,0.2608695652173913,0.1,2.6094276094276094,2.525252525252525,0.08417508417508418,1.6835016835016836,0.8417508417508418,0,0,0.08417508417508418,1.430976430976431,0.5483870967741935,0.5892255892255892,2,5,0.25252525252525254
