"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Harrison Barnes","SAC",72,2482,-2.640358966552654,110.80764728833398,113.44800625488664,18.4939523995318,0.1402439024390244,0.46226415094339623,0.2631578947368421,0.3,0.23455824863174354,0.23455824863174354,0,0.17591868647380765,0.058639562157935886,0,0,0,0.19546520719311963,0.8333333333333334,0.8405003909304144,17,26,0.019546520719311962
"Buddy Hield","SAC",72,2216,-3.4445430299479085,110.64985872636385,114.09440175631175,27.841773527494023,0.1769041769041769,0.3333333333333333,0.2972972972972973,0.1919191919191919,0.3732162458836443,0.3732162458836443,0,0.2414928649835346,0.13172338090010977,0,0,0,0.19758507135016465,0.5294117647058824,1.4489571899012075,23,43,0
"Nemanja Bjelica","SAC",72,2011,-1.0684925277473951,112.58245785487418,113.65095038262157,16.833618372831666,0.14207650273224043,0.46835443037974683,0.39655172413793105,0.08333333333333333,0.9874105159219946,0.8392989385336954,0.1481115773882992,0.6665020982473463,0.17279684028634906,0,0.0740557886941496,0.0740557886941496,0.5924463095531968,0.6,1.5304862996790916,25,37,0.0740557886941496
"Bogdan Bogdanovic","SAC",61,1766,-1.7961050797211726,111.38392857142856,113.18003365114976,23.772321428571427,0.20817843866171004,0.38636363636363635,0.373134328358209,0.19444444444444445,0.4206393718452047,0.30846887268648343,0.11217049915872125,0.11217049915872125,0.14021312394840157,0.056085249579360626,0.028042624789680313,0.08412787436904094,0.16825574873808188,0.4,1.79472798653954,27,37,0
"Cory Joseph","SAC",72,1759,-0.09070637028672479,109.83975260050605,109.93045897079276,11.357885858869833,0.22,0.3448275862068966,0.3064516129032258,0.15217391304347827,0.5841446453407511,0.5563282336578581,0.027816411682892908,0.27816411682892905,0.25034770514603616,0.027816411682892908,0.027816411682892908,0,0.27816411682892905,0.47619047619047616,1.4742698191933241,24,29,0
"De'Aaron Fox","SAC",51,1634,-4.243938404413058,112.54009915427238,116.78403755868545,29.62962962962963,0.2440944881889764,0.3275862068965517,0.2391304347826087,0.17142857142857143,0.7335680751173709,0.7335680751173709,0,0.4988262910798122,0.2347417840375587,0,0,0,0.44014084507042256,0.6,2.171361502347418,33,41,0.05868544600938967
"Richaun Holmes","SAC",44,1242,1.1770538561900281,112.96518607442978,111.78813221823975,15.846338535414166,0,0.43636363636363634,0.2830188679245283,0.2727272727272727,2.2301871764237355,2.150537634408602,0.07964954201513341,1.3938669852648347,0.7168458781362007,0.039824771007566706,0.039824771007566706,0.039824771007566706,1.4735165272799682,0.6607142857142857,1.632815611310235,14,27,0.23894862604540024
"Trevor Ariza","SAC",32,791,-3.1900500406814416,104.40173589584626,107.59178593652769,9.981401115933044,0.19736842105263158,0.3333333333333333,0.8,0,0.4355942750466708,0.18668326073428748,0.24891101431238333,0.12445550715619166,0.06222775357809583,0,0.06222775357809583,0.18668326073428748,0.12445550715619166,0.2857142857142857,2.177971375233354,10,25,0
"Harry Giles III","SAC",46,667,-8.852436290656698,109.51343500363109,118.36587129428779,19.753086419753085,0,0.3103448275862069,0.19148936170212766,0.0625,1.3015184381778742,1.3015184381778742,0,0.6507592190889371,0.6507592190889371,0,0,0,0.7230657989877078,0.5555555555555556,1.5907447577729574,4,18,0.28922631959508316
"Kent Bazemore","SAC",25,577,1.2005946373530492,109.1514143094842,107.95081967213116,19.883527454242927,0.23809523809523808,0.23809523809523808,0.4,0.18181818181818182,0.7377049180327869,0.6557377049180327,0.08196721311475409,0.4098360655737705,0.2459016393442623,0,0.08196721311475409,0,0.16393442622950818,0.2222222222222222,2.377049180327869,12,17,0.16393442622950818
