"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Bradley Beal","WAS",57,2053,-4.979402113335254,114.65812943059686,119.63753154393208,36.74822776126229,0.2706270627062706,0.38095238095238093,0.25517241379310346,0.29133858267716534,0.5276439550355586,0.5047029135122735,0.022941041523285157,0.3211745813259922,0.13764624913971094,0.045882083046570314,0,0.022941041523285157,0.29823353980270706,0.5652173913043478,1.6288139481532462,19,52,0.022941041523285157
"Ish Smith","WAS",68,1787,-3.9431253690842283,111.51022548505506,115.4533508541393,18.038804404824333,0.19801980198019803,0.2988505747126437,0.2631578947368421,0.1743119266055046,0.7884362680683311,0.7621550591327201,0.026281208935611037,0.39421813403416556,0.2628120893561104,0.10512483574244415,0,0.026281208935611037,0.49934296977660975,0.6333333333333333,1.5505913272010512,25,34,0
"Troy Brown Jr.","WAS",69,1782,-5.954813415929522,110.4265402843602,116.38135370028971,16.5086887835703,0.1619047619047619,0.4057971014492754,0.26136363636363635,0.21428571428571427,0.18435607058203846,0.18435607058203846,0,0.10534632604687912,0.07900974453515934,0,0,0,0.1316829075585989,0.7142857142857143,2.238609428496181,26,59,0
"Davis Bertans","WAS",54,1583,-0.8171770304002166,115.82019848219498,116.6373755125952,22.562755399883248,0.1811320754716981,0.3103448275862069,0.2692307692307692,0,0.9666080843585237,0.9666080843585237,0,0.70298769771529,0.23432923257176333,0.029291154071470416,0,0,0.6151142355008787,0.6363636363636364,1.0837727006444053,8,29,0.029291154071470416
"Rui Hachimura","WAS",48,1444,-7.903461046774154,110.75057358243198,118.65403462920614,18.321861684693545,0.1694915254237288,0.45,0.23529411764705882,0.140625,0.2613524991832734,0.2613524991832734,0,0.1960143743874551,0.06533812479581835,0,0,0,0.1306762495916367,0.5,1.2087553087226397,8,29,0.359359686377001
"Isaac Bonga","WAS",66,1250,-0.05266993340872261,109.29523809523809,109.34790802864681,10.59047619047619,0.2857142857142857,0.3541666666666667,0.5,0,0.8292499057670562,0.7161703731624576,0.11307953260459856,0.4146249528835281,0.3015454202789295,0,0,0.11307953260459856,0.603090840557859,0.7272727272727273,1.6961929890689784,7,38,0
"Thomas Bryant","WAS",46,1147,-6.812486957973377,111.3061224489796,118.11860940695297,20.612244897959183,0.1320754716981132,0.3953488372093023,0.13513513513513514,0.12195121951219512,2.0040899795501024,1.9631901840490797,0.0408997955010225,1.3496932515337423,0.5725971370143149,0.0408997955010225,0,0.0408997955010225,1.2678936605316973,0.6326530612244898,1.0224948875255624,5,20,0.12269938650306748
"Isaiah Thomas","WAS",40,925,-10.105580693815995,112.01608848667672,122.1216691804927,22.071392659627953,0.22727272727272727,0.2608695652173913,0.4153846153846154,0.1346153846153846,0.30165912518853694,0.30165912518853694,0,0.20110608345902464,0.10055304172951232,0,0,0,0.10055304172951232,0.3333333333333333,0.6535947712418301,8,5,0
"Moritz Wagner","WAS",45,835,-5.016320313350022,109.83516483516485,114.85148514851485,17.912087912087912,0.14814814814814814,0.325,0.17391304347826086,0,1.045104510451045,0.9900990099009901,0.05500550055005501,0.8800880088008801,0.11001100110011001,0,0,0.05500550055005501,0.605060506050605,0.5789473684210527,1.54015401540154,15,13,0
"Ian Mahinmi","WAS",38,808,-5.647826515468978,111.44721233689205,117.09503885236103,12.455516014234876,0.05,0.2553191489361702,0.29411764705882354,0.3333333333333333,2.630005977286312,2.630005977286312,0,1.3747758517632995,1.1954572624028692,0.05977286312014345,0,0,1.4345487148834428,0.5454545454545454,1.8529587567244472,13,18,0.1195457262402869
"Jordan McRae","WAS",29,654,-4.483959307929084,110.44880785413744,114.93276716206653,23.422159887798035,0.20967741935483872,0.5357142857142857,0.3111111111111111,0.22727272727272727,1.0615711252653928,1.0615711252653928,0,0.35385704175513094,0.6369426751592356,0.07077140835102619,0,0,0.42462845010615713,0.4,1.3446567586694975,8,11,0
"Jerome Robinson","WAS",21,503,-6.1048626549383584,107.91896869244935,114.02383134738771,17.03499079189687,0.2037037037037037,0.25,0.35714285714285715,0.34782608695652173,0.8249312557286893,0.8249312557286893,0,0.36663611365719523,0.36663611365719523,0.09165902841429881,0,0,0.36663611365719523,0.4444444444444444,1.374885426214482,8,7,0
"Shabazz Napier","WAS",20,488,-3.1493368374282795,111.45631067961165,114.60564751703993,21.359223300970875,0.22,0.2727272727272727,0.17647058823529413,0.2777777777777778,0.3894839337877313,0.3894839337877313,0,0.2921129503407984,0,0.09737098344693282,0,0,0.09737098344693282,0.25,2.8237585199610518,15,14,0
"Anzejs Pasecniks","WAS",26,437,1.4013902504233187,113.64628820960698,112.24489795918366,12.991266375545852,0,0.3125,0.10714285714285714,0.25,1.288936627282492,1.1815252416756177,0.10741138560687433,0.644468313641246,0.5370569280343717,0,0,0.10741138560687433,0.7518796992481203,0.5833333333333334,0.966702470461869,4,5,0
"Gary Payton II","WAS",29,432,-14.93378727116324,103.41786108048511,118.35164835164835,10.694597574421168,0.18181818181818182,0.3888888888888889,0.5,1,0.7692307692307693,0.5494505494505495,0.21978021978021978,0.43956043956043955,0.10989010989010989,0,0.10989010989010989,0.10989010989010989,0.43956043956043955,0.5714285714285714,3.6263736263736264,15,18,0.10989010989010989
"Admiral Schofield","WAS",33,368,-7.589890612467784,106.26631853785901,113.85620915032679,11.74934725848564,0.2926829268292683,0.3333333333333333,0.4,0,0.5228758169934641,0.5228758169934641,0,0.26143790849673204,0.26143790849673204,0,0,0,0.39215686274509803,0.75,1.0457516339869282,3,5,0
"Garrison Mathews","WAS",18,227,8.235376159904462,115.30398322851154,107.06860706860708,17.19077568134172,0.12,0,0,0,0.2079002079002079,0.2079002079002079,0,0,0,0.2079002079002079,0,0,0.2079002079002079,1,1.6632016632016633,3,5,0
"Johnathan Williams","WAS",15,180,-9.771087223403299,104.67032967032966,114.44141689373298,6.043956043956044,0,0.5,0.4,0.16666666666666666,2.1798365122615806,2.1798365122615806,0,1.3623978201634876,0.8174386920980926,0,0,0,1.3623978201634876,0.625,0.2724795640326976,1,0,0
"CJ Miles","WAS",10,161,-4.5494112433527505,114.48467966573817,119.0340909090909,14.206128133704736,0.2916666666666667,0.42857142857142855,0.4,0.5,1.1363636363636365,1.1363636363636365,0,1.1363636363636365,0,0,0,0,0.5681818181818182,0.5,2.840909090909091,5,5,0
"Chris Chiozza","WAS",10,123,15.599832340349096,104.18250950570342,88.58267716535433,10.26615969581749,0.3333333333333333,0.6666666666666666,0.5,0,0.7874015748031497,0.7874015748031497,0,0,0.7874015748031497,0,0,0,0.3937007874015748,0.5,3.937007874015748,4,6,0
"Jerian Grant","WAS",6,80,-2.437981180496152,107.14285714285715,109.5808383233533,16.071428571428573,0.3333333333333333,0.4,0.5,0,0.5988023952095808,0.5988023952095808,0,0.5988023952095808,0,0,0,0,0,0,0.5988023952095808,0,1,0
"Justin Robinson","WAS",9,49,27.625,112,84.375,13,0,0,0,0,1.0416666666666667,1.0416666666666667,0,1.0416666666666667,0,0,0,0,0,0,0,0,0,0
"Jarrod Uthoff","WAS",3,39,2.484191508581759,103.7037037037037,101.21951219512195,14.814814814814815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
