"Name","TeamAbbreviation","GamesPlayed","Minutes","PenaltyOffPoss","PenaltyOffPossPct","PenaltyPoints","PenaltyPointsPct","PenaltyFG2M","PenaltyFG2A","PenaltyFg2Pct","PenaltyFG3M","PenaltyFG3A","PenaltyFg3Pct","PenaltyFtPoints","PenaltyEfgPct","PenaltyTsPct","PenaltyShotQualityAvg","PenaltyAtRimFGM","PenaltyAtRimFGA","PenaltyAtRimFrequency","PenaltyAtRimAccuracy","PenaltyCorner3FGM","PenaltyCorner3FGA","PenaltyCorner3Frequency","PenaltyCorner3Accuracy","PenaltyArc3FGM","PenaltyArc3FGA","PenaltyArc3Frequency","PenaltyArc3Accuracy","PenaltyTurnovers","PenaltyOffPossExcludingTakeFouls","PenaltyPointsExcludingTakeFouls"
"Nikola Jokic","DEN",78,2523,1229,0.24462579617834396,36.61513425549227,0.28337531486146095,10.414971521562245,17.656631407648494,0.5898617511520737,1.7087062652563059,4.963384865744508,0.3442622950819672,10.65907241659886,0.5737410071942446,0.6331444759206799,0.4569923913043478,5.288852725793328,6.753458096013019,0.29856115107913667,0.7831325301204819,0.24410089503661514,0.24410089503661514,0.01079136690647482,1,1.4646053702196908,4.719283970707893,0.20863309352517986,0.3103448275862069,3.824247355573637,1207,36.95111847555924
"Jamal Murray","DEN",64,2086,1077,0.2592057761732852,32.77623026926648,0.28353413654618476,7.892293407613742,15.877437325905293,0.49707602339181284,3.1569173630454967,8.07799442896936,0.39080459770114945,7.520891364902507,0.5271317829457365,0.5827702702702703,0.46838457031249997,2.971216341689879,5.478180129990715,0.22868217054263565,0.5423728813559322,0.18570102135561745,0.46425255338904364,0.01937984496124031,0.4,2.971216341689879,7.613741875580316,0.3178294573643411,0.3902439024390244,3.4354688950789227,1053,32.763532763532766
"Jerami Grant","DEN",76,2060,1197,0.2894100580270793,21.303258145363408,0.28052805280528054,5.012531328320802,9.10609857978279,0.5504587155963303,1.8379281537176273,5.597326649958229,0.3283582089552239,5.764411027568922,0.5284090909090909,0.5875576036866359,0.5166037142857144,4.010025062656641,5.513784461152882,0.375,0.7272727272727273,0.3341687552213868,1.5873015873015872,0.10795454545454546,0.21052631578947367,1.5037593984962405,4.010025062656641,0.2727272727272727,0.375,1.4202172096908938,1182,20.981387478849406
"Will Barton","DEN",58,1916,980,0.254149377593361,22.755102040816325,0.2551487414187643,5.612244897959184,11.122448979591837,0.5045871559633027,2.4489795918367347,6.836734693877551,0.3582089552238806,4.183673469387755,0.5170454545454546,0.555,0.5106440340909091,3.979591836734694,6.428571428571429,0.35795454545454547,0.6190476190476191,0.40816326530612246,0.6122448979591837,0.03409090909090909,0.6666666666666666,2.0408163265306123,6.224489795918367,0.3465909090909091,0.32786885245901637,2.857142857142857,963,22.22222222222222
"Gary Harris","DEN",56,1780,911,0.2565474514221346,13.611416026344676,0.2134251290877797,3.402854006586169,7.574094401756311,0.4492753623188406,1.2074643249176729,4.390779363336993,0.275,3.1833150384193196,0.43577981651376146,0.5,0.5297078703703704,2.74423710208562,4.829857299670691,0.4036697247706422,0.5681818181818182,0.43907793633369924,1.5367727771679474,0.12844036697247707,0.2857142857142857,0.7683863885839737,2.854006586169045,0.23853211009174313,0.2692307692307692,1.3172338090010978,894,13.422818791946309
"Monte Morris","DEN",78,1767,994,0.2767260579064588,22.233400402414485,0.31616595135908443,6.1368209255533195,12.072434607645874,0.5083333333333333,2.112676056338028,5.231388329979879,0.40384615384615385,3.6217303822937628,0.5377906976744186,0.5763157894736842,0.48186308139534884,2.816901408450704,4.124748490945674,0.23837209302325582,0.6829268292682927,0.704225352112676,1.8108651911468814,0.10465116279069768,0.3888888888888889,1.408450704225352,3.420523138832998,0.19767441860465115,0.4117647058823529,1.5090543259557343,985,22.03045685279188
"Paul Millsap","DEN",56,1359,576,0.21317542561065878,24.82638888888889,0.22626582278481014,6.25,12.152777777777779,0.5142857142857142,2.0833333333333335,4.6875,0.4444444444444444,6.076388888888889,0.5567010309278351,0.6163793103448276,0.5126989583333333,3.9930555555555554,6.25,0.3711340206185567,0.6388888888888888,0.5208333333333334,1.5625,0.09278350515463918,0.3333333333333333,1.5625,3.125,0.18556701030927836,0.5,2.7777777777777777,566,25.26501766784452
"Torrey Craig","DEN",63,1186,532,0.22881720430107527,13.345864661654135,0.20821114369501467,3.007518796992481,5.075187969924812,0.5925925925925926,1.8796992481203008,5.451127819548872,0.3448275862068966,1.6917293233082706,0.5535714285714286,0.5819672131147541,0.5550909090909091,2.6315789473684212,3.5714285714285716,0.3392857142857143,0.7368421052631579,0.7518796992481203,2.255639097744361,0.21428571428571427,0.3333333333333333,1.1278195488721805,3.1954887218045114,0.30357142857142855,0.35294117647058826,0.9398496240601504,526,13.11787072243346
"Mason Plumlee","DEN",66,1108,671,0.2996873604287628,19.821162444113263,0.2975391498881432,7.451564828614009,11.475409836065573,0.6493506493506493,0,0.14903129657228018,0,4.918032786885246,0.6410256410256411,0.59375,0.5425311688311688,6.855439642324888,8.49478390461997,0.7307692307692307,0.8070175438596491,0,0,0,0,0,0.14903129657228018,0.01282051282051282,0,2.9806259314456036,666,19.96996996996997
"Michael Porter Jr.","DEN",60,1040,561,0.26449787835926447,20.67736185383244,0.19863013698630136,5.347593582887701,9.269162210338681,0.5769230769230769,1.9607843137254901,5.16934046345811,0.3793103448275862,4.09982174688057,0.5740740740740741,0.6105263157894737,0.5287120253164557,3.9215686274509802,5.347593582887701,0.37037037037037035,0.7333333333333333,0.35650623885918004,0.8912655971479501,0.06172839506172839,0.4,1.6042780748663101,4.278074866310161,0.2962962962962963,0.375,2.6737967914438503,554,20.938628158844764
