"Name","TeamAbbreviation","GamesPlayed","Minutes","PenaltyOffPoss","PenaltyOffPossPct","PenaltyPoints","PenaltyPointsPct","PenaltyFG2M","PenaltyFG2A","PenaltyFg2Pct","PenaltyFG3M","PenaltyFG3A","PenaltyFg3Pct","PenaltyFtPoints","PenaltyEfgPct","PenaltyTsPct","PenaltyShotQualityAvg","PenaltyAtRimFGM","PenaltyAtRimFGA","PenaltyAtRimFrequency","PenaltyAtRimAccuracy","PenaltyCorner3FGM","PenaltyCorner3FGA","PenaltyCorner3Frequency","PenaltyCorner3Accuracy","PenaltyArc3FGM","PenaltyArc3FGA","PenaltyArc3Frequency","PenaltyArc3Accuracy","PenaltyTurnovers","PenaltyOffPossExcludingTakeFouls","PenaltyPointsExcludingTakeFouls"
"T.J. Warren","IND",71,2359,963,0.20095993322203673,23.260643821391486,0.1593172119487909,7.684319833852544,15.05711318795431,0.5103448275862069,0.9345794392523364,3.9460020768431985,0.23684210526315788,5.088265835929388,0.4781420765027322,0.5287081339712919,0.4984398907103825,3.7383177570093458,5.192107995846314,0.273224043715847,0.72,0.20768431983385255,1.557632398753894,0.08196721311475409,0.13333333333333333,0.726895119418484,2.3883696780893042,0.12568306010928962,0.30434782608695654,1.8691588785046729,932,23.390557939914164
"Domantas Sabonis","IND",62,2159,643,0.1472069597069597,25.972006220839813,0.14559721011333915,8.553654743390357,13.685847589424572,0.625,0.3110419906687403,1.5552099533437014,0.2,7.9315707620528775,0.5918367346938775,0.6231343283582089,0.5119122448979592,5.7542768273716955,7.776049766718507,0.5102040816326531,0.74,0,0.15552099533437014,0.01020408163265306,0,0.3110419906687403,1.3996889580093312,0.09183673469387756,0.2222222222222222,3.1104199066874028,616,25.162337662337663
"Myles Turner","IND",66,1971,777,0.19581653225806453,22.90862290862291,0.21921182266009853,4.890604890604891,8.622908622908623,0.5671641791044776,2.574002574002574,7.078507078507078,0.36363636363636365,5.405405405405405,0.5573770491803278,0.6095890410958904,0.5192147540983607,3.474903474903475,4.761904761904762,0.30327868852459017,0.7297297297297297,0.1287001287001287,0.7722007722007722,0.04918032786885246,0.16666666666666666,2.4453024453024454,6.306306306306307,0.4016393442622951,0.3877551020408163,2.187902187902188,761,23.127463863337713
"Justin Holiday","IND",77,1957,988,0.24443344878772885,14.37246963562753,0.22468354430379747,1.6194331983805668,2.935222672064777,0.5517241379310345,2.935222672064777,8.603238866396762,0.3411764705882353,2.327935222672065,0.5219298245614035,0.5546875,0.5393636363636364,1.0121457489878543,1.8218623481781377,0.15789473684210525,0.5555555555555556,1.3157894736842106,2.6315789473684212,0.22807017543859648,0.5,1.6194331983805668,5.97165991902834,0.5175438596491229,0.2711864406779661,1.7206477732793521,960,14.583333333333334
"Malcolm Brogdon","IND",58,1826,735,0.19854132901134522,32.10884353741496,0.2410623084780388,6.802721088435374,14.965986394557824,0.45454545454545453,2.312925170068027,7.482993197278912,0.3090909090909091,11.564625850340136,0.4575757575757576,0.5574162679425837,0.509827743902439,4.625850340136054,9.251700680272108,0.4121212121212121,0.5,0.1360544217687075,0.40816326530612246,0.01818181818181818,0.3333333333333333,2.17687074829932,7.074829931972789,0.3151515151515151,0.3076923076923077,4.489795918367347,706,29.46175637393768
"Aaron Holiday","IND",70,1689,695,0.20063510392609699,24.172661870503596,0.2553191489361702,4.892086330935252,10.215827338129497,0.4788732394366197,2.8776978417266186,6.330935251798561,0.45454545454545453,5.755395683453237,0.5565217391304348,0.6131386861313869,0.4911271929824561,2.302158273381295,4.460431654676259,0.26956521739130435,0.5161290322580645,0.8633093525179856,1.7266187050359711,0.10434782608695652,0.5,2.014388489208633,4.60431654676259,0.2782608695652174,0.4375,2.7338129496402876,680,23.823529411764707
"Doug McDermott","IND",73,1427,605,0.2048070412999323,14.049586776859504,0.11805555555555555,2.644628099173554,4.958677685950414,0.5333333333333333,2.644628099173554,6.9421487603305785,0.38095238095238093,0.8264462809917356,0.5555555555555556,0.5675675675675675,0.5356298611111111,2.3140495867768593,3.4710743801652892,0.2916666666666667,0.6666666666666666,0.8264462809917356,1.8181818181818181,0.1527777777777778,0.45454545454545453,1.8181818181818181,5.12396694214876,0.4305555555555556,0.3548387096774194,1.1570247933884297,602,14.119601328903654
"T.J. McConnell","IND",74,1354,529,0.18818925649235146,20.415879017013232,0.22929936305732485,9.073724007561436,16.8241965973535,0.5393258426966292,0,0.7561436672967864,0,2.268431001890359,0.5161290322580645,0.5454545454545454,0.4832586021505376,3.780718336483932,6.238185255198488,0.3548387096774194,0.6060606060606061,0,0.3780718336483932,0.021505376344086023,0,0,0.3780718336483932,0.021505376344086023,0,3.213610586011342,529,20.415879017013232
"Jeremy Lamb","IND",46,1291,494,0.18847768027470432,21.86234817813765,0.18717504332755633,5.465587044534413,10.931174089068826,0.5,1.6194331983805668,5.668016194331984,0.2857142857142857,6.0728744939271255,0.47560975609756095,0.5454545454545454,0.46308580246913583,2.0242914979757085,3.0364372469635628,0.18292682926829268,0.6666666666666666,0,0.20242914979757085,0.012195121951219513,0,1.6194331983805668,5.465587044534413,0.32926829268292684,0.2962962962962963,1.417004048582996,480,22.5
"Victor Oladipo","IND",23,651,291,0.21684053651266766,30.240549828178693,0.2543352601156069,5.498281786941581,12.714776632302405,0.43243243243243246,2.7491408934707904,11.683848797250858,0.23529411764705882,10.996563573883162,0.39436619718309857,0.4943820224719101,0.494987323943662,2.4054982817869415,5.841924398625429,0.23943661971830985,0.4117647058823529,0.3436426116838488,1.3745704467353952,0.056338028169014086,0.25,2.4054982817869415,10.309278350515465,0.4225352112676056,0.23333333333333334,5.498281786941581,284,29.577464788732396
"JaKarr Sampson","IND",38,520,208,0.19152854511970535,11.057692307692308,0.13068181818181818,4.326923076923077,9.134615384615385,0.47368421052631576,0,0.9615384615384616,0,2.4038461538461537,0.42857142857142855,0.46,0.48444999999999994,3.3653846153846154,4.8076923076923075,0.47619047619047616,0.7,0,0.4807692307692308,0.047619047619047616,0,0,0.4807692307692308,0.047619047619047616,0,1.4423076923076923,208,11.057692307692308
"Edmond Sumner","IND",34,487,246,0.24404761904761904,19.91869918699187,0.310126582278481,5.691056910569106,10.975609756097562,0.5185185185185185,2.032520325203252,4.878048780487805,0.4166666666666667,2.4390243902439024,0.5512820512820513,0.5568181818181818,0.5077487179487179,5.284552845528455,6.9105691056910565,0.4358974358974359,0.7647058823529411,0.8130081300813008,0.8130081300813008,0.05128205128205128,1,1.2195121951219512,4.065040650406504,0.2564102564102564,0.3,2.032520325203252,246,19.91869918699187
"Goga Bitadze","IND",54,471,269,0.26873126873126874,16.356877323420075,0.2558139534883721,5.5762081784386615,10.408921933085502,0.5357142857142857,0.37174721189591076,2.6022304832713754,0.14285714285714285,4.089219330855019,0.4714285714285714,0.5365853658536586,0.5046985714285714,3.717472118959108,5.204460966542751,0.4,0.7142857142857143,0,0.37174721189591076,0.02857142857142857,0,0.37174721189591076,2.2304832713754648,0.17142857142857143,0.16666666666666666,2.2304832713754648,269,16.356877323420075
"TJ Leaf","IND",28,222,138,0.2893081761006289,13.768115942028986,0.2261904761904762,5.797101449275362,10.144927536231885,0.5714285714285714,0,2.898550724637681,0,2.1739130434782608,0.4444444444444444,0.4523809523809524,0.5207166666666666,5.072463768115942,6.521739130434782,0.5,0.7777777777777778,0,0,0,0,0,2.898550724637681,0.2222222222222222,0,0,138,13.768115942028986
"Alize Johnson","IND",18,118,105,0.4150197628458498,15.238095238095237,0.47058823529411764,4.761904761904762,10.476190476190476,0.45454545454545453,0.9523809523809523,2.857142857142857,0.3333333333333333,2.857142857142857,0.4642857142857143,0.5,0.5394392857142857,3.8095238095238093,6.666666666666667,0.5,0.5714285714285714,0.9523809523809523,1.9047619047619047,0.14285714285714285,0.5,0,0.9523809523809523,0.07142857142857142,0,3.8095238095238093,105,15.238095238095237
"Naz Mitrou-Long","IND",5,47,33,0.34375,15.151515151515152,0.35714285714285715,3.0303030303030303,3.0303030303030303,1,3.0303030303030303,18.181818181818183,0.16666666666666666,0,0.35714285714285715,0.35714285714285715,0.47363333333333335,3.0303030303030303,3.0303030303030303,0.14285714285714285,1,3.0303030303030303,3.0303030303030303,0.14285714285714285,1,0,15.151515151515152,0.7142857142857143,0,0,33,15.151515151515152
"Brian Bowen II","IND",6,31,11,0.16923076923076924,18.181818181818183,0.3333333333333333,9.090909090909092,18.181818181818183,0.5,0,9.090909090909092,0,0,0.3333333333333333,0.3333333333333333,0.49041666666666667,0,9.090909090909092,0.3333333333333333,0,0,9.090909090909092,0.3333333333333333,0,0,0,0,0,0,11,18.181818181818183
