"Name","TeamAbbreviation","GamesPlayed","Minutes","PenaltyOffPoss","PenaltyOffPossPct","PenaltyPoints","PenaltyPointsPct","PenaltyFG2M","PenaltyFG2A","PenaltyFg2Pct","PenaltyFG3M","PenaltyFG3A","PenaltyFg3Pct","PenaltyFtPoints","PenaltyEfgPct","PenaltyTsPct","PenaltyShotQualityAvg","PenaltyAtRimFGM","PenaltyAtRimFGA","PenaltyAtRimFrequency","PenaltyAtRimAccuracy","PenaltyCorner3FGM","PenaltyCorner3FGA","PenaltyCorner3Frequency","PenaltyCorner3Accuracy","PenaltyArc3FGM","PenaltyArc3FGA","PenaltyArc3Frequency","PenaltyArc3Accuracy","PenaltyTurnovers","PenaltyOffPossExcludingTakeFouls","PenaltyPointsExcludingTakeFouls"
"Dillon Brooks","MEM",74,2150,842,0.18473014480035102,24.465558194774346,0.17152373022481265,5.463182897862233,13.420427553444181,0.40707964601769914,3.2066508313539193,9.97624703087886,0.32142857142857145,3.9192399049881237,0.43908629441624364,0.4765258215962441,0.49762766497461924,2.137767220902613,4.631828978622328,0.19796954314720813,0.46153846153846156,0.5938242280285035,1.5439429928741093,0.06598984771573604,0.38461538461538464,2.6128266033254155,8.43230403800475,0.3604060913705584,0.30985915492957744,2.8503562945368173,831,24.548736462093864
"Ja Morant","MEM",68,2116,988,0.22028985507246376,30.76923076923077,0.247557003257329,9.31174089068826,18.42105263157895,0.5054945054945055,0.8097165991902834,4.352226720647773,0.18604651162790697,9.7165991902834,0.4622222222222222,0.5316901408450704,0.5190552272727272,6.983805668016195,11.740890688259109,0.5155555555555555,0.5948275862068966,0,0,0,0,0.8097165991902834,4.352226720647773,0.19111111111111112,0.18604651162790697,5.2631578947368425,975,30.358974358974358
"Jonas Valanciunas","MEM",71,1879,670,0.16923465521596362,24.62686567164179,0.15478424015009382,10,14.776119402985074,0.6767676767676768,0.29850746268656714,1.044776119402985,0.2857142857142857,3.7313432835820897,0.660377358490566,0.66,0.5430123809523809,7.014925373134329,9.402985074626866,0.5943396226415094,0.746031746031746,0,0.29850746268656714,0.018867924528301886,0,0.29850746268656714,0.746268656716418,0.04716981132075472,0.4,2.6865671641791047,669,24.663677130044842
"Jaren Jackson Jr.","MEM",57,1622,814,0.2346497549726146,32.8009828009828,0.2696969696969697,5.036855036855036,9.705159705159705,0.5189873417721519,5.528255528255528,12.285012285012286,0.45,6.142506142506143,0.6061452513966481,0.6297169811320755,0.5101494318181818,3.5626535626535625,5.282555282555283,0.24022346368715083,0.6744186046511628,0.85995085995086,2.457002457002457,0.11173184357541899,0.35,4.6683046683046685,9.828009828009828,0.44692737430167595,0.475,2.457002457002457,805,33.16770186335404
"Kyle Anderson","MEM",68,1357,773,0.26812348248352413,14.359637774902975,0.2775,4.657179818887451,8.15006468305304,0.5714285714285714,0.9055627425614489,2.4579560155239326,0.3684210526315789,2.3285899094437257,0.5670731707317073,0.5967741935483871,0.512290625,2.1992238033635187,4.139715394566624,0.3902439024390244,0.53125,0.517464424320828,1.6817593790426908,0.15853658536585366,0.3076923076923077,0.38809831824062097,0.7761966364812419,0.07317073170731707,0.5,2.846054333764554,770,14.155844155844155
"Brandon Clarke","MEM",59,1325,1158,0.4067439409905163,25.38860103626943,0.4083333333333333,8.721934369602764,13.989637305699482,0.6234567901234568,1.1226252158894645,2.6770293609671847,0.41935483870967744,4.576856649395509,0.6243523316062176,0.6621621621621622,0.5364911917098446,5.526770293609672,7.944732297063903,0.47668393782383417,0.6956521739130435,0.6044905008635578,1.2953367875647668,0.07772020725388601,0.4666666666666667,0.5181347150259067,1.381692573402418,0.08290155440414508,0.375,1.8998272884283247,1154,25.476603119584055
"Jae Crowder","MEM",45,1322,722,0.25621007806955287,17.72853185595568,0.28635346756152125,2.0775623268698062,3.8781163434903045,0.5357142857142857,3.0470914127423825,9.556786703601109,0.3188405797101449,4.43213296398892,0.4948453608247423,0.5423728813559322,0.5476547368421053,1.6620498614958448,2.9085872576177287,0.21649484536082475,0.5714285714285714,0.6925207756232687,2.4930747922437675,0.18556701030927836,0.2777777777777778,2.3545706371191137,7.06371191135734,0.5257731958762887,0.3333333333333333,1.2465373961218837,713,17.67180925666199
"Tyus Jones","MEM",65,1232,984,0.37034249153180276,21.239837398373982,0.4318181818181818,6.7073170731707314,12.09349593495935,0.5546218487394958,1.6260162601626016,5.284552845528455,0.3076923076923077,2.9471544715447155,0.5263157894736842,0.5561497326203209,0.4989223529411765,2.4390243902439024,3.658536585365854,0.21052631578947367,0.6666666666666666,0.6097560975609756,1.1178861788617886,0.06432748538011696,0.5454545454545454,1.016260162601626,4.166666666666667,0.23976608187134502,0.24390243902439024,1.9308943089430894,980,20.918367346938776
"De'Anthony Melton","MEM",61,1182,1029,0.40623766285037505,21.379980563654033,0.48034934497816595,5.247813411078718,11.564625850340136,0.453781512605042,1.3605442176870748,6.122448979591836,0.2222222222222222,6.802721088435374,0.41208791208791207,0.49099099099099097,0.5212561452513966,3.401360544217687,5.733722060252672,0.3241758241758242,0.5932203389830508,0.2915451895043732,0.9718172983479106,0.054945054945054944,0.3,1.0689990281827018,5.150631681243926,0.29120879120879123,0.20754716981132076,3.498542274052478,1021,21.253672869735553
"Solomon Hill","MEM",48,901,547,0.28638743455497384,14.076782449725776,0.28102189781021897,2.1937842778793417,4.570383912248629,0.48,2.5594149908592323,6.764168190127971,0.3783783783783784,2.010968921389397,0.532258064516129,0.5579710144927537,0.5225991935483871,0.7312614259597806,1.4625228519195612,0.12903225806451613,0.5,1.0968921389396709,2.010968921389397,0.1774193548387097,0.5454545454545454,1.4625228519195612,4.753199268738574,0.41935483870967744,0.3076923076923077,1.2797074954296161,541,13.863216266173753
