"Name","TeamAbbreviation","GamesPlayed","Minutes","PenaltyOffPoss","PenaltyOffPossPct","PenaltyPoints","PenaltyPointsPct","PenaltyFG2M","PenaltyFG2A","PenaltyFg2Pct","PenaltyFG3M","PenaltyFG3A","PenaltyFg3Pct","PenaltyFtPoints","PenaltyEfgPct","PenaltyTsPct","PenaltyShotQualityAvg","PenaltyAtRimFGM","PenaltyAtRimFGA","PenaltyAtRimFrequency","PenaltyAtRimAccuracy","PenaltyCorner3FGM","PenaltyCorner3FGA","PenaltyCorner3Frequency","PenaltyCorner3Accuracy","PenaltyArc3FGM","PenaltyArc3FGA","PenaltyArc3Frequency","PenaltyArc3Accuracy","PenaltyTurnovers","PenaltyOffPossExcludingTakeFouls","PenaltyPointsExcludingTakeFouls"
"Bam Adebayo","MIA",76,2554,1289,0.251218086143052,25.83397982932506,0.27611940298507465,8.456167571761055,13.731574864235842,0.615819209039548,0.07757951900698215,0.7757951900698216,0.1,8.688906128782001,0.5909090909090909,0.6478599221789884,0.5154805405405406,6.2063615205585725,8.533747090768037,0.5882352941176471,0.7272727272727273,0,0.3103180760279286,0.0213903743315508,0,0.07757951900698215,0.46547711404189296,0.03208556149732621,0.16666666666666666,4.189294026377037,1260,25.793650793650794
"Duncan Robinson","MIA",77,2266,1068,0.23227490213136145,19.475655430711612,0.20135527589545016,1.2172284644194757,1.7790262172284643,0.6842105263157895,4.681647940074907,11.423220973782772,0.4098360655737705,2.9962546816479403,0.624113475177305,0.6709677419354839,0.5376971223021583,1.2172284644194757,1.404494382022472,0.10638297872340426,0.8666666666666667,1.4981273408239701,3.3707865168539324,0.2553191489361702,0.4444444444444444,3.183520599250936,8.05243445692884,0.6099290780141844,0.3953488372093023,1.6853932584269662,1054,19.35483870967742
"Jimmy Butler","MIA",62,2094,1283,0.30273714016045306,30.553390491036634,0.31715210355987056,7.404520654715511,15.900233826968044,0.46568627450980393,0.3897116134060795,3.273577552611068,0.11904761904761904,14.575214341387372,0.4166666666666667,0.5522598870056498,0.490575,4.5985970381917385,7.560405300077942,0.3943089430894309,0.6082474226804123,0.1558846453624318,0.5455962587685113,0.028455284552845527,0.2857142857142857,0.2338269680436477,2.7279812938425567,0.14227642276422764,0.08571428571428572,3.8191738113795792,1263,30.245447347585113
"Kendrick Nunn","MIA",68,1977,917,0.22879241516966067,23.555070883315157,0.20950533462657614,4.907306434023991,10.032715376226827,0.4891304347826087,3.162486368593239,9.70556161395856,0.3258426966292135,4.252998909487459,0.4889502762430939,0.5245098039215687,0.5080586592178771,2.7262813522355507,4.580152671755725,0.23204419889502761,0.5952380952380952,0.5452562704471101,1.7448200654307524,0.08839779005524862,0.3125,2.6172300981461287,7.960741548527808,0.40331491712707185,0.3287671232876712,2.2900763358778624,908,23.348017621145374
"Goran Dragic","MIA",63,1800,1180,0.3196965591980493,31.52542372881356,0.3563218390804598,5.508474576271187,11.610169491525424,0.4744525547445255,3.305084745762712,9.491525423728813,0.3482142857142857,10.59322033898305,0.4959839357429719,0.5740740740740741,0.4877118951612903,3.135593220338983,5.254237288135593,0.24899598393574296,0.5967741935483871,0.5932203389830508,2.0338983050847457,0.0963855421686747,0.2916666666666667,2.711864406779661,7.4576271186440675,0.3534136546184739,0.36363636363636365,3.559322033898305,1159,31.492666091458155
"Tyler Herro","MIA",59,1638,1099,0.3271807085442096,20.564149226569608,0.27935723114956734,4.094631483166515,8.553230209281164,0.4787234042553192,3.002729754322111,8.007279344858963,0.375,3.3666969972702456,0.5192307692307693,0.5594059405940595,0.48302555555555554,1.5468607825295724,2.72975432211101,0.16483516483516483,0.5666666666666667,0.545950864422202,1.1828935395814377,0.07142857142857142,0.46153846153846156,2.4567788898999092,6.824385805277525,0.41208791208791207,0.36,2.2747952684258417,1088,20.68014705882353
"Derrick Jones Jr.","MIA",63,1418,920,0.3236018290538164,17.282608695652176,0.31237721021611004,4.130434782608695,7.065217391304348,0.5846153846153846,1.5217391304347827,5.217391304347826,0.2916666666666667,4.456521739130435,0.5221238938053098,0.5678571428571428,0.5658907407407407,3.9130434782608696,5.869565217391305,0.4778761061946903,0.6666666666666666,0.6521739130434783,2.5,0.20353982300884957,0.2608695652173913,0.8695652173913043,2.717391304347826,0.22123893805309736,0.32,1.3043478260869565,909,17.381738173817382
"Kelly Olynyk","MIA",71,1355,851,0.3025239957340917,18.91891891891892,0.2804878048780488,2.7027027027027026,5.287896592244419,0.5111111111111111,2.937720329024677,7.63807285546416,0.38461538461538464,4.700352526439483,0.55,0.6068702290076335,0.5328940366972478,2.2326674500587544,3.172737955346651,0.24545454545454545,0.7037037037037037,0.7050528789659224,1.645123384253819,0.12727272727272726,0.42857142857142855,2.2326674500587544,5.99294947121034,0.4636363636363636,0.37254901960784315,2.937720329024677,850,18.941176470588236
"Meyers Leonard","MIA",51,1034,298,0.14437984496124032,18.120805369127517,0.17475728155339806,5.033557046979865,6.7114093959731544,0.75,2.0134228187919465,4.3624161073825505,0.46153846153846156,2.0134228187919465,0.7272727272727273,0.7105263157894737,0.528969696969697,4.3624161073825505,5.369127516778524,0.48484848484848486,0.8125,0.33557046979865773,0.33557046979865773,0.030303030303030304,1,1.6778523489932886,4.026845637583893,0.36363636363636365,0.4166666666666667,3.6912751677852347,297,18.181818181818183
"Jae Crowder","MIA",24,656,405,0.3013392857142857,19.25925925925926,0.2826086956521739,0.7407407407407407,1.728395061728395,0.42857142857142855,5.185185185185185,12.098765432098766,0.42857142857142855,2.2222222222222223,0.6160714285714286,0.6290322580645161,0.5496145454545455,0.7407407407407407,1.4814814814814814,0.10714285714285714,0.5,1.9753086419753085,4.938271604938271,0.35714285714285715,0.4,3.2098765432098766,7.160493827160494,0.5178571428571429,0.4482758620689655,1.728395061728395,397,19.143576826196472
