"Name","TeamAbbreviation","GamesPlayed","Minutes","PenaltyOffPoss","PenaltyOffPossPct","PenaltyPoints","PenaltyPointsPct","PenaltyFG2M","PenaltyFG2A","PenaltyFg2Pct","PenaltyFG3M","PenaltyFG3A","PenaltyFg3Pct","PenaltyFtPoints","PenaltyEfgPct","PenaltyTsPct","PenaltyShotQualityAvg","PenaltyAtRimFGM","PenaltyAtRimFGA","PenaltyAtRimFrequency","PenaltyAtRimAccuracy","PenaltyCorner3FGM","PenaltyCorner3FGA","PenaltyCorner3Frequency","PenaltyCorner3Accuracy","PenaltyArc3FGM","PenaltyArc3FGA","PenaltyArc3Frequency","PenaltyArc3Accuracy","PenaltyTurnovers","PenaltyOffPossExcludingTakeFouls","PenaltyPointsExcludingTakeFouls"
"Josh Okogie","MIN",62,1547,1028,0.3080611327539706,19.455252918287936,0.37523452157598497,4.182879377431907,8.754863813229573,0.4777777777777778,1.4591439688715953,4.377431906614786,0.3333333333333333,6.712062256809339,0.48518518518518516,0.5621468926553672,0.5491529629629629,3.5992217898832686,6.22568093385214,0.4740740740740741,0.578125,0.48638132295719844,1.6536964980544746,0.1259259259259259,0.29411764705882354,0.9727626459143969,2.7237354085603114,0.2074074074074074,0.35714285714285715,2.431906614785992,1024,19.3359375
"Jarrett Culver","MIN",63,1506,695,0.21543707377557347,15.39568345323741,0.18448275862068966,4.60431654676259,7.482014388489208,0.6153846153846154,1.1510791366906474,6.18705035971223,0.18604651162790697,2.7338129496402876,0.4631578947368421,0.4863636363636364,0.5405063157894737,3.884892086330935,5.755395683453237,0.42105263157894735,0.675,0,0.8633093525179856,0.06315789473684211,0,1.1510791366906474,5.323741007194244,0.3894736842105263,0.21621621621621623,2.8776978417266186,693,15.44011544011544
"Andrew Wiggins","MIN",42,1455,827,0.26815823605706873,30.955259975816205,0.27176220806794055,7.134220072551391,15.35671100362757,0.4645669291338583,4.111245465538089,10.519951632406288,0.39080459770114945,4.353083434099154,0.514018691588785,0.5446808510638298,0.487410046728972,5.078597339782346,7.255139056831923,0.2803738317757009,0.7,0.4836759371221282,1.3301088270858525,0.0514018691588785,0.36363636363636365,3.6275695284159615,9.189842805320435,0.35514018691588783,0.39473684210526316,3.506650544135429,823,31.105710814094774
"Robert Covington","MIN",48,1411,711,0.23771313941825475,18.28410689170183,0.21138211382113822,3.6568213783403656,5.20393811533052,0.7027027027027027,2.6722925457102673,11.251758087201125,0.2375,2.9535864978902953,0.4658119658119658,0.5,0.5270504347826087,2.6722925457102673,3.6568213783403656,0.2222222222222222,0.7307692307692307,0.4219409282700422,1.1251758087201125,0.06837606837606838,0.375,2.250351617440225,10.126582278481013,0.6153846153846154,0.2222222222222222,1.969057665260197,704,18.039772727272727
"Karl-Anthony Towns","MIN",35,1187,760,0.2980392156862745,34.60526315789474,0.2840172786177106,5.657894736842105,9.605263157894736,0.589041095890411,4.2105263157894735,11.052631578947368,0.38095238095238093,10.657894736842104,0.5796178343949044,0.645,0.532687898089172,4.7368421052631575,6.315789473684211,0.3057324840764331,0.75,0.9210526315789473,1.5789473684210527,0.07643312101910828,0.5833333333333334,3.289473684210526,9.473684210526315,0.4585987261146497,0.3472222222222222,3.4210526315789473,754,34.88063660477454
"Jeff Teague","MIN",34,945,672,0.33250865907966354,22.767857142857142,0.34151785714285715,5.357142857142857,11.160714285714286,0.48,1.1904761904761905,3.869047619047619,0.3076923076923077,8.482142857142858,0.4752475247524752,0.5801526717557252,0.499445,3.125,5.505952380952381,0.36633663366336633,0.5675675675675675,0.1488095238095238,0.5952380952380952,0.039603960396039604,0.25,1.0416666666666667,3.2738095238095237,0.21782178217821782,0.3181818181818182,4.166666666666667,667,22.038980509745127
"Shabazz Napier","MIN",36,856,484,0.26593406593406593,18.801652892561982,0.2622478386167147,3.925619834710744,6.198347107438017,0.6333333333333333,1.6528925619834711,9.090909090909092,0.18181818181818182,5.991735537190083,0.4189189189189189,0.5112359550561798,0.5041358108108108,3.0991735537190084,4.338842975206612,0.28378378378378377,0.7142857142857143,0.2066115702479339,1.859504132231405,0.12162162162162163,0.1111111111111111,1.4462809917355373,7.231404958677686,0.47297297297297297,0.2,3.512396694214876,481,18.71101871101871
"Gorgui Dieng","MIN",46,778,379,0.2358431860609832,28.232189973614776,0.31378299120234604,6.332453825857519,9.49868073878628,0.6666666666666666,3.430079155672823,7.651715039577836,0.4482758620689655,5.277044854881266,0.6692307692307692,0.6948051948051948,0.5341109375,4.221635883905013,5.013192612137203,0.2923076923076923,0.8421052631578947,0.7915567282321899,1.3192612137203166,0.07692307692307693,0.6,2.638522427440633,6.332453825857519,0.36923076923076925,0.4166666666666667,2.9023746701846966,379,28.232189973614776
"Treveon Graham","MIN",33,663,355,0.25521207764198417,15.211267605633802,0.3157894736842105,2.816901408450704,5.352112676056338,0.5263157894736842,1.6901408450704225,4.225352112676056,0.4,4.507042253521127,0.5588235294117647,0.6136363636363636,0.5450661764705883,2.535211267605634,4.225352112676056,0.4411764705882353,0.6,0.5633802816901409,0.8450704225352113,0.08823529411764706,0.6666666666666666,1.1267605633802817,3.380281690140845,0.35294117647058826,0.3333333333333333,1.1267605633802817,355,15.211267605633802
"Keita Bates-Diop","MIN",37,646,452,0.3301680058436815,18.36283185840708,0.33067729083665337,4.424778761061947,7.743362831858407,0.5714285714285714,2.2123893805309733,6.6371681415929205,0.3333333333333333,2.8761061946902653,0.5384615384615384,0.5845070422535211,0.5470792307692308,4.20353982300885,5.9734513274336285,0.4153846153846154,0.7037037037037037,1.3274336283185841,2.8761061946902653,0.2,0.46153846153846156,0.8849557522123894,3.7610619469026547,0.26153846153846155,0.23529411764705882,0.8849557522123894,448,18.526785714285715
