"Name","TeamAbbreviation","GamesPlayed","Minutes","PenaltyOffPoss","PenaltyOffPossPct","PenaltyPoints","PenaltyPointsPct","PenaltyFG2M","PenaltyFG2A","PenaltyFg2Pct","PenaltyFG3M","PenaltyFG3A","PenaltyFg3Pct","PenaltyFtPoints","PenaltyEfgPct","PenaltyTsPct","PenaltyShotQualityAvg","PenaltyAtRimFGM","PenaltyAtRimFGA","PenaltyAtRimFrequency","PenaltyAtRimAccuracy","PenaltyCorner3FGM","PenaltyCorner3FGA","PenaltyCorner3Frequency","PenaltyCorner3Accuracy","PenaltyArc3FGM","PenaltyArc3FGA","PenaltyArc3Frequency","PenaltyArc3Accuracy","PenaltyTurnovers","PenaltyOffPossExcludingTakeFouls","PenaltyPointsExcludingTakeFouls"
"Julius Randle","NYK",64,2080,926,0.2185508614585792,32.073434125269976,0.23798076923076922,9.503239740820735,18.14254859611231,0.5238095238095238,0.8639308855291576,3.1317494600431965,0.27586206896551724,10.475161987041037,0.5076142131979695,0.5778210116731517,0.5176390862944162,6.8034557235421165,11.771058315334773,0.5532994923857868,0.5779816513761468,0.2159827213822894,0.5399568034557235,0.025380710659898477,0.4,0.6479481641468683,2.591792656587473,0.1218274111675127,0.25,5.183585313174946,905,31.712707182320443
"RJ Barrett","NYK",56,1704,802,0.2288812785388128,25.18703241895262,0.25155666251556663,6.85785536159601,14.962593516209477,0.4583333333333333,1.4962593516209477,5.112219451371571,0.2926829268292683,6.982543640897756,0.453416149068323,0.4950980392156863,0.5217959375000001,5.361596009975062,9.351620947630924,0.4658385093167702,0.5733333333333334,0.49875311720698257,1.6209476309226933,0.08074534161490683,0.3076923076923077,0.9975062344139651,3.491271820448878,0.17391304347826086,0.2857142857142857,2.9925187032418954,783,25.15964240102171
"Mitchell Robinson","NYK",61,1412,831,0.2889429763560501,20.577617328519857,0.28983050847457625,8.182912154031287,10.830324909747292,0.7555555555555555,0,0,0,4.21179302045728,0.7555555555555555,0.7307692307692307,0.6409866666666667,8.062575210589651,10.469314079422382,0.9666666666666667,0.7701149425287356,0,0,0,0,0,0,0,0,0.4813477737665463,826,20.581113801452783
"Bobby Portis","NYK",66,1393,712,0.24860335195530725,21.910112359550563,0.23353293413173654,5.337078651685394,10.393258426966293,0.5135135135135135,2.5280898876404496,6.46067415730337,0.391304347826087,3.651685393258427,0.5416666666666666,0.5864661654135338,0.49007268907563023,2.247191011235955,3.5112359550561796,0.20833333333333334,0.64,0.9831460674157303,1.404494382022472,0.08333333333333333,0.7,1.5449438202247192,5.056179775280899,0.3,0.3055555555555556,3.0898876404494384,708,22.033898305084747
"Marcus Morris Sr.","NYK",43,1387,563,0.2013590844062947,41.207815275310836,0.27586206896551724,6.039076376554174,13.49911190053286,0.4473684210526316,5.150976909413854,9.946714031971581,0.5178571428571429,13.676731793960924,0.5871212121212122,0.661849710982659,0.46621171875,0.8880994671403197,2.664298401420959,0.11363636363636363,0.3333333333333333,1.0657193605683837,1.5985790408525755,0.06818181818181818,0.6666666666666666,4.085257548845471,8.348134991119005,0.3560606060606061,0.48936170212765956,1.9538188277087034,550,41.63636363636363
"Elfrid Payton","NYK",45,1246,542,0.21147093250097543,17.343173431734318,0.20935412026726058,6.273062730627307,12.546125461254613,0.5,0.36900369003690037,2.2140221402214024,0.16666666666666666,3.690036900369004,0.4625,0.5108695652173914,0.49495625,4.428044280442805,7.011070110701107,0.475,0.631578947368421,0.18450184501845018,0.18450184501845018,0.0125,1,0.18450184501845018,2.029520295202952,0.1375,0.09090909090909091,5.166051660516605,530,17.735849056603772
"Frank Ntilikina","NYK",57,1187,495,0.20754716981132076,12.929292929292929,0.1792717086834734,2.4242424242424243,5.858585858585859,0.41379310344827586,1.2121212121212122,6.262626262626263,0.1935483870967742,4.444444444444445,0.35,0.4444444444444444,0.5015958333333334,1.2121212121212122,2.0202020202020203,0.16666666666666666,0.6,0.6060606060606061,1.2121212121212122,0.1,0.5,0.6060606060606061,5.05050505050505,0.4166666666666667,0.12,2.6262626262626263,482,12.033195020746888
"Kevin Knox II","NYK",65,1166,571,0.23565827486586877,16.46234676007005,0.2243436754176611,2.626970227670753,7.355516637478108,0.35714285714285715,2.626970227670753,7.530647985989492,0.3488372093023256,3.327495621716287,0.4411764705882353,0.46534653465346537,0.5177076470588236,1.5761821366024518,2.8021015761821366,0.18823529411764706,0.5625,0.8756567425569177,2.1015761821366024,0.1411764705882353,0.4166666666666667,1.7513134851138354,5.42907180385289,0.36470588235294116,0.3225806451612903,0.8756567425569177,570,16.49122807017544
"Taj Gibson","NYK",62,1025,247,0.11990291262135923,11.336032388663968,0.07387862796833773,3.6437246963562755,5.668016194331984,0.6428571428571429,0,0.8097165991902834,0,4.048582995951417,0.5625,0.56,0.539503125,2.834008097165992,3.6437246963562755,0.5625,0.7777777777777778,0,0.8097165991902834,0.125,0,0,0,0,0,1.214574898785425,241,11.618257261410788
"Damyean Dotson","NYK",48,836,518,0.30116279069767443,15.637065637065637,0.2523364485981308,2.7027027027027026,6.94980694980695,0.3888888888888889,3.088803088803089,9.266409266409266,0.3333333333333333,0.9652509652509652,0.4523809523809524,0.45977011494252873,0.47021785714285713,0.5791505791505791,1.1583011583011582,0.07142857142857142,0.5,0.5791505791505791,1.7374517374517375,0.10714285714285714,0.3333333333333333,2.5096525096525095,7.528957528957529,0.4642857142857143,0.3333333333333333,1.1583011583011582,515,15.728155339805825
