"Name","TeamAbbreviation","GamesPlayed","Minutes","PenaltyOffPoss","PenaltyOffPossPct","PenaltyPoints","PenaltyPointsPct","PenaltyFG2M","PenaltyFG2A","PenaltyFg2Pct","PenaltyFG3M","PenaltyFG3A","PenaltyFg3Pct","PenaltyFtPoints","PenaltyEfgPct","PenaltyTsPct","PenaltyShotQualityAvg","PenaltyAtRimFGM","PenaltyAtRimFGA","PenaltyAtRimFrequency","PenaltyAtRimAccuracy","PenaltyCorner3FGM","PenaltyCorner3FGA","PenaltyCorner3Frequency","PenaltyCorner3Accuracy","PenaltyArc3FGM","PenaltyArc3FGA","PenaltyArc3Frequency","PenaltyArc3Accuracy","PenaltyTurnovers","PenaltyOffPossExcludingTakeFouls","PenaltyPointsExcludingTakeFouls"
"Tobias Harris","PHI",76,2618,1102,0.2072987208427389,25.499092558983666,0.19063772048846675,6.987295825771325,14.246823956442832,0.49044585987261147,2.087114337568058,5.9891107078039925,0.3484848484848485,5.2631578947368425,0.5,0.546875,0.4890865470852018,3.8112522686025407,6.0798548094373865,0.3004484304932735,0.6268656716417911,0.3629764065335753,1.1796733212341197,0.05829596412556054,0.3076923076923077,1.7241379310344827,4.809437386569873,0.23766816143497757,0.3584905660377358,1.9963702359346642,1071,25.396825396825395
"Al Horford","PHI",71,2154,1060,0.2399275690357628,22.735849056603772,0.2917675544794189,4.716981132075472,9.245283018867925,0.5102040816326531,3.3962264150943398,5.943396226415095,0.5714285714285714,3.1132075471698113,0.6459627329192547,0.6657458563535912,0.477189751552795,1.6981132075471699,2.7358490566037736,0.18012422360248448,0.6206896551724138,0.4716981132075472,0.660377358490566,0.043478260869565216,0.7142857142857143,2.9245283018867925,5.283018867924528,0.34782608695652173,0.5535714285714286,1.4150943396226414,1042,22.7447216890595
"Ben Simmons","PHI",57,2017,1070,0.25567502986857826,20.373831775700936,0.23265741728922093,6.635514018691588,11.962616822429906,0.5546875,0,0.18691588785046728,0,7.102803738317757,0.5461538461538461,0.5860215053763441,0.5360852713178295,5.514018691588785,7.757009345794392,0.6384615384615384,0.7108433734939759,0,0,0,0,0,0.18691588785046728,0.015384615384615385,0,5.140186915887851,1042,20.34548944337812
"Josh Richardson","PHI",59,1837,999,0.2669695350080171,23.923923923923923,0.29075425790754256,5.205205205205205,11.31131131131131,0.46017699115044247,2.2022022022022023,7.207207207207207,0.3055555555555556,6.906906906906907,0.4594594594594595,0.5221238938053098,0.47233486486486487,2.1021021021021022,3.4034034034034035,0.1837837837837838,0.6176470588235294,0.2002002002002002,0.8008008008008008,0.043243243243243246,0.25,2.002002002002002,6.406406406406407,0.34594594594594597,0.3125,2.8028028028028027,977,23.950870010235416
"Joel Embiid","PHI",55,1651,938,0.2779259259259259,42.53731343283582,0.3088235294117647,8.315565031982942,17.69722814498934,0.46987951807228917,2.1321961620469083,6.3965884861407245,0.3333333333333333,19.50959488272921,0.4778761061946903,0.5925373134328358,0.4544301339285714,3.9445628997867805,6.28997867803838,0.2610619469026549,0.6271186440677966,0.10660980810234541,0.21321961620469082,0.008849557522123894,0.5,2.025586353944563,6.183368869936034,0.25663716814159293,0.3275862068965517,5.0106609808102345,913,42.0591456736035
"Furkan Korkmaz","PHI",76,1599,1061,0.31977094635322484,20.358152686145147,0.3055162659123055,2.4505183788878417,5.372290292177191,0.45614035087719296,3.8642789820923658,11.027332704995288,0.3504273504273504,3.8642789820923658,0.5028735632183908,0.5482233502538071,0.5131121387283237,1.2252591894439209,2.35626767200754,0.14367816091954022,0.52,1.2252591894439209,2.5447690857681433,0.15517241379310345,0.48148148148148145,2.639019792648445,8.482563619227145,0.5172413793103449,0.3111111111111111,1.413760603204524,1057,20.151371807000945
"Matisse Thybulle","PHI",69,1363,770,0.27598566308243727,12.207792207792208,0.30128205128205127,1.4285714285714286,2.987012987012987,0.4782608695652174,2.5974025974025974,5.974025974025974,0.43478260869565216,1.5584415584415585,0.5942028985507246,0.6103896103896104,0.5675110294117647,1.1688311688311688,2.0779220779220777,0.2318840579710145,0.5625,0.9090909090909091,1.8181818181818181,0.2028985507246377,0.5,1.6883116883116882,4.1558441558441555,0.463768115942029,0.40625,2.0779220779220777,752,12.23404255319149
"Mike Scott","PHI",72,1227,869,0.34787830264211367,17.60644418872267,0.3695652173913043,2.0713463751438437,4.718066743383199,0.43902439024390244,3.7974683544303796,9.436133486766398,0.4024390243902439,2.0713463751438437,0.5487804878048781,0.5795454545454546,0.5364330578512396,1.380897583429229,2.5316455696202533,0.17886178861788618,0.5454545454545454,0.6904487917146145,2.8768699654775602,0.2032520325203252,0.24,3.1070195627157653,6.5592635212888375,0.4634146341463415,0.47368421052631576,1.1507479861910241,867,17.416378316032294
"Shake Milton","PHI",44,931,434,0.2299947005829359,20.967741935483872,0.20919540229885059,4.147465437788019,7.6036866359447,0.5454545454545454,3.456221198156682,8.525345622119815,0.40540540540540543,2.304147465437788,0.5785714285714286,0.6148648648648649,0.4986885714285714,2.5345622119815667,4.147465437788019,0.2571428571428571,0.6111111111111112,0.9216589861751152,1.8433179723502304,0.11428571428571428,0.5,2.5345622119815667,6.682027649769585,0.4142857142857143,0.3793103448275862,3.9170506912442398,434,20.967741935483872
"James Ennis III","PHI",49,776,459,0.2884978001257071,16.99346405228758,0.2736842105263158,3.485838779956427,8.932461873638344,0.3902439024390244,1.7429193899782136,4.793028322440088,0.36363636363636365,4.793028322440088,0.4444444444444444,0.5131578947368421,0.5577725806451612,3.0501089324618738,6.5359477124183005,0.47619047619047616,0.4666666666666667,0.6535947712418301,2.178649237472767,0.15873015873015872,0.3,1.0893246187363834,2.6143790849673203,0.19047619047619047,0.4166666666666667,1.3071895424836601,450,16.88888888888889
