"Name","TeamAbbreviation","GamesPlayed","Minutes","PenaltyOffPoss","PenaltyOffPossPct","PenaltyPoints","PenaltyPointsPct","PenaltyFG2M","PenaltyFG2A","PenaltyFg2Pct","PenaltyFG3M","PenaltyFG3A","PenaltyFg3Pct","PenaltyFtPoints","PenaltyEfgPct","PenaltyTsPct","PenaltyShotQualityAvg","PenaltyAtRimFGM","PenaltyAtRimFGA","PenaltyAtRimFrequency","PenaltyAtRimAccuracy","PenaltyCorner3FGM","PenaltyCorner3FGA","PenaltyCorner3Frequency","PenaltyCorner3Accuracy","PenaltyArc3FGM","PenaltyArc3FGA","PenaltyArc3Frequency","PenaltyArc3Accuracy","PenaltyTurnovers","PenaltyOffPossExcludingTakeFouls","PenaltyPointsExcludingTakeFouls"
"Bradley Beal","WAS",57,2053,1180,0.26983764006402927,45.50847457627118,0.3084434233199311,9.576271186440678,19.152542372881356,0.5,4.406779661016949,11.186440677966102,0.3939393939393939,13.135593220338983,0.5335195530726257,0.6043083900226758,0.5090616246498599,6.186440677966102,10.254237288135593,0.33798882681564246,0.6033057851239669,0.423728813559322,0.847457627118644,0.027932960893854747,0.5,3.983050847457627,10.338983050847459,0.3407821229050279,0.38524590163934425,5.084745762711864,1166,45.45454545454545
"Ish Smith","WAS",68,1787,1097,0.28762454116413216,20.783956244302644,0.3081081081081081,6.107566089334549,12.488605287146765,0.48905109489051096,1.8231540565177757,4.649042844120328,0.39215686274509803,3.099361896080219,0.5159574468085106,0.5480769230769231,0.4675284574468085,3.099361896080219,4.740200546946217,0.2765957446808511,0.6538461538461539,0.27347310847766637,1.1850501367365542,0.06914893617021277,0.23076923076923078,1.5496809480401095,3.463992707383774,0.20212765957446807,0.4473684210526316,1.0938924339106655,1087,20.699172033118675
"Troy Brown Jr.","WAS",69,1782,1170,0.3080568720379147,21.28205128205128,0.3477653631284916,6.3247863247863245,10.854700854700855,0.5826771653543307,1.623931623931624,4.871794871794871,0.3333333333333333,3.7606837606837606,0.5570652173913043,0.5876777251184834,0.4802952247191011,3.7606837606837606,4.786324786324786,0.30434782608695654,0.7857142857142857,0.5128205128205128,1.0256410256410255,0.06521739130434782,0.5,1.1111111111111112,3.8461538461538463,0.24456521739130435,0.28888888888888886,1.452991452991453,1162,20.826161790017213
"Davis Bertans","WAS",54,1583,1071,0.3126094570928196,25.49019607843137,0.3273381294964029,1.4005602240896358,2.987861811391223,0.46875,5.882352941176471,12.978524743230626,0.45323741007194246,5.042016806722689,0.6403508771929824,0.678391959798995,0.511980294117647,0.9337068160597572,1.4939309056956116,0.0935672514619883,0.625,0.9337068160597572,1.1204481792717087,0.07017543859649122,0.8333333333333334,4.9486461251167135,11.858076563958917,0.7426900584795322,0.41732283464566927,1.7740429505135387,1060,25.754716981132077
"Rui Hachimura","WAS",48,1444,751,0.24614880367092756,17.842876165113182,0.20647149460708783,5.326231691078562,10.652463382157125,0.5,0.6657789613848203,2.396804260985353,0.2777777777777778,5.193075898801598,0.4846938775510204,0.5630252100840336,0.5098615789473684,3.728362183754993,5.858854860186418,0.4489795918367347,0.6363636363636364,0.3994673768308921,0.9320905459387483,0.07142857142857142,0.42857142857142855,0.2663115845539281,1.4647137150466045,0.11224489795918367,0.18181818181818182,1.7310252996005326,744,17.473118279569892
"Isaac Bonga","WAS",66,1250,591,0.22514285714285714,12.182741116751268,0.21818181818181817,3.045685279187817,5.2453468697123515,0.5806451612903226,0.8460236886632826,2.707275803722504,0.3125,3.553299492385787,0.5425531914893617,0.631578947368421,0.5409722222222222,2.5380710659898478,4.060913705583756,0.5106382978723404,0.625,0.338409475465313,0.8460236886632826,0.10638297872340426,0.4,0.5076142131979695,1.8612521150592216,0.23404255319148937,0.2727272727272727,1.8612521150592216,586,11.945392491467576
"Thomas Bryant","WAS",46,1147,554,0.22612244897959183,24.729241877256317,0.22495894909688013,7.581227436823105,12.99638989169675,0.5833333333333334,1.263537906137184,3.068592057761733,0.4117647058823529,5.776173285198556,0.5898876404494382,0.6401869158878505,0.5417095505617978,5.956678700361011,8.12274368231047,0.5056179775280899,0.7333333333333333,0.5415162454873647,0.5415162454873647,0.033707865168539325,1,0.7220216606498195,2.527075812274368,0.15730337078651685,0.2857142857142857,2.527075812274368,548,25
"Isaiah Thomas","WAS",40,925,449,0.22574157868275516,30.066815144766146,0.2766393442622951,6.23608017817372,13.585746102449889,0.45901639344262296,3.11804008908686,7.572383073496659,0.4117647058823529,8.240534521158128,0.5157894736842106,0.5769230769230769,0.4743031578947368,1.3363028953229399,2.4498886414253898,0.11578947368421053,0.5454545454545454,0.6681514476614699,1.3363028953229399,0.06315789473684211,0.5,2.4498886414253898,6.23608017817372,0.29473684210526313,0.39285714285714285,4.008908685968819,448,30.133928571428573
"Moritz Wagner","WAS",45,835,500,0.27472527472527475,17.2,0.21882951653944022,4,7.4,0.5405405405405406,1,4,0.25,6.2,0.4824561403508772,0.581081081081081,0.5455149122807017,3.6,5.4,0.47368421052631576,0.6666666666666666,0.4,1.4,0.12280701754385964,0.2857142857142857,0.6,2.6,0.22807017543859648,0.23076923076923078,3.2,494,17.408906882591094
"Ian Mahinmi","WAS",38,808,425,0.25207591933570583,14.117647058823529,0.21201413427561838,3.764705882352941,8,0.47058823529411764,0.47058823529411764,0.9411764705882353,0.5,5.176470588235294,0.5,0.5263157894736842,0.49576351351351355,2.588235294117647,4.470588235294118,0.5,0.5789473684210527,0.23529411764705882,0.23529411764705882,0.02631578947368421,1,0.23529411764705882,0.7058823529411765,0.07894736842105263,0.3333333333333333,1.6470588235294117,423,14.184397163120567
"Jordan McRae","WAS",29,654,422,0.2959326788218794,24.881516587677726,0.28378378378378377,6.161137440758294,15.402843601895734,0.4,2.3696682464454977,7.345971563981043,0.3225806451612903,5.450236966824645,0.4270833333333333,0.47297297297297297,0.467618085106383,2.843601895734597,5.450236966824645,0.23958333333333334,0.5217391304347826,0.23696682464454977,0.7109004739336493,0.03125,0.3333333333333333,2.132701421800948,6.6350710900473935,0.2916666666666667,0.32142857142857145,1.4218009478672986,417,24.700239808153476
"Jerome Robinson","WAS",21,503,326,0.3001841620626151,20.245398773006134,0.3350253807106599,3.374233128834356,8.282208588957054,0.4074074074074074,3.374233128834356,9.202453987730062,0.36666666666666664,3.374233128834356,0.4824561403508772,0.5238095238095238,0.4860894736842105,1.5337423312883436,2.4539877300613497,0.14035087719298245,0.625,0.6134969325153374,2.147239263803681,0.12280701754385964,0.2857142857142857,2.7607361963190185,7.0552147239263805,0.40350877192982454,0.391304347826087,0.9202453987730062,321,19.314641744548286
"Shabazz Napier","WAS",20,488,310,0.30097087378640774,25.806451612903224,0.3463203463203463,3.870967741935484,6.774193548387097,0.5714285714285714,2.903225806451613,7.741935483870968,0.375,9.35483870967742,0.5666666666666667,0.6779661016949152,0.5130733333333334,2.903225806451613,4.193548387096774,0.28888888888888886,0.6923076923076923,0,1.2903225806451613,0.08888888888888889,0,2.903225806451613,6.451612903225806,0.4444444444444444,0.45,3.870967741935484,310,25.806451612903224
