"Name","TeamAbbreviation","GamesPlayed","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","DefTwoPtRebounds","DefTwoPtReboundPct","DefThreePtRebounds","DefThreePtReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","OffTwoPtRebounds","OffTwoPtReboundPct","OffThreePtRebounds","OffThreePtReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct","SelfOReb","SelfORebPct"
"Collin Sexton","CLE",65,2143,2.3142370958593306,3.2426303854875282,0,0,1.3151927437641724,0.05375347544022243,1.927437641723356,0.09906759906759907,0.0738255033557047,1.3847900113507379,0.022701475595913734,0.009615384615384616,0.9761634506242906,0.03518821603927987,0.3859250851305335,0.020214030915576695,0.029083858458555503,0.046460176991150445,0.036585365853658534,0.10138248847926268,0.0995405819295559,0.0975609756097561,0.023575638506876228,0.056640625,0.009950248756218905,0.020348837209302327,0.0196078431372549,18,0.04072398190045249
"Cedi Osman","CLE",65,1910,2.9471804031640723,4.900459418070444,0.3318019397651863,0.1625,2.1439509954058193,0.0851063829787234,2.4247064828994387,0.12226512226512226,0.10147392290249434,0.9948979591836735,0.025510204081632654,0.01098901098901099,0.5867346938775511,0.02155576382380506,0.3826530612244898,0.01955671447196871,0.020719738276990186,0.07281553398058252,0.09115281501340483,0.09900990099009901,0.1305785123966942,0.09302325581395349,0.024444444444444446,0.02197802197802198,0.012345679012345678,0.018867924528301886,0.022900763358778626,9,0.03
"Darius Garland","CLE",59,1824,1.488933601609658,2.2574576726686373,0.026874496103198066,0.011904761904761904,1.2093523246439128,0.04712041884816754,1.0212308519215265,0.04967320261437908,0.04825581395348837,0.723085163363685,0,0,0.3749330476700589,0.013397129186602871,0.34815211569362614,0.017759562841530054,0.015194147439504783,0.05555555555555555,0.04,0.04040404040404041,0.05218855218855219,0.04093567251461988,0.0136986301369863,0.009389671361502348,0.022099447513812154,0.020338983050847456,0.007042253521126761,10,0.026595744680851064
"Kevin Love","CLE",56,1780,7.5147685121582635,13.603752759381898,0.717439293598234,0.35135135135135137,6.815673289183223,0.2726269315673289,6.070640176600442,0.3068340306834031,0.28773875539125077,1.4774281805745555,0,0,0.8481532147742818,0.03153611393692777,0.6292749658002736,0.031081081081081083,0.03134068485200232,0.23604060913705585,0.2882882882882883,0.3240223463687151,0.30129390018484287,0.32386363636363635,0.038834951456310676,0.024630541871921183,0.030303030303030304,0.02861952861952862,0.0410958904109589,4,0.01084010840108401
"Tristan Thompson","CLE",57,1722,8.25228832951945,10,0.4843304843304843,0.2982456140350877,5.356125356125356,0.21099887766554434,4.15954415954416,0.20334261838440112,0.20758234928527036,6.490522688110281,0.02871912693854107,0.0125,4.652498564043653,0.15835777126099707,1.8093049971280872,0.0958904109589041,0.13392857142857142,0.18556701030927836,0.23708206686930092,0.21839080459770116,0.2118491921005386,0.17391304347826086,0.18974358974358974,0.14725274725274726,0.11797752808988764,0.09479553903345725,0.10084033613445378,19,0.09313725490196079
"Larry Nance Jr.","CLE",56,1472,6.840608797457769,10.123621784163047,1.1359839625793517,0.39080459770114945,4.477113264283328,0.1879382889200561,4.510524557300368,0.21986970684039087,0.2027128862094951,3.549899531145345,0.033489618218352314,0.011363636363636364,2.2772940388479572,0.08751608751608751,1.2391158740790356,0.057722308892355696,0.07404795486600846,0.1702127659574468,0.2,0.1986754966887417,0.21166306695464362,0.24503311258278146,0.10397553516819572,0.08064516129032258,0.06428571428571428,0.05426356589147287,0.072,8,0.0446927374301676
"Kevin Porter Jr.","CLE",50,1162,3.4213305174234425,5.884825556956704,0.16813787305590586,0.07272727272727272,2.9844472467423286,0.12792792792792793,2.73224043715847,0.12572533849129594,0.12686567164179105,0.933786078098472,0,0,0.6791171477079796,0.026016260162601626,0.2546689303904924,0.011516314779270634,0.01936619718309859,0.1568627450980392,0.08196721311475409,0.13675213675213677,0.13076923076923078,0.11023622047244094,0.03875968992248062,0.016597510373443983,0.017241379310344827,0.014457831325301205,0,8,0.04060913705583756
"Matthew Dellavedova","CLE",57,821,2.2288261515601784,3.3787788974510966,0.05927682276229994,0.02564102564102564,1.837581505631298,0.07175925925925926,1.4819205690574986,0.07042253521126761,0.07115628970775095,1.0727056019070322,0,0,0.5959475566150179,0.024271844660194174,0.4767580452920143,0.02318840579710145,0.023778071334214,0.07272727272727272,0.055865921787709494,0.10227272727272728,0.05813953488372093,0.10309278350515463,0.016216216216216217,0.029940119760479042,0.03333333333333333,0.02527075812274368,0.014705882352941176,3,0.02857142857142857
"Jordan Clarkson","CLE",29,666,2.5717480432351847,3.5794183445190155,0.07457121551081283,0.02702702702702703,1.5659955257270695,0.0625,1.9388516032811334,0.09352517985611511,0.07654723127035831,1.5648286140089418,0,0,0.819672131147541,0.03323262839879154,0.7451564828614009,0.031446540880503145,0.032357473035439135,0.05714285714285714,0.032520325203252036,0.1232876712328767,0.09216589861751152,0.09836065573770492,0.03731343283582089,0.04316546762589928,0,0.02702702702702703,0.05084745762711865,7,0.0457516339869281
"Alfonzo McKinnie","CLE",40,593,4.60285132382892,6.143896523848019,0.5658852061438965,0.18421052631578946,2.4252223120452707,0.10101010101010101,3.152789005658852,0.16738197424892703,0.13018867924528302,3.037766830870279,0.3284072249589491,0.12121212121212122,0.5747126436781609,0.022151898734177215,2.134646962233169,0.1092436974789916,0.05956678700361011,0.09523809523809523,0.08737864077669903,0.1323529411764706,0.1638418079096045,0.17857142857142858,0.013605442176870748,0.02564102564102564,0.038461538461538464,0.10880829015544041,0.1111111111111111,2,0.024390243902439025
