"Name","TeamAbbreviation","GamesPlayed","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","DefTwoPtRebounds","DefTwoPtReboundPct","DefThreePtRebounds","DefThreePtReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","OffTwoPtRebounds","OffTwoPtReboundPct","OffThreePtRebounds","OffThreePtReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct","SelfOReb","SelfORebPct"
"Nikola Jokic","DEN",78,2523,7.503751875937969,11.567089116877892,0.8449004224502112,0.336,5.974652987326493,0.24107142857142858,4.7475357071011866,0.2207670720299345,0.23163841807909605,3.4832802547770703,0.059713375796178345,0.033707865168539325,2.468152866242038,0.09401061410159212,0.9554140127388535,0.047524752475247525,0.0738514383855732,0.2356687898089172,0.2648221343873518,0.20392156862745098,0.2169576059850374,0.23220973782771537,0.12101910828025478,0.08550185873605948,0.06774193548387097,0.04590570719602978,0.05392156862745098,44,0.08627450980392157
"Jamal Murray","DEN",64,2086,3.2371059306679553,5.164888457807954,0.1454898157129001,0.057692307692307696,2.5460717749757515,0.10616784630940344,2.473326867119302,0.1111111111111111,0.10854745673833247,1.3237063778580025,0.024067388688327317,0.012195121951219513,0.8904933814681107,0.03397612488521579,0.4091456077015644,0.0208078335373317,0.02833158447009444,0.09788359788359788,0.08651399491094147,0.1559633027522936,0.11946902654867257,0.0875,0.020050125313283207,0.04387990762124711,0.038910505836575876,0.022388059701492536,0.013605442176870748,28,0.0577319587628866
"Jerami Grant","DEN",76,2060,3.2067510548523206,4.929069487857658,0.24044241404183697,0.09009009009009009,2.3563356576100025,0.0950533462657614,2.332291416205819,0.11345029239766082,0.1033934252386002,1.4748549323017408,0.024177949709864602,0.010101010101010102,0.9671179883945842,0.036133694670280034,0.4835589941972921,0.02607561929595828,0.032017075773746,0.1076555023923445,0.0784313725490196,0.1024390243902439,0.11598746081504702,0.10599078341013825,0.04774535809018567,0.034482758620689655,0.022556390977443608,0.02680067001675042,0.023529411764705882,8,0.025157232704402517
"Will Barton","DEN",58,1916,4.748276310654352,7.543722265726964,0.5742625946228139,0.25287356321839083,3.471678412947011,0.13613101330603888,3.497781258157139,0.1554524361948956,0.14518760195758565,1.9709543568464731,0,0,1.3226141078838174,0.0480225988700565,0.6483402489626556,0.033647375504710635,0.042105263157894736,0.11811023622047244,0.12781954887218044,0.18781725888324874,0.1546707503828484,0.15789473684210525,0.045112781954887216,0.06349206349206349,0.02252252252252252,0.026490066225165563,0.06474820143884892,31,0.08882521489971347
"Gary Harris","DEN",56,1780,2.2915787993814143,3.8461538461538463,0.08422234699606962,0.036585365853658534,1.600224592925323,0.06597222222222222,2.1617069062324537,0.0983397190293742,0.08136004857316333,0.7321881160236553,0,0,0.39425513939735285,0.014957264957264958,0.33793297662630245,0.01652892561983471,0.015643802647412757,0.06134969325153374,0.048295454545454544,0.10752688172043011,0.09168081494057725,0.11855670103092783,0.017391304347826087,0.012853470437017995,0.01485148514851485,0.013333333333333334,0.031746031746031744,8,0.02962962962962963
"Monte Morris","DEN",78,1767,2.0504951876133353,3.4106793402292426,0.02795638803466592,0.01098901098901099,1.2021246854906347,0.04720087815587267,2.180598266703942,0.10497981157469717,0.07315598548972188,0.6959910913140311,0,0,0.44543429844098,0.0163098878695209,0.2505567928730512,0.01308139534883721,0.014979029358897543,0.047493403693931395,0.049315068493150684,0.041916167664670656,0.10931899641577061,0.0918918918918919,0.012084592145015106,0.021634615384615384,0.01282051282051282,0.0136986301369863,0.011299435028248588,6,0.02040816326530612
"Paul Millsap","DEN",56,1359,5.750324615099239,7.586463369282261,0.5950167348456675,0.26229508196721313,3.681666046857568,0.15301391035548687,3.309780587579026,0.14759535655058043,0.1504,3.923019985196151,0.29607698001480387,0.14285714285714285,2.2575869726128794,0.08379120879120878,1.3693560325684677,0.06739526411657559,0.07674236491777604,0.12448132780082988,0.19029850746268656,0.13043478260869565,0.14565217391304347,0.15384615384615385,0.10676156583629894,0.0859106529209622,0.038461538461538464,0.06502242152466367,0.07766990291262135,14,0.06763285024154589
"Torrey Craig","DEN",63,1186,4.291480773316337,5.541561712846348,0.5877413937867338,0.23728813559322035,2.476910159529807,0.10172413793103448,2.476910159529807,0.11823647294589178,0.10936051899907322,3.010752688172043,0.043010752688172046,0.017857142857142856,1.4623655913978495,0.053712480252764615,1.5053763440860215,0.07261410788381743,0.06188340807174888,0.06779661016949153,0.12875536480686695,0.11711711711711711,0.12299465240641712,0.104,0.0319634703196347,0.05859375,0.0759493670886076,0.0821917808219178,0.042735042735042736,6,0.0410958904109589
"Mason Plumlee","DEN",66,1108,7.552602436323366,10.193321616871705,0.8347978910369068,0.34545454545454546,5.184534270650263,0.20557491289198607,4.173989455184534,0.1919191919191919,0.1992516370439663,4.868244752121483,0.08932559178204555,0.023255813953488372,3.617686467172845,0.1232876712328767,1.1612326931665922,0.06483790523690773,0.10113421550094517,0.17154811715481172,0.21171171171171171,0.26548672566371684,0.1837837837837838,0.216,0.16,0.10437710437710437,0.1037037037037037,0.06291390728476821,0.0707070707070707,10,0.1111111111111111
"Michael Porter Jr.","DEN",60,1040,6.796116504854369,10.323501427212179,0.9514747859181731,0.3389830508474576,5.042816365366318,0.21721311475409835,4.329210275927688,0.20776255707762556,0.21274298056155508,3.3003300330033003,0.04714757190004715,0.02040816326530612,2.0744931636020745,0.07394957983193277,1.1786892975011787,0.06172839506172839,0.069,0.14354066985645933,0.24468085106382978,0.32967032967032966,0.22570532915360503,0.15966386554621848,0.08597285067873303,0.07053941908713693,0.06015037593984962,0.05245901639344262,0.09,3,0.016216216216216217
