"Name","TeamAbbreviation","GamesPlayed","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","DefTwoPtRebounds","DefTwoPtReboundPct","DefThreePtRebounds","DefThreePtReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","OffTwoPtRebounds","OffTwoPtReboundPct","OffThreePtRebounds","OffThreePtReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct","SelfOReb","SelfORebPct"
"James Harden","HOU",72,2633,4.274193548387097,7.237549265496238,0.5016123253314224,0.18181818181818182,3.0634181297026157,0.11776859504132231,3.6725188104621997,0.16858552631578946,0.1409295352323838,1.3087128002868411,0.035855145213338116,0.013245033112582781,0.6991753316600933,0.0377541142303969,0.5736823234134099,0.019962570180910792,0.02693474962063733,0.09169550173010381,0.12277867528271405,0.16470588235294117,0.15664018161180476,0.2,0.031088082901554404,0.055232558139534885,0.01818181818181818,0.017006802721088437,0.02810304449648712,43,0.05512820512820513
"P.J. Tucker","HOU",76,2614,4.55079006772009,6.938923021322732,0.7950849295265631,0.3055555555555556,3.28876039031442,0.1266527487821851,2.855077701481749,0.13333333333333333,0.12967200610221205,2.165674066053059,0.10828370330265295,0.0379746835443038,0.5775130842808157,0.029465930018416207,1.4798772784695904,0.05307443365695793,0.043329532497149374,0.11131059245960502,0.144,0.11764705882352941,0.1303344867358708,0.14150943396226415,0.030874785591766724,0.0332409972299169,0.014084507042253521,0.05305039787798409,0.05314009661835749,11,0.044534412955465584
"Danuel House Jr.","HOU",67,2060,3.3363698474151673,5.217589428115744,0.1594896331738437,0.05982905982905983,2.301207564365459,0.09099099099099099,2.756892230576441,0.12790697674418605,0.10797665369649806,1.4568631914409287,0.06829046209879354,0.024193548387096774,0.5007967220578192,0.02564102564102564,0.8877760072843159,0.031578947368421054,0.029144768275203056,0.07045454545454545,0.08496732026143791,0.14691943127962084,0.14096916299559473,0.09433962264150944,0.01956521739130435,0.03873239436619718,0.017543859649122806,0.036223929747530186,0.018518518518518517,6,0.019736842105263157
"Russell Westbrook","HOU",57,2049,5.038543179533013,7.8664276109368,0.8292245629762438,0.27205882352941174,3.5186015239802777,0.14156898106402163,3.5186015239802777,0.1663135593220339,0.15294690696541646,2.2276676319893074,0,0,1.1583871686344398,0.05268490374873354,1.0692804633548674,0.04332129963898917,0.0477326968973747,0.09767441860465116,0.16844349680170576,0.17142857142857143,0.17069701280227595,0.15352697095435686,0.060665362035225046,0.05379746835443038,0.025,0.04244694132334582,0.04560260586319218,27,0.04584040747028863
"Ben McLemore","HOU",75,1683,2.299651567944251,3.9764771772612715,0.08401008120974517,0.02912621359223301,1.7082049845981517,0.06740331491712707,2.1842621114533745,0.10540540540540541,0.08449848024316109,0.6381798002219756,0,0,0.22197558268590456,0.012779552715654952,0.416204217536071,0.014231499051233396,0.01369047619047619,0.06906077348066299,0.059895833333333336,0.08176100628930817,0.09671179883945841,0.12556053811659193,0.011363636363636364,0.01904761904761905,0,0.01643489254108723,0.0076045627376425855,8,0.027972027972027972
"Austin Rivers","HOU",72,1677,2.63341228925735,4.494695700725852,0.027917364600781685,0.01,1.9262981574539364,0.07903780068728522,2.5404801786711335,0.12165775401069519,0.09870450339296731,0.7788595271210014,0,0,0.25034770514603616,0.013493253373313344,0.5285118219749653,0.01860920666013712,0.016587677725118485,0.050445103857566766,0.08196721311475409,0.12941176470588237,0.12639405204460966,0.10952380952380952,0.01366120218579235,0.013100436681222707,0.013888888888888888,0.02345679012345679,0,5,0.01838235294117647
"Clint Capela","HOU",39,1279,9.815390239444342,13.491773308957953,0.7678244972577697,0.3333333333333333,7.349177330895795,0.2701612903225806,5.374771480804387,0.2597173144876325,0.26564885496183205,6.140350877192983,0,0,3.6184210526315788,0.15764331210191082,2.5219298245614037,0.09928057553956834,0.12698412698412698,0.2422145328719723,0.2770700636942675,0.3120567375886525,0.2562814070351759,0.26785714285714285,0.18674698795180722,0.12334801762114538,0.13043478260869565,0.08382066276803118,0.14285714285714285,26,0.2524271844660194
"Eric Gordon","HOU",40,1152,1.6616616616616617,2.881152460984394,0.1600640256102441,0.0547945205479452,1.3605442176870748,0.05466237942122187,1.3605442176870748,0.06439393939393939,0.059130434782608696,0.4407051282051282,0.04006410256410257,0.011904761904761904,0.16025641025641027,0.008695652173913044,0.2403846153846154,0.0084985835694051,0.008576329331046312,0.058091286307053944,0.040293040293040296,0.08333333333333333,0.0678391959798995,0.05384615384615385,0.01195219123505976,0.006097560975609756,0,0.008944543828264758,0.006802721088435374,4,0.013333333333333334
"Robert Covington","HOU",26,838,5.470953186689227,9.301014656144307,0.9019165727170236,0.3333333333333333,4.678692220969561,0.17735042735042736,3.7204058624577225,0.1793478260869565,0.17822966507177032,1.636568848758465,0.056433408577878104,0.02564102564102564,0.39503386004514673,0.025547445255474453,1.18510158013544,0.03776978417266187,0.033734939759036145,0.18994413407821228,0.15639810426540285,0.20512820512820512,0.19081272084805653,0.1411764705882353,0.0392156862745098,0.011235955056179775,0,0.04656862745098039,0.013513513513513514,3,0.02112676056338028
"Jeff Green","HOU",22,547,3.277990634312473,5.5508112724167376,0.5123825789923142,0.15789473684210525,2.9035012809564473,0.1223021582733813,2.134927412467976,0.11061946902654868,0.11706349206349206,1.0186757215619695,0,0,0.5942275042444821,0.040697674418604654,0.4244482173174873,0.01466275659824047,0.023391812865497075,0.1111111111111111,0.13445378151260504,0.11666666666666667,0.09090909090909091,0.16393442622950818,0.044444444444444446,0.04918032786885246,0,0.007782101167315175,0.03571428571428571,3,0.039473684210526314
"Thabo Sefolosha","HOU",41,436,4.96,7.708779443254818,1.0706638115631693,0.2857142857142857,4.496788008565311,0.18502202643171806,2.1413276231263385,0.10256410256410256,0.14691943127962084,2.2316684378320937,0,0,0.8501594048884166,0.050314465408805034,1.381509032943677,0.04452054794520548,0.04656319290465632,0.18823529411764706,0.17708333333333334,0.1956521739130435,0.09219858156028368,0.12962962962962962,0.06578947368421052,0.05084745762711865,0,0.04291845493562232,0.05084745762711865,2,0.0425531914893617
"Chris Clemons","HOU",33,291,2.3828435266084194,4.16,0,0,2.24,0.10294117647058823,1.92,0.07317073170731707,0.08666666666666667,0.6309148264984227,0,0,0.15772870662460567,0.009523809523809525,0.47318611987381703,0.014492753623188406,0.01282051282051282,0.03636363636363636,0.1320754716981132,0.17857142857142858,0.05217391304347826,0.12244897959183673,0,0.023809523809523808,0,0.016574585635359115,0,2,0.025
"Isaiah Hartenstein","HOU",23,266,7.894736842105263,10.720562390158172,0.5272407732864675,0.14285714285714285,4.393673110720562,0.18115942028985507,5.799648506151143,0.22916666666666666,0.20567375886524822,5.078809106830122,0.17513134851138354,0.058823529411764705,3.1523642732049035,0.18947368421052632,1.7513134851138354,0.06622516556291391,0.11382113821138211,0.18032786885245902,0.22448979591836735,0.10714285714285714,0.22429906542056074,0.24324324324324326,0.2,0.16216216216216217,0.23076923076923078,0.05555555555555555,0.12,0,0
"Tyson Chandler","HOU",26,219,6.932773109243698,8.61344537815126,0.21008403361344538,0.06666666666666667,5.042016806722689,0.24242424242424243,3.361344537815126,0.13445378151260504,0.1834862385321101,5.2521008403361344,0,0,2.5210084033613445,0.12631578947368421,2.73109243697479,0.09285714285714286,0.10638297872340426,0.23076923076923078,0.2,0.35,0.14772727272727273,0.0967741935483871,0.10638297872340426,0.2,0.05555555555555555,0.08108108108108109,0.13793103448275862,0,0
"Gary Clark","HOU",18,212,4.434589800443459,6.444444444444445,0.6666666666666666,0.1875,3.3333333333333335,0.14285714285714285,2.4444444444444446,0.10476190476190476,0.12380952380952381,2.433628318584071,0,0,0.22123893805309736,0.014705882352941176,2.2123893805309733,0.072992700729927,0.05365853658536585,0.07894736842105263,0.14285714285714285,0.24,0.14285714285714285,0.02857142857142857,0,0,0.125,0.07476635514018691,0.06666666666666667,0,0
"DeMarre Carroll","HOU",10,157,3.5190615835777126,5.555555555555555,0.29239766081871343,0.125,1.7543859649122806,0.07228915662650602,3.508771929824561,0.16216216216216217,0.11464968152866242,1.4705882352941178,0,0,0.29411764705882354,0.02040816326530612,1.1764705882352942,0.041666666666666664,0.034482758620689655,0.09090909090909091,0.0625,0.05555555555555555,0.2037037037037037,0.05,0.038461538461538464,0,0,0.04938271604938271,0,0,0
"Michael Frazier","HOU",14,147,1.5267175572519085,2.719033232628399,0,0,1.2084592145015105,0.06779661016949153,1.5105740181268883,0.07462686567164178,0.07142857142857142,0.30864197530864196,0,0,0,0,0.30864197530864196,0.009523809523809525,0.006578947368421052,0,0.11538461538461539,0.07692307692307693,0.08163265306122448,0.05555555555555555,0,0,0,0.011627906976744186,0,0,0
"Bruno Caboclo","HOU",9,54,6.827309236947791,8.8,0.8,0.5,3.2,0.18181818181818182,4.8,0.1875,0.18518518518518517,4.838709677419355,0,0,3.225806451612903,0.19047619047619047,1.6129032258064515,0.05,0.09836065573770492,0.16666666666666666,0.2,0.16666666666666666,0.2,0.14285714285714285,0.25,0.16666666666666666,0,0.06060606060606061,0,1,0.1111111111111111
