"Name","TeamAbbreviation","GamesPlayed","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","DefTwoPtRebounds","DefTwoPtReboundPct","DefThreePtRebounds","DefThreePtReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","OffTwoPtRebounds","OffTwoPtReboundPct","OffThreePtRebounds","OffThreePtReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct","SelfOReb","SelfORebPct"
"T.J. Warren","IND",71,2359,3.1800646439370244,4.834340487601584,0.37507814127943323,0.18947368421052632,2.3129818712231716,0.08578052550231839,2.146280475098979,0.10228401191658391,0.09300304215558453,1.523372287145242,0.020868113522537562,0.011494252873563218,1.2520868113522539,0.04332129963898917,0.25041736227045075,0.014906832298136646,0.03287671232876712,0.08029197080291971,0.08189655172413793,0.10283687943262411,0.10654685494223363,0.08771929824561403,0.06782945736434108,0.041304347826086954,0.014669926650366748,0.014195583596214511,0.017543859649122806,25,0.05482456140350877
"Domantas Sabonis","IND",62,2159,8.835663534265414,13.354749885268472,0.9407985314364388,0.5061728395061729,7.182193666819642,0.270293609671848,5.231757687012391,0.24281150159744408,0.25798760133524085,4.326923076923077,0.045787545787545784,0.024096385542168676,3.3653846153846154,0.11290322580645161,0.9157509157509157,0.055710306406685235,0.09257425742574257,0.2515592515592516,0.28169014084507044,0.2868525896414343,0.24629878869448182,0.22959183673469388,0.17716535433070865,0.10120481927710843,0.0395778364116095,0.04823747680890538,0.0782122905027933,41,0.12349397590361445
"Myles Turner","IND",66,1971,5.655397762975996,8.849335673101027,0.45124091250940085,0.2647058823529412,3.7854098771621962,0.14218455743879474,4.612684883429431,0.20885357548240635,0.1724137931034483,2.444556451612903,0.025201612903225805,0.012195121951219513,1.6633064516129032,0.05794556628621598,0.7560483870967742,0.04225352112676056,0.05191995673336939,0.1118421052631579,0.14545454545454545,0.19909502262443438,0.20618556701030927,0.21782178217821782,0.0639269406392694,0.04871060171919771,0.05965909090909091,0.04136690647482014,0.045454545454545456,10,0.03225806451612903
"Justin Holiday","IND",77,1957,3.11960542540074,5.334316617502458,0.39331366764995085,0.17204301075268819,2.7777777777777777,0.10590440487347703,2.1632251720747298,0.10196987253765932,0.10414507772020726,0.8906481939633845,0,0,0.5195447798119742,0.019178082191780823,0.3711034141514102,0.01935483870967742,0.019251336898395723,0.07221006564551423,0.11138613861386139,0.16990291262135923,0.10164424514200299,0.10309278350515463,0.02247191011235955,0.025139664804469275,0.00684931506849315,0.018612521150592216,0.021739130434782608,5,0.019455252918287938
"Malcolm Brogdon","IND",58,1826,3.7712895377128954,6.304112554112554,0.08116883116883117,0.03488372093023256,3.382034632034632,0.125,2.840909090909091,0.13583441138421734,0.12972363226170333,1.242571582928147,0,0,0.6753106428957321,0.024509803921568627,0.5672609400324149,0.03211009174311927,0.027479091995221028,0.14385150812064965,0.10764872521246459,0.11574074074074074,0.12897822445561138,0.1590909090909091,0.011990407673860911,0.03908794788273615,0.02702702702702703,0.03339882121807466,0.027586206896551724,14,0.035623409669211195
"Aaron Holiday","IND",70,1689,2.314814814814815,3.9733178654292343,0.1740139211136891,0.09375,1.7691415313225058,0.06652126499454744,2.0301624129930396,0.08883248730964467,0.07683284457478005,0.663972286374134,0,0,0.37528868360277134,0.013039117352056168,0.28868360277136257,0.01644736842105263,0.014330218068535825,0.057291666666666664,0.06997084548104957,0.07894736842105263,0.09317803660565724,0.0748663101604278,0.015584415584415584,0.018072289156626505,0.0035714285714285713,0.006382978723404255,0.050724637681159424,11,0.036303630363036306
"Doug McDermott","IND",73,1427,2.9893599054213813,5.089315807212673,0.3707448601280755,0.14473684210526316,2.4603977081226827,0.0929936305732484,2.2581732389619145,0.1060126582278481,0.09880028228652082,0.8801624915368991,0,0,0.5754908598510494,0.02040816326530612,0.3046716316858497,0.016333938294010888,0.01878612716763006,0.11271676300578035,0.06896551724137931,0.09395973154362416,0.1168032786885246,0.06944444444444445,0.022857142857142857,0.02857142857142857,0.0049261083743842365,0.014319809069212411,0.022727272727272728,5,0.0199203187250996
"T.J. McConnell","IND",74,1354,3.4549964564138906,5.54182845040593,0.1411930815390046,0.058823529411764705,2.8591599011648428,0.10960757780784844,2.5414754677020825,0.12609457092819615,0.116793893129771,1.351832088224831,0,0,0.6403415154749199,0.022249690976514216,0.711490572749911,0.04158004158004158,0.02945736434108527,0.09180327868852459,0.1056338028169014,0.15333333333333332,0.1162280701754386,0.16521739130434782,0.03194888178913738,0.014035087719298246,0.018957345971563982,0.05,0.01652892561983471,3,0.01744186046511628
"Jeremy Lamb","IND",46,1291,3.819709702062643,6.730401529636711,0.19120458891013384,0.09090909090909091,3.632887189292543,0.1355206847360913,2.9063097514340344,0.1442125237191651,0.13925081433224756,0.9156810377718428,0.03815337657382678,0.017857142857142856,0.6867607783288822,0.024896265560165973,0.19076688286913393,0.011286681715575621,0.01972555746140652,0.10828025477707007,0.1557377049180328,0.16083916083916083,0.13930348258706468,0.16,0.028112449799196786,0.020080321285140562,0.02666666666666667,0.0058997050147492625,0.028846153846153848,8,0.03361344537815126
"Victor Oladipo","IND",23,651,3.2725920416511713,5.864884929472903,0,0,2.2271714922048997,0.08849557522123894,3.637713437268003,0.15857605177993528,0.12191358024691358,0.6706408345752608,0,0,0.5216095380029806,0.02046783625730994,0.14903129657228018,0.007633587786259542,0.014900662251655629,0.04697986577181208,0.09565217391304348,0.16,0.1518987341772152,0.18055555555555555,0.034482758620689655,0,0.020202020202020204,0.009478672985781991,0,2,0.011695906432748537
"JaKarr Sampson","IND",38,520,4.6565237436606735,7.386888273314866,0.8310249307479224,0.24324324324324326,3.693444136657433,0.1568627450980392,2.862419205909511,0.1409090909090909,0.14947368421052631,1.9337016574585635,0,0,1.1970534069981584,0.04436860068259386,0.7366482504604052,0.043010752688172046,0.04384133611691023,0.17592592592592593,0.1935483870967742,0.05555555555555555,0.14792899408284024,0.11764705882352941,0.0425531914893617,0.04580152671755725,0.04411764705882353,0.04285714285714286,0.043478260869565216,2,0.041666666666666664
"Edmond Sumner","IND",34,487,2.5717111770524235,3.9447731755424065,0,0,1.6765285996055226,0.06390977443609022,2.2682445759368837,0.11057692307692307,0.08438818565400844,1.1904761904761905,0,0,0.6944444444444444,0.02564102564102564,0.49603174603174605,0.026595744680851064,0.026030368763557483,0.11304347826086956,0.018867924528301886,0.044444444444444446,0.10843373493975904,0.11904761904761904,0.04040404040404041,0.026785714285714284,0,0.035211267605633804,0,3,0.043478260869565216
"Goga Bitadze","IND",54,471,5.284147557328016,8.059701492537313,0.6965174129353234,0.1891891891891892,3.681592039800995,0.13703703703703704,3.681592039800995,0.16666666666666666,0.15040650406504066,2.4975024975024973,0,0,1.5984015984015985,0.06015037593984962,0.8991008991008991,0.05027932960893855,0.056179775280898875,0.13793103448275862,0.10588235294117647,0.2,0.17682926829268292,0.13793103448275862,0.07920792079207921,0.06542056074766354,0.017241379310344827,0.050359712230215826,0.05,2,0.02702702702702703
"TJ Leaf","IND",28,222,7.43455497382199,10.0418410041841,0.41841004184100417,0.09523809523809523,5.439330543933054,0.18439716312056736,4.184100418410042,0.19607843137254902,0.18930041152263374,4.821802935010482,0.4192872117400419,0.14285714285714285,3.7735849056603774,0.1267605633802817,0.6289308176100629,0.037037037037037035,0.09417040358744394,0.2222222222222222,0.11428571428571428,0.16,0.21686746987951808,0.10526315789473684,0.15254237288135594,0.12727272727272726,0.07142857142857142,0.031746031746031744,0.05555555555555555,5,0.11904761904761904
"Alize Johnson","IND",18,118,9.430255402750491,12.5,1.171875,0.42857142857142855,5.46875,0.2641509433962264,5.859375,0.21428571428571427,0.23577235772357724,6.324110671936759,0,0,3.952569169960474,0.12987012987012986,2.3715415019762847,0.13333333333333333,0.13114754098360656,0.2916666666666667,0.17647058823529413,0.3333333333333333,0.2,0.3,0.0625,0.1875,0.15384615384615385,0.17647058823529413,0,1,0.09090909090909091
"Naz Mitrou-Long","IND",5,47,3.626943005181347,7.216494845360825,0,0,1.0309278350515463,0.034482758620689655,6.185567010309279,0.24,0.12962962962962962,0,0,0,0,0,0,0,0,0.0625,0,0,0.25,0,0,0,0,0,0,0,0
"Brian Bowen II","IND",6,31,5.511811023622047,9.67741935483871,0,0,3.225806451612903,0.10526315789473684,6.451612903225806,0.3076923076923077,0.1875,1.5384615384615385,0,0,1.5384615384615385,0.05263157894736842,0,0,0.03571428571428571,0.1,0.25,0,0.3076923076923077,0,0.125,0,0,0,0,1,0.16666666666666666
