"Name","TeamAbbreviation","GamesPlayed","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","DefTwoPtRebounds","DefTwoPtReboundPct","DefThreePtRebounds","DefThreePtReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","OffTwoPtRebounds","OffTwoPtReboundPct","OffThreePtRebounds","OffThreePtReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct","SelfOReb","SelfORebPct"
"Shai Gilgeous-Alexander","OKC",74,2593,4.171396140749149,7.410917361637604,0.7581501137225171,0.39215686274509803,2.9757391963608795,0.11586715867158671,3.6770280515542075,0.16595380667236956,0.13906497622820918,0.9441087613293051,0.05664652567975831,0.024193548387096774,0.6042296072507553,0.023564064801178203,0.28323262839879154,0.015432098765432098,0.02017167381974249,0.08736059479553904,0.09441233140655106,0.20469798657718122,0.1662921348314607,0.16487455197132617,0.023706896551724137,0.027972027972027972,0.015527950310559006,0.013123359580052493,0.023809523809523808,21,0.04208416833667335
"Chris Paul","OKC",74,2359,3.922996878251821,7.319113341698034,0.12547051442910917,0.057692307692307696,3.6804684232538687,0.1408,3.5131744040150563,0.16716417910447762,0.152549889135255,0.5592377796188898,0.020712510356255178,0.008849557522123894,0.3728251864125932,0.015477214101461736,0.16570008285004142,0.008620689655172414,0.012434241989478718,0.11949685534591195,0.13664596273291926,0.18275862068965518,0.17857142857142858,0.12669683257918551,0.007853403141361256,0.022494887525562373,0.0136986301369863,0.008333333333333333,0.009615384615384616,12,0.02696629213483146
"Dennis Schroder","OKC",69,2133,2.8049057460822167,5.159090909090909,0.06818181818181818,0.029411764705882353,2.5,0.09282700421940929,2.590909090909091,0.11515151515151516,0.10298850574712644,0.45392646391284613,0.04539264639128461,0.014492753623188406,0.24965955515206537,0.009830205540661306,0.15887426236949614,0.00880503144654088,0.009404388714733543,0.09282700421940929,0.08149779735682819,0.11284046692607004,0.11594202898550725,0.11255411255411256,0.017326732673267328,0.008968609865470852,0,0.004739336492890996,0.024691358024691357,4,0.008438818565400843
"Danilo Gallinari","OKC",66,1969,4.252126063031516,7.576138937830355,0.05033979360684621,0.024096385542168676,3.9768436949408508,0.16024340770791076,3.548955449282658,0.16244239631336405,0.16127292340884575,0.9694258016405667,0,0,0.5965697240865027,0.024072216649949848,0.37285607755406414,0.020161290322580645,0.022400919012062034,0.14138817480719795,0.16304347826086957,0.18777292576419213,0.1626865671641791,0.16161616161616163,0.04504504504504504,0.016786570743405275,0.008097165991902834,0.018518518518518517,0.02666666666666667,16,0.035634743875278395
"Steven Adams","OKC",67,1800,8.57846490627993,11.144578313253012,0.3833515881708653,0.22950819672131148,6.161007667031764,0.2338877338877339,4.600219058050383,0.20869565217391303,0.22241086587436332,6.015859994531036,0.21875854525567404,0.07692307692307693,4.0196882690730105,0.1529656607700312,1.7774131802023516,0.10220125786163523,0.1327489041953663,0.23163841807909605,0.25268817204301075,0.2076271186440678,0.20952380952380953,0.2057142857142857,0.2090032154340836,0.12195121951219512,0.13333333333333333,0.0984251968503937,0.1171875,32,0.19161676646706588
"Terrance Ferguson","OKC",58,1276,1.48350575834472,2.0606531881804044,0.038880248833592534,0.023809523809523808,1.088646967340591,0.038356164383561646,0.9331259720062208,0.046153846153846156,0.0416,0.9016072128577028,0,0,0.27440219521756176,0.011041009463722398,0.6272050176401411,0.031683168316831684,0.02019315188762072,0.03296703296703297,0.0410958904109589,0.04242424242424243,0.03768844221105527,0.07377049180327869,0.00909090909090909,0.007751937984496124,0.019230769230769232,0.03258145363408521,0.02830188679245283,2,0.014492753623188406
"Darius Bazley","OKC",65,1193,5.487556099551203,9.703613479496548,0.5278116118554608,0.2765957446808511,4.953308972797402,0.18100890207715134,4.222492894843686,0.17993079584775087,0.1805111821086262,1.2300123001230012,0.04100041000410004,0.014285714285714285,0.984009840098401,0.03636363636363636,0.2050020500205002,0.010395010395010396,0.025416301489921123,0.19066147859922178,0.17037037037037037,0.1836734693877551,0.18930957683741648,0.14728682170542637,0.04580152671755725,0.04780876494023904,0,0.014367816091954023,0,13,0.07738095238095238
"Nerlens Noel","OKC",65,1180,6.633186859175559,9.300377042312526,0.9216589861751152,0.38596491228070173,4.69208211143695,0.1723076923076923,3.686635944700461,0.16326530612244897,0.16820857863751051,3.971571906354515,0,0,2.591973244147157,0.09779179810725552,1.379598662207358,0.0746606334841629,0.08828996282527882,0.15018315018315018,0.18072289156626506,0.203125,0.141439205955335,0.22794117647058823,0.12669683257918551,0.0830188679245283,0.08108108108108109,0.07250755287009064,0.08108108108108109,3,0.037037037037037035
"Luguentz Dort","OKC",39,917,2.5620496397117694,3.6760788492274905,0.10655301012253596,0.0625,1.3851891315929674,0.057649667405764965,2.1843367075119873,0.08723404255319149,0.0727470141150923,1.4438502673796791,0.16042780748663102,0.06382978723404255,0.9625668449197861,0.03765690376569038,0.32085561497326204,0.01680672268907563,0.02874251497005988,0.0446927374301676,0.06285714285714286,0.07216494845360824,0.08488063660477453,0.0967741935483871,0.0481283422459893,0.0427807486631016,0.009615384615384616,0.014285714285714285,0.025974025974025976,4,0.02877697841726619
"Hamidou Diallo","OKC",48,914,4.470155140678412,6.561679790026247,0.5249343832020997,0.18867924528301888,3.3070866141732282,0.11954459203036052,2.729658792650919,0.12682926829268293,0.12273212379935966,2.3709167544783982,0.05268703898840885,0.017857142857142856,1.791359325605901,0.06126126126126126,0.5268703898840885,0.02976190476190476,0.04938271604938271,0.12244897959183673,0.0979381443298969,0.145985401459854,0.10793650793650794,0.18947368421052632,0.07407407407407407,0.06278026905829596,0.034482758620689655,0.022900763358778626,0.05405405405405406,10,0.07092198581560284
