"Name","TeamAbbreviation","GamesPlayed","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","DefTwoPtRebounds","DefTwoPtReboundPct","DefThreePtRebounds","DefThreePtReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","OffTwoPtRebounds","OffTwoPtReboundPct","OffThreePtRebounds","OffThreePtReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct","SelfOReb","SelfORebPct"
"DeMar DeRozan","SAS",68,2316,3.9156311997493995,6.907345575959933,0.6051752921535893,0.23015873015873015,3.33889816360601,0.12861736334405144,2.963272120200334,0.1459403905447071,0.13622011727559766,0.9195402298850575,0.06269592476489028,0.03125,0.7523510971786834,0.02586206896551724,0.1044932079414838,0.006188118811881188,0.018636363636363635,0.10526315789473684,0.13737373737373737,0.1568627450980392,0.14536340852130325,0.14857142857142858,0.044854881266490766,0.020146520146520148,0.017130620985010708,0.0064516129032258064,0.005319148936170213,14,0.03333333333333333
"LaMarcus Aldridge","SAS",53,1754,5.452775073028238,8.043417756749234,0.5009741163373226,0.2,3.9521291399944336,0.15384615384615385,3.5903145004174783,0.16996047430830039,0.1611177170035672,2.864293659621802,0,0,2.0300333704115685,0.06965648854961833,0.8342602892102335,0.04769475357710652,0.06141920095408467,0.17041800643086816,0.1483375959079284,0.14027149321266968,0.15857605177993528,0.2198581560283688,0.12406015037593984,0.056555269922879174,0.04580152671755725,0.044534412955465584,0.05925925925925926,18,0.047493403693931395
"Dejounte Murray","SAS",66,1687,5.4753395282344535,8.940774487471526,0.39863325740318906,0.15384615384615385,4.4419134396355355,0.17848970251716248,4.100227790432802,0.20055710306406685,0.1884422110552764,1.9810508182601205,0.02871088142405972,0.012195121951219513,0.8900373241458512,0.029411764705882353,1.0623026126902095,0.06571936056838366,0.042053184910327765,0.10723860589812333,0.20180722891566266,0.28994082840236685,0.20855614973262032,0.17197452229299362,0.04363636363636364,0.036855036855036855,0.010752688172043012,0.06756756756756757,0.058823529411764705,8,0.02631578947368421
"Derrick White","SAS",68,1677,3.1635693006100154,5.3439454235361,0.28425241614553726,0.10638297872340426,2.5298465036952815,0.10033821871476889,2.5298465036952815,0.11588541666666667,0.10755287009063444,0.9912206173888417,0.02832058906825262,0.012195121951219513,0.7080147267063155,0.02617801047120419,0.2548853016142736,0.013996889580093312,0.02127659574468085,0.10416666666666667,0.088,0.11931818181818182,0.12420382165605096,0.07857142857142857,0.023972602739726026,0.03234501347708895,0.02054794520547945,0.01818181818181818,0,7,0.027559055118110236
"Bryn Forbes","SAS",63,1579,1.948051948051948,3.530504800247755,0.09290802105915144,0.03333333333333333,1.734283059770827,0.06466512702078522,1.7033137194177763,0.08744038155802862,0.07424749163879599,0.3704847175054029,0,0,0.21611608521148504,0.007135575942915392,0.15436863229391787,0.009140767824497258,0.007853403141361256,0.06289308176100629,0.04735376044568245,0.10052910052910052,0.09181636726546906,0.0703125,0.012448132780082987,0.00804289544235925,0.0027247956403269754,0.00909090909090909,0.009345794392523364,3,0.00974025974025974
"Patty Mills","SAS",66,1485,1.7189240808530957,2.73972602739726,0,0,1.1787193373685887,0.04774193548387097,1.5610066900286717,0.07132459970887918,0.058823529411764705,0.6997455470737913,0,0,0.2862595419847328,0.010477299185098952,0.41348600508905853,0.023214285714285715,0.015503875968992248,0.04416403785488959,0.049019607843137254,0.05263157894736842,0.0673758865248227,0.08943089430894309,0.011583011583011582,0.002932551319648094,0.019305019305019305,0.024608501118568233,0.017699115044247787,7,0.022222222222222223
"Rudy Gay","SAS",67,1461,5.866148112137417,9.788617886178862,0.8780487804878049,0.3333333333333333,4.780487804878049,0.18894601542416453,4.130081300813008,0.1933028919330289,0.19094076655052264,1.9702842377260983,0.09689922480620156,0.046153846153846156,1.3565891472868217,0.04794520547945205,0.5167958656330749,0.029411764705882353,0.04084507042253521,0.19875776397515527,0.21333333333333335,0.12179487179487179,0.20566037735849058,0.14173228346456693,0.04887218045112782,0.057057057057057055,0.036101083032490974,0.02107728337236534,0.05982905982905983,18,0.05921052631578947
"Trey Lyles","SAS",63,1271,6.894576012223071,11.072928598701795,0.7636502481863306,0.32786885245901637,5.345551737304315,0.21052631578947367,4.96372661321115,0.24344569288389514,0.22518765638031693,2.713030187237295,0,0,1.6048910966755827,0.055776892430278883,1.108139090561712,0.0645879732739421,0.05906821963394343,0.1484375,0.22180451127819548,0.3006993006993007,0.24647887323943662,0.23148148148148148,0.07772020725388601,0.03436426116838488,0.06319702602230483,0.06111111111111111,0.07865168539325842,7,0.041176470588235294
"Jakob Poeltl","SAS",66,1171,7.604948286351653,9.890555330360762,0.7296311309282529,0.28125,5.593838670449939,0.20972644376899696,3.56708552898257,0.17635270541082165,0.19533275713050993,5.316558441558442,0.12175324675324675,0.046153846153846156,3.8555194805194803,0.13121546961325967,1.3392857142857142,0.08229426433915212,0.11377777777777778,0.19387755102040816,0.23107569721115537,0.20353982300884957,0.17866004962779156,0.16666666666666666,0.18518518518518517,0.0967741935483871,0.1222707423580786,0.08280254777070063,0.08045977011494253,8,0.10666666666666667
"Lonnie Walker IV","SAS",61,988,3.3910709929251035,5.6640625,0.244140625,0.09615384615384616,2.5390625,0.10297029702970296,2.880859375,0.12633832976445397,0.11419753086419752,1.121404193076548,0.04875670404680644,0.017857142857142856,0.6338371526084836,0.021996615905245348,0.43881033642125794,0.02654867256637168,0.023655913978494623,0.07456140350877193,0.10416666666666667,0.17647058823529413,0.1276595744680851,0.12087912087912088,0.015789473684210527,0.0228310502283105,0.027472527472527472,0.023255813953488372,0.037037037037037035,1,0.005555555555555556
"Marco Belinelli","SAS",57,883,2.6491838373026493,4.914529914529915,0.2670940170940171,0.08928571428571429,1.8696581196581197,0.0779510022271715,2.7777777777777777,0.12560386473429952,0.10081112398609501,0.3753351206434316,0,0,0.21447721179624665,0.0075046904315197,0.16085790884718498,0.009259259259259259,0.008168028004667444,0.07027027027027027,0.0847457627118644,0.08045977011494253,0.125,0.12790697674418605,0.013333333333333334,0.004878048780487805,0.0056179775280898875,0.0038461538461538464,0.03125,1,0.005555555555555556
"Keldon Johnson","SAS",17,301,4.311649016641453,7.067669172932331,0.7518796992481203,0.2631578947368421,2.1052631578947367,0.09333333333333334,4.2105263157894735,0.19310344827586207,0.1423728813559322,1.5220700152207,0,0,1.36986301369863,0.0481283422459893,0.15220700152207,0.012195121951219513,0.03717472118959108,0.08974358974358974,0.1,0.09090909090909091,0.19642857142857142,0.18181818181818182,0.09615384615384616,0.028169014084507043,0.03125,0,0.058823529411764705,4,0.13793103448275862
"Drew Eubanks","SAS",22,272,7.160909856781803,9.579831932773109,1.0084033613445378,0.2727272727272727,3.361344537815126,0.16129032258064516,5.2100840336134455,0.23484848484848486,0.19921875,4.72972972972973,0.16891891891891891,0.07142857142857142,3.0405405405405403,0.10344827586206896,1.5202702702702702,0.10588235294117647,0.10424710424710425,0.23214285714285715,0.1111111111111111,0.08695652173913043,0.28,0.09375,0.1836734693877551,0.07692307692307693,0.06666666666666667,0.08333333333333333,0.23076923076923078,3,0.1875
"DeMarre Carroll","SAS",15,135,5.486725663716814,8.450704225352112,0.704225352112676,0.2,3.5211267605633805,0.14705882352941177,4.225352112676056,0.19047619047619047,0.16793893129770993,2.491103202846975,0,0,1.7793594306049823,0.0625,0.7117437722419929,0.044444444444444446,0.056,0.07407407407407407,0.17391304347826086,0.2222222222222222,0.21568627450980393,0.08333333333333333,0.07407407407407407,0.07407407407407407,0.038461538461538464,0.05,0,1,0.05555555555555555
"Chimezie Metu","SAS",18,105,7.44920993227991,9.63302752293578,1.834862385321101,0.6666666666666666,3.669724770642202,0.1702127659574468,4.128440366972477,0.15517241379310345,0.1619047619047619,5.333333333333333,0,0,4,0.12,1.3333333333333333,0.10344827586206896,0.11538461538461539,0.2,0.15789473684210525,0.125,0.17391304347826086,0.08333333333333333,0.17391304347826086,0.10344827586206896,0.08695652173913043,0.043478260869565216,0.3333333333333333,0,0
