"Name","TeamAbbreviation","GamesPlayed","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","DefTwoPtRebounds","DefTwoPtReboundPct","DefThreePtRebounds","DefThreePtReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","OffTwoPtRebounds","OffTwoPtReboundPct","OffThreePtRebounds","OffThreePtReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct","SelfOReb","SelfORebPct"
"Donovan Mitchell","UTA",74,2545,3.126206098031648,5.175743530320587,0.05793742757821553,0.024793388429752067,2.394747006566242,0.08781869688385269,2.72305909617613,0.13428571428571429,0.10763606823720552,1.0798303123794832,0,0,0.7905900501349787,0.03489361702127659,0.28924026224450444,0.013901760889712697,0.024844720496894408,0.07142857142857142,0.07980456026058631,0.125,0.12788018433179724,0.16483516483516483,0.02304147465437788,0.044722719141323794,0.03296703296703297,0.015189873417721518,0.010380622837370242,33,0.046218487394957986
"Rudy Gobert","UTA",73,2523,9.446126794959461,14.087534193044158,0.6838608831574834,0.3804347826086957,7.8937084798749515,0.27041499330655955,5.509964830011723,0.27246376811594203,0.2712534598655595,4.805626098847431,0.07814026176987693,0.02857142857142857,2.8911896854854464,0.1295971978984238,1.836296151592108,0.0888468809073724,0.11,0.20977596741344195,0.2884012539184953,0.32054794520547947,0.29073856975381007,0.18681318681318682,0.15034168564920272,0.13644859813084112,0.05357142857142857,0.08031088082901554,0.11188811188811189,22,0.17054263565891473
"Joe Ingles","UTA",77,2302,3.1484257871064467,5.719794344473008,0.0856898029134533,0.0392156862745098,3.1919451585261354,0.11045218680504076,2.442159383033419,0.12751677852348994,0.11725367810967455,0.5781584582441114,0.06423982869379015,0.023622047244094488,0.19271948608137046,0.008604206500956023,0.32119914346895073,0.014925373134328358,0.011701608971233545,0.1,0.12099644128113879,0.10703363914373089,0.12397820163487738,0.14375,0.004694835680751174,0.014492753623188406,0,0.016853932584269662,0.010238907849829351,6,0.0196078431372549
"Royce O'Neale","UTA",76,2218,4.667703934207601,8.635961027457927,0.4650132860938884,0.26582278481012656,4.4951284322409215,0.15484363081617086,3.675819309123118,0.17984832069339113,0.16517457475380484,0.6693440428380187,0,0,0.2900490852298081,0.013052208835341365,0.37929495760821064,0.017671517671517672,0.015321756894790603,0.14977973568281938,0.1425959780621572,0.18387096774193548,0.17754569190600522,0.1910828025477707,0.015306122448979591,0.015590200445434299,0,0.020804438280166437,0.008298755186721992,3,0.015463917525773196
"Bojan Bogdanovic","UTA",63,2083,3.0499293452661327,5.198487712665407,0.44896030245746693,0.2375,2.504725897920605,0.08596918085969181,2.2448015122873346,0.1100811123986095,0.0958969465648855,0.9154929577464789,0.023474178403755867,0.008695652173913044,0.539906103286385,0.023784901758014478,0.352112676056338,0.01744186046511628,0.02079912424740011,0.057971014492753624,0.09923664122137404,0.1016949152542373,0.1134453781512605,0.09395973154362416,0.016172506738544475,0.035164835164835165,0.0070921985815602835,0.014195583596214511,0.02654867256637168,15,0.033936651583710405
"Mike Conley","UTA",50,1454,2.636916835699797,4.136995591726008,0.1017293997965412,0.046153846153846156,2.373685995252628,0.08588957055214724,1.6615801966768395,0.08333333333333333,0.08481824661439771,1.1459386585776878,0,0,0.5729693292888439,0.02364394993045897,0.5729693292888439,0.027375201288244767,0.025373134328358207,0.08239700374531835,0.07297297297297298,0.11797752808988764,0.07643312101910828,0.1111111111111111,0.026119402985074626,0.02318840579710145,0.018867924528301886,0.024608501118568233,0.034482758620689655,13,0.04024767801857585
"Jordan Clarkson","UTA",47,1184,2.819548872180451,4.396984924623116,0.12562814070351758,0.05660377358490566,2.219430485762144,0.07946026986506746,2.0519262981574538,0.10515021459227468,0.09002647837599294,1.25,0,0,0.875,0.03932584269662921,0.375,0.01607142857142857,0.027422303473491772,0.0881057268722467,0.07326007326007326,0.07784431137724551,0.09138381201044386,0.1686746987951807,0.06,0.032490974729241874,0,0.019851116625310174,0.006369426751592357,13,0.04513888888888889
"Georges Niang","UTA",71,1011,3.404669260700389,5.902439024390244,0.4878048780487805,0.16666666666666666,3.024390243902439,0.1103202846975089,2.3902439024390243,0.12760416666666666,0.11733615221987315,0.9214354995150339,0.04849660523763336,0.02127659574468085,0.2909796314258002,0.012474012474012475,0.5819592628516004,0.024896265560165973,0.018691588785046728,0.09895833333333333,0.11403508771929824,0.11971830985915492,0.12658227848101267,0.1323529411764706,0.017543859649122806,0.01195219123505976,0,0.01749271137026239,0.04316546762589928,4,0.021739130434782608
"Emmanuel Mudiay","UTA",57,883,3.5986913849509268,6.151333696243876,0.05443658138268917,0.022222222222222223,3.4295046271094174,0.11270125223613596,2.667392487751769,0.15123456790123457,0.12684031710079274,1.0376843255051884,0,0,0.6553795740032768,0.026726057906458798,0.3823047515019115,0.018421052631578946,0.022919179734620022,0.09595959595959595,0.09009009009009009,0.17266187050359713,0.1524822695035461,0.14285714285714285,0.02976190476190476,0.0273972602739726,0.016129032258064516,0.02527075812274368,0,4,0.025157232704402517
"Tony Bradley","UTA",63,707,10.003449465332874,11.671270718232044,1.6574585635359116,0.4897959183673469,5.801104972375691,0.21212121212121213,4.212707182320442,0.22344322344322345,0.21674140508221226,8.33907649896623,0.13783597518952448,0.07142857142857142,5.5134390075809785,0.23880597014925373,2.687801516195727,0.11016949152542373,0.17271407837445574,0.25,0.1896551724137931,0.18571428571428572,0.2290748898678414,0.1956521739130435,0.2975206611570248,0.21142857142857144,0.1794871794871795,0.10384615384615385,0.1276595744680851,13,0.2826086956521739
