"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Devonte' Graham","CHA",63,2211,4396,26.046405823475887,3.4121929026387625,8.598726114649681,0.3968253968253968,4.9590536851683344,13.307552320291174,0.37264957264957266,0.3745704467353952,4.344858962693357,2.092811646951774,4.731574158325751,8.121019108280255,6.75614194722475,0.30666666666666664,0.3150684931506849,0.5458715596330275,0.6074766355140186,0.49966724137931035,0.4953271028037383,0.5376647834274952,0.18198362147406733,0.5686988171064604,0.06613756613756613,0.1364877161055505,0.010256410256410256,24.8499399759904
"Terry Rozier","CHA",63,2164,4295,26.40279394644936,5.261932479627474,12.060535506402793,0.4362934362934363,4.0046565774155995,9.848661233993015,0.4066193853427896,0.4066193853427896,3.8649592549476135,3.352735739231665,7.171129220023283,9.708963911525029,2.3050058207217696,0.3185840707964602,0.3333333333333333,0.8081395348837209,0.4495217853347503,0.5084945154419596,0.5143464399574921,0.5489614243323442,0.46565774155995343,1.0244470314318976,0.08494208494208494,0.046565774155995346,0.004728132387706856,23.535436296599755
"Miles Bridges","CHA",65,1995,3945,21.368821292775664,5.576679340937896,11.482889733840304,0.4856512141280353,2.5095057034220534,7.604562737642586,0.33,0.3344594594594595,2.6869455006337137,5.728770595690748,5.424588086185044,7.072243346007604,0.45627376425855515,0.5136363636363637,0.5794871794871795,0.9393939393939394,0.398406374501992,0.5268132843791722,0.4893758300132802,0.5197287299630087,1.267427122940431,1.1153358681875791,0.09713024282560706,0,0,20.09771263602043
"P.J. Washington","CHA",58,1759,3502,20.27412906910337,5.197030268418047,10.251284980011421,0.5069637883008357,2.455739577384352,6.567675613934894,0.3739130434782609,0.3739130434782609,2.5128498001142203,8.166761850371216,2.227298686464877,7.110222729868647,0.2569960022844089,0.7857142857142857,0.8461538461538461,0.9651162790697675,0.3904923599320883,0.5241021222410865,0.5280135823429541,0.5478395061728395,0.7424328954882924,1.1136493432324386,0.10863509749303621,0.028555111364934323,0.004347826086956522,18.75
"Cody Zeller","CHA",58,1341,2672,24.026946107784433,8.720059880239521,15.119760479041917,0.5767326732673267,0.6736526946107785,2.80688622754491,0.24,0.24,4.565868263473054,12.275449101796408,5.164670658682635,1.908682634730539,0.1122754491017964,0.703862660944206,0.8677248677248677,0.9444444444444444,0.15657620041753653,0.5421827766179541,0.5427974947807933,0.5773381294964028,3.2934131736526946,1.6467065868263473,0.10891089108910891,0,0,20.522022838499186
"Malik Monk","CHA",55,1169,2355,23.94904458598726,6.53927813163482,12.059447983014863,0.5422535211267606,2.462845010615711,8.662420382165605,0.28431372549019607,0.2914572864321608,3.4819532908704884,6.8789808917197455,6.199575371549894,6.369426751592357,1.019108280254777,0.525974025974026,0.5510204081632653,0.8620689655172413,0.4180327868852459,0.5183329192546584,0.49385245901639346,0.5310734463276836,0.5944798301486199,1.1889596602972399,0.09859154929577464,0.04246284501061571,0.004901960784313725,22.6781051846326
"Bismack Biyombo","CHA",53,1029,2003,19.62056914628058,7.538691962056915,13.879181228157764,0.5431654676258992,0,0,0,0,4.54318522216675,12.581128307538693,2.4962556165751373,0,0,0.8344370860927153,0.9333333333333333,0,0,0.5305856115107914,0.5431654676258992,0.5646551724137931,1.5976035946080878,1.6475287069395905,0.11870503597122302,0,0,17.190226876090748
"Cody Martin","CHA",48,903,1796,13.251670378619155,3.953229398663697,7.2383073496659245,0.5461538461538461,1.0022271714922049,4.287305122494432,0.23376623376623376,0.23376623376623376,2.338530066815145,4.23162583518931,3.6748329621380846,2.8396436525612474,0.16703786191536749,0.5352112676056338,0.5757575757575758,0.9444444444444444,0.3719806763285024,0.5515613526570048,0.47342995169082125,0.5063829787234042,0.5567928730512249,0.5567928730512249,0.07692307692307693,0,0,13.530552861299709
"Marvin Williams","CHA",41,808,1630,16.87116564417178,3.067484662576687,5.705521472392638,0.5376344086021505,2.6993865030674846,7.177914110429448,0.37606837606837606,0.3793103448275862,2.638036809815951,3.9263803680981595,2.208588957055215,7.914110429447852,0.18404907975460122,0.64,0.7272727272727273,0.9772727272727273,0.5571428571428572,0.5111045673076923,0.5523809523809524,0.5952380952380952,0.7361963190184049,0.36809815950920244,0.06451612903225806,0.06134969325153374,0.008547008547008548,13.920609026644915
"Dwayne Bacon","CHA",39,687,1373,16.314639475600874,4.806991988346686,12.891478514202475,0.3728813559322034,1.3838310269482885,4.879825200291333,0.2835820895522388,0.2835820895522388,2.5491624180626364,4.515659140568099,5.098324836125273,3.7144938091769846,0.43699927166788055,0.4696969696969697,0.49206349206349204,0.8947368421052632,0.27459016393442626,0.5001611111111112,0.38729508196721313,0.42105263157894735,0.43699927166788055,1.3838310269482885,0.10734463276836158,0.07283321194464676,0.014925373134328358,19.410634208840488
