"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Collin Sexton","CLE",65,2143,4405,30.624290578887628,9.443813847900113,18.864926220204314,0.5006016847172082,2.2020431328036323,5.788876276958002,0.3803921568627451,0.3803921568627451,5.130533484676504,5.5391600454029515,13.348467650397275,4.9035187287173665,1.7026106696935301,0.2932692307692308,0.30886075949367087,0.7422680412371134,0.23480662983425415,0.5188674815498155,0.5170349907918969,0.5591174021648626,0.9534619750283768,2.656072644721907,0.1407942238267148,0.0681044267877412,0.011764705882352941,26.940639269406393
"Cedi Osman","CLE",65,1910,3920,18.316326530612244,3.6479591836734695,7.346938775510204,0.4965277777777778,3.1377551020408165,8.188775510204081,0.38317757009345793,0.38557993730407525,1.6071428571428572,3.979591836734694,3.316326530612245,8.418367346938776,0.9948979591836735,0.5454545454545454,0.5652173913043478,0.8943089430894309,0.5270935960591133,0.5486730198019802,0.5377668308702791,0.5540123456790124,0.25510204081632654,0.8418367346938775,0.11458333333333333,0.07653061224489796,0.009345794392523364,16.565792423223492
"Darius Garland","CLE",59,1824,3734,19.496518478843065,4.686663095875736,10.79271558650241,0.43424317617866004,2.811997857525442,7.927155865024103,0.3547297297297297,0.3559322033898305,1.6871987145152652,2.6245313336904124,6.748794858061061,6.186395286555972,2.2495982860203534,0.28,0.2832369942196532,0.7333333333333333,0.4234620886981402,0.4984048710601719,0.47567954220314734,0.49590723055934516,0.10712372790573112,0.9105516871987145,0.08436724565756824,0.10712372790573112,0.013513513513513514,20.671046457062413
"Kevin Love","CLE",56,1780,3655,27.004103967168263,4.952120383036935,9.220246238030096,0.5370919881305638,3.9945280437756496,10.6703146374829,0.37435897435897436,0.37435897435897436,5.116279069767442,5.800273597811217,4.1039671682626535,11.162790697674419,0.8207934336525308,0.585635359116022,0.6235294117647059,0.9315068493150684,0.5364511691884457,0.5039545454545454,0.5502063273727648,0.5947109471094711,0.6019151846785226,0.6019151846785226,0.06528189910979229,0.19151846785225718,0.017948717948717947,22.92318805682639
"Tristan Thompson","CLE",57,1722,3482,19.64388282596209,8.012636415852958,15.479609419873636,0.5176252319109462,0.2584721424468696,0.6605399195864445,0.391304347826087,0.391304347826087,2.843193566915566,9.592188397472716,6.4330844342332,0.5169442848937392,0.2584721424468696,0.5985663082437276,0.7389380530973452,0.6666666666666666,0.04092526690391459,0.5183536541889483,0.5204626334519573,0.5377358490566038,3.0442274554853532,1.8380241240666284,0.11873840445269017,0.02871912693854107,0.043478260869565216,18.428927680798004
"Larry Nance Jr.","CLE",56,1472,2986,18.888144675150702,5.793703951774949,9.109176155391829,0.6360294117647058,1.8754186202277294,5.324849296718018,0.3522012578616352,0.35668789808917195,1.6744809109176155,7.09979906229069,4.48760884125921,5.525787006028131,0.10046885465505694,0.6127167630057804,0.7794117647058824,0.9821428571428571,0.3689095127610209,0.5487600233100233,0.5962877030162413,0.6051502145922747,2.478231748158071,0.43536503683858,0.04779411764705882,0.06697923643670463,0.012578616352201259,15.434272300469484
"Kevin Porter Jr.","CLE",50,1162,2356,21.137521222410864,5.645161290322581,11.162988115449915,0.5057034220532319,2.2495755517826823,6.706281833616298,0.33544303797468356,0.3375796178343949,3.098471986417657,5.00848896434635,6.281833616298812,5.093378607809847,1.6553480475382003,0.44360902255639095,0.4609375,0.7547169811320755,0.3752969121140142,0.5316936904761905,0.504750593824228,0.535483870967742,0.4244482173174873,1.230899830220713,0.11026615969581749,0.1273344651952462,0.0189873417721519,20.797614610510625
"Matthew Dellavedova","CLE",57,821,1678,10.548271752085816,2.4433849821215734,5.00595947556615,0.4880952380952381,1.2514898688915375,5.423122765196663,0.23076923076923078,0.23076923076923078,1.9070321811680573,1.5494636471990464,3.3373063170441,3.3969010727056017,0.3575685339690107,0.3170731707317073,0.35135135135135137,0.9047619047619048,0.52,0.5091368571428572,0.4142857142857143,0.4609375,0.4767580452920143,0.29797377830750893,0.05952380952380952,0.11918951132300358,0.02197802197802198,13.28374070138151
"Jordan Clarkson","CLE",29,666,1342,31.52011922503726,6.333830104321907,12.444113263785395,0.5089820359281437,4.396423248882265,11.847988077496273,0.3710691823899371,0.3710691823899371,5.663189269746646,3.7257824143070044,8.941877794336811,10.283159463487332,2.9061102831594634,0.29411764705882354,0.3125,0.7796610169491526,0.48773006134969327,0.5154490797546012,0.5322085889570553,0.584958217270195,0.7451564828614009,1.5648286140089418,0.12574850299401197,0.07451564828614009,0.006289308176100629,25.867714472822527
"Alfonzo McKinnie","CLE",40,593,1218,14.942528735632184,4.844006568144499,8.70279146141215,0.5566037735849056,1.1494252873563218,5.336617405582923,0.2153846153846154,0.2153846153846154,1.80623973727422,6.568144499178982,3.1198686371100166,3.4482758620689653,0,0.6779661016949152,0.8333333333333334,1,0.38011695906432746,0.5547751461988304,0.4678362573099415,0.4918918918918919,1.80623973727422,1.1494252873563218,0.1320754716981132,0,0,15.20172910662824
"John Henson","CLE",29,412,846,17.13947990543735,6.501182033096927,10.520094562647754,0.6179775280898876,0.7092198581560284,3.6643026004728134,0.1935483870967742,0.2,2.0094562647754137,10.401891252955084,2.600472813238771,2.127659574468085,0,0.8,0.9777777777777777,1,0.25833333333333336,0.529333193277311,0.5333333333333333,0.5370370370370371,2.3640661938534278,0.8274231678486997,0.07865168539325842,0.2364066193853428,0.06451612903225806,16.31578947368421
"Dante Exum","CLE",24,402,821,16.443361753958587,4.019488428745432,7.1863580998781975,0.559322033898305,1.5834348355663825,4.5066991473812426,0.35135135135135137,0.3611111111111111,3.6540803897685747,2.192448233861145,5.84652862362972,3.6540803897685747,1.0962241169305724,0.2727272727272727,0.2903225806451613,0.7692307692307693,0.3854166666666667,0.560387894736842,0.546875,0.5869565217391305,0.48721071863581,0.730816077953715,0.1016949152542373,0,0,14.545454545454547
"Brandon Knight","CLE",16,241,501,15.768463073852296,1.7964071856287425,4.391217564870259,0.4090909090909091,3.7924151696606785,12.774451097804391,0.296875,0.296875,0.7984031936127745,0.3992015968063872,3.193612774451098,6.586826347305389,4.790419161676646,0.1111111111111111,0.125,0.5789473684210527,0.7441860465116279,0.5084627906976744,0.436046511627907,0.42934782608695654,0.3992015968063872,0.5988023952095808,0.13636363636363635,0,0,19.389587073608617
"Andre Drummond","CLE",8,225,471,29.723991507431,11.464968152866241,19.32059447983015,0.5934065934065934,0.8492569002123143,2.9723991507430996,0.2857142857142857,0.2857142857142857,4.246284501061571,14.012738853503185,8.9171974522293,1.910828025477707,0.6369426751592356,0.6111111111111112,0.75,0.75,0.13333333333333333,0.589032380952381,0.5714285714285714,0.5785123966942148,4.246284501061571,2.335456475583864,0.12087912087912088,0,0,27.932960893854748
"Ante Zizic","CLE",22,221,456,21.05263157894737,8.991228070175438,15.789473684210526,0.5694444444444444,0,0,0,0,3.0701754385964914,13.596491228070175,4.385964912280702,0,0,0.7560975609756098,0.8857142857142857,0,0,0.5343597222222223,0.5694444444444444,0.6075949367088608,2.6315789473684212,1.0964912280701755,0.06944444444444445,0,0,17.416829745596868
"Dean Wade","CLE",12,71,156,12.820512820512821,4.487179487179487,5.769230769230769,0.7777777777777778,1.2820512820512822,2.5641025641025643,0.5,0.5,0,6.410256410256411,2.5641025641025643,3.8461538461538463,0,0.7142857142857143,1,1,0.3076923076923077,0.6172153846153846,0.7692307692307693,0.7692307692307693,2.5641025641025643,0,0,0,0,9.248554913294798
"Tyler Cook","CLE",11,35,74,25.675675675675677,9.45945945945946,13.513513513513514,0.7,0,0,0,0,6.756756756756757,10.81081081081081,8.108108108108109,0,0,0.5714285714285714,0.6666666666666666,0,0,0.5888,0.7,0.7307692307692307,2.7027027027027026,0,0,0,0,17.073170731707318
"Matt Mooney","CLE",4,19,38,5.2631578947368425,2.6315789473684212,5.2631578947368425,0.5,0,5.2631578947368425,0,0,0,5.2631578947368425,0,0,0,1,1,0,0.5,0.4974125,0.25,0.25,0,0,0,0,0,8.333333333333334
"Malik Newman","CLE",1,4,7,28.571428571428573,0,14.285714285714286,0,0,14.285714285714286,0,0,28.571428571428573,0,0,0,0,0,0,0,0.5,0.4231,0,0.3333333333333333,0,0,0,0,0,57.14285714285714
"Marques Bolden","CLE",1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J.P. Macura","CLE",1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
