"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Eric Paschall","GSW",60,1654,3427,24.42369419317187,8.19959147942807,14.911000875401225,0.5499021526418787,1.0796615115261161,3.7642252699153778,0.2868217054263566,0.29133858267716534,4.78552669973738,9.337613072658302,7.061569886197841,3.151444412022177,0.08754012255617158,0.5693950177935944,0.6130268199233716,0.972972972972973,0.2015625,0.5022986677115987,0.52578125,0.5740740740740741,1.1672016340822877,1.517362124306974,0.10176125244618395,0.058360081704114386,0.015503875968992248,21.40998959417274
"Glenn Robinson III","GSW",48,1516,3146,19.67577876668786,5.594405594405594,10.712015257469803,0.5222551928783383,2.161474888747616,5.40368722186904,0.4,0.40236686390532544,2.002542911633821,8.645899554990464,2.542911633820725,5.912269548633185,0.5721551176096631,0.7727272727272727,0.8292682926829268,0.9117647058823529,0.33530571992110453,0.5094108695652174,0.5483234714003945,0.5698324022346368,0.7628734901462174,1.048951048951049,0.09792284866468842,0.06357279084551812,0.011764705882352941,16.652482269503547
"Damion Lee","GSW",49,1422,2987,20.790090391697355,4.285236022765316,9.106126548376297,0.47058823529411764,2.8456645463675927,8.001339136257114,0.35564853556485354,0.35714285714285715,3.682624707063944,6.561767659859391,2.008704385671242,8.13525276196853,0.4017408771342484,0.765625,0.8032786885245902,0.9529411764705882,0.46771037181996084,0.5021416502946955,0.5,0.5443262411347518,0.4017408771342484,0.6360897221292267,0.06985294117647059,0.06695681285570806,0.008368200836820083,18.96707943219571
"Alec Burks","GSW",48,1390,2884,26.803051317614425,5.547850208044383,13.072122052704577,0.4244031830238727,2.912621359223301,7.766990291262136,0.375,0.38009049773755654,6.969486823855756,5.270457697642164,5.825242718446602,6.345353675450763,2.39251040221914,0.475,0.48717948717948717,0.7261904761904762,0.37271214642262895,0.4917117252931323,0.47587354409317806,0.5523672883787661,0.27739251040221913,1.0748959778085991,0.08222811671087533,0.06934812760055478,0.008928571428571428,23.909681410454688
"Jordan Poole","GSW",57,1274,2678,18.78267363704257,3.4727408513816282,8.849887976101568,0.3924050632911392,2.7632561613144135,9.89544436146378,0.2792452830188679,0.2824427480916031,3.5474234503360718,3.2113517550410755,3.7341299477221805,7.057505601194921,1.2322628827483197,0.46236559139784944,0.46236559139784944,0.8513513513513513,0.5278884462151394,0.4880984939759036,0.4063745019920319,0.4532967032967033,0,1.0082150858849888,0.11392405063291139,0.18670649738610903,0.018867924528301886,20.78444518940664
"Draymond Green","GSW",43,1222,2573,13.40847260007773,3.3812670034978622,7.267780800621842,0.46524064171123,1.3991449669646328,5.013602798289934,0.27906976744186046,0.27906976744186046,2.4485036921881074,4.897007384376215,1.8655266226195102,4.1974349008938985,0,0.7241379310344828,0.7411764705882353,1,0.40822784810126583,0.5066053968253968,0.4462025316455696,0.4886685552407932,0.1554605518849592,0.46638165565487755,0.06417112299465241,0.0388651379712398,0.007751937984496124,15.930766513599435
"Marquese Chriss","GSW",59,1196,2484,22.061191626409016,8.132045088566828,13.92914653784219,0.5838150289017341,0.322061191626409,1.570048309178744,0.20512820512820512,0.21052631578947367,4.830917874396135,12.077294685990339,4.186795491143317,0.966183574879227,0,0.7425742574257426,0.872093023255814,1,0.1012987012987013,0.5552723958333333,0.5558441558441558,0.5982532751091703,2.4154589371980677,0.8856682769726248,0.06358381502890173,0.040257648953301126,0.02564102564102564,19.078242229367632
"D'Angelo Russell","GSW",33,1060,2240,34.776785714285715,6.830357142857143,14.017857142857142,0.4872611464968153,5.357142857142857,14.330357142857142,0.37383177570093457,0.375,5.044642857142857,3.75,9.910714285714286,9.776785714285714,6.294642857142857,0.27450980392156865,0.2781456953642384,0.6083333333333333,0.5055118110236221,0.4836803627760252,0.5244094488188976,0.5542082738944365,0.17857142857142858,0.49107142857142855,0.03503184713375796,0.13392857142857142,0.009345794392523364,32.10420841683367
"Ky Bowman","GSW",45,1015,2101,15.944788196097097,4.8072346501665875,10.185625892432174,0.4719626168224299,1.5706806282722514,5.092812946216087,0.308411214953271,0.3173076923076923,1.618277010947168,4.283674440742503,5.330794859590671,3.426939552594003,1.285102332222751,0.44554455445544555,0.45454545454545453,0.7272727272727273,0.3333333333333333,0.4968272012578616,0.4688473520249221,0.49556213017751477,0.19038553069966682,0.7615421227986673,0.07476635514018691,0.047596382674916705,0.009345794392523364,17.398720682302773
"Willie Cauley-Stein","GSW",41,941,1922,16.8054110301769,7.492195629552549,13.371488033298647,0.5603112840466926,0,0,0,0,1.8210197710718001,11.446409989594173,3.5379812695109263,0,0,0.7638888888888888,0.8527131782945736,0,0,0.5276817120622569,0.5603112840466926,0.5706713780918727,1.5608740894901145,0.8324661810613944,0.0622568093385214,0,0,14.915572232645403
"Omari Spellman","GSW",49,886,1852,19.978401727861772,4.535637149028077,9.989200863930886,0.4540540540540541,2.321814254859611,5.939524838012959,0.39090909090909093,0.39090909090909093,3.941684665226782,5.50755939524838,3.5637149028077753,6.9654427645788335,0,0.6071428571428571,0.7391304347826086,1,0.3728813559322034,0.5127764505119454,0.5033898305084745,0.5522388059701493,1.6198704103671706,0.91792656587473,0.0918918918918919,0,0,18.418560606060606
"Jacob Evans","GSW",27,414,865,14.797687861271676,3.699421965317919,10.982658959537572,0.3368421052631579,1.5028901734104045,4.393063583815029,0.34210526315789475,0.34210526315789475,2.8901734104046244,4.624277456647399,2.7745664739884393,4.161849710982659,0.3468208092485549,0.625,0.6451612903225806,0.9230769230769231,0.2857142857142857,0.4760206766917293,0.38721804511278196,0.43537414965986393,0.23121387283236994,1.0404624277456647,0.09473684210526316,0.23121387283236994,0.05263157894736842,17.40890688259109
"Andrew Wiggins","GSW",12,403,835,27.904191616766468,7.904191616766467,15.449101796407186,0.5116279069767442,2.395209580838323,7.065868263473054,0.3389830508474576,0.3389830508474576,4.910179640718563,7.904191616766467,7.904191616766467,6.826347305389222,0.3592814371257485,0.5,0.5409836065573771,0.95,0.31382978723404253,0.5061776595744681,0.5106382978723404,0.5471698113207547,1.1976047904191616,1.3173652694610778,0.08527131782945736,0,0,25.21276595744681
"Juan Toscano-Anderson","GSW",13,272,550,12.545454545454545,3.8181818181818183,7.2727272727272725,0.525,1.4545454545454546,4.181818181818182,0.34782608695652173,0.34782608695652173,0.5454545454545454,3.6363636363636362,4,4.363636363636363,0,0.47619047619047616,0.5882352941176471,1,0.36507936507936506,0.5359658730158731,0.5238095238095238,0.5307692307692308,1.4545454545454546,1.0909090909090908,0.15,0.18181818181818182,0.043478260869565216,12.96
"Kevon Looney","GSW",20,262,542,12.546125461254613,5.166051660516605,11.992619926199263,0.4307692307692308,0.18450184501845018,2.5830258302583027,0.07142857142857142,0.07692307692307693,1.6605166051660516,5.166051660516605,5.166051660516605,0.5535055350553506,0,0.5,0.6363636363636364,1,0.17721518987341772,0.4960814102564103,0.37341772151898733,0.4146341463414634,2.2140221402214024,1.1070110701107012,0.09230769230769231,0,0,15.537190082644628
"Mychal Mulder","GSW",7,204,415,18.55421686746988,2.4096385542168677,3.6144578313253013,0.6666666666666666,3.855421686746988,12.53012048192771,0.3076923076923077,0.3076923076923077,2.1686746987951806,4.819277108433735,0,11.566265060240964,0,1,1,1,0.7761194029850746,0.5304067164179105,0.5074626865671642,0.5277777777777778,0,0,0,0,0,16.812227074235807
