"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"James Harden","HOU",72,2633,5578,44.15561133022589,7.099318752240946,12.710648978128361,0.5585331452750353,5.665112943707422,16.045177482968807,0.35307262569832404,0.3534675615212528,12.961634994621729,1.9720329867335962,12.226604517748298,2.9580494801003945,14.037289351021872,0.1388888888888889,0.14473684210526316,0.17405063291139242,0.5579800498753117,0.5252281971303805,0.5423940149625935,0.6281653746770026,0.5736823234134099,1.5059160989602007,0.11847672778561354,0.2151308712800287,0.013407821229050279,36.028823058446754
"P.J. Tucker","HOU",76,2614,5541,9.763580581122541,1.3354990073993864,2.4363833243096913,0.5481481481481482,2.129579498285508,5.8473199783432595,0.36419753086419754,0.36419753086419754,0.7038440714672441,1.8769175239126512,0.7940804908861216,6.334596643205198,0.05414185165132648,0.7027027027027027,0.9122807017543859,0.9915254237288136,0.7058823529411765,0.5570827886710239,0.5468409586056645,0.5612033195020747,0.6136076520483668,0.16242555495397942,0.06666666666666667,0.09023641941887746,0.015432098765432098,9.014675052410901
"Danuel House Jr.","HOU",67,2060,4393,16.526291827908036,2.5722740723878896,4.598224447985431,0.5594059405940595,3.1868882312770315,8.718415661279307,0.36553524804177545,0.36578947368421055,1.821078989301161,3.7787389027999088,1.3658092419758707,9.08263145913954,0.47803323469155473,0.7345132743362832,0.7904761904761904,0.95,0.6547008547008547,0.5692102233676976,0.5521367521367522,0.5789473684210527,0.36421579786023217,0.4325062599590257,0.09405940594059406,0.04552697473252902,0.005221932114882507,14.014300306435137
"Russell Westbrook","HOU",57,2049,4489,34.595678324793944,12.229895299621296,23.791490309645802,0.5140449438202247,1.225217197594119,4.744932056137224,0.25821596244131456,0.25471698113207547,6.460236132768991,5.747382490532413,18.712408108710182,2.405881042548452,1.2697705502339052,0.23497267759562843,0.24478178368121442,0.6545454545454545,0.16627634660421545,0.5272304143862393,0.4929742388758782,0.5353675450762829,0.9801737580752952,1.8044107819113389,0.07584269662921349,0,0,33.78459088194306
"Ben McLemore","HOU",75,1683,3604,20.477247502774695,1.7203107658157604,2.6637069922308547,0.6458333333333334,5.216426193118757,13.013318534961154,0.40085287846481876,0.4025695931477516,1.3873473917869035,2.9966703662597114,0.4439511653718091,15.149833518312986,0.49944506104328523,0.8709677419354839,0.9,0.9680851063829787,0.8300884955752212,0.5601855992844366,0.6088495575221239,0.6203703703703703,0.11098779134295228,0.38845726970033295,0.14583333333333334,0.19422863485016648,0.014925373134328358,16.060756972111555
"Austin Rivers","HOU",72,1677,3595,17.10709318497914,3.310152990264256,6.731571627260084,0.49173553719008267,2.753824756606398,7.872044506258693,0.3498233215547703,0.3498233215547703,2.2253129346314324,1.7246175243393602,4.895688456189151,5.757997218358832,2.5034770514603615,0.2605042016806723,0.2627118644067797,0.696969696969697,0.539047619047619,0.5319641221374045,0.5095238095238095,0.5366492146596858,0.055632823365785816,0.8066759388038943,0.11983471074380166,0,0,15.728643216080403
"Clint Capela","HOU",39,1279,2736,19.846491228070175,8.91812865497076,14.181286549707602,0.6288659793814433,0,0,0,0,2.010233918128655,14.32748538011696,3.508771929824561,0,0,0.8032786885245902,0.9560975609756097,0,0,0.5829721649484536,0.6288659793814433,0.6270207852193995,2.8508771929824563,1.4619883040935673,0.10309278350515463,0,0,15.887251761691225
"Eric Gordon","HOU",40,1152,2496,23.91826923076923,3.886217948717949,8.092948717948717,0.4801980198019802,4.126602564102564,13.501602564102564,0.3056379821958457,0.3074626865671642,3.766025641025641,3.8461538461538463,3.926282051282051,9.615384615384615,2.764423076923077,0.4948453608247423,0.4948453608247423,0.7766990291262136,0.6252319109461967,0.5205155493482309,0.46660482374768086,0.5051282051282051,0,1.0817307692307692,0.13366336633663367,0.20032051282051283,0.01483679525222552,22.99349240780911
"Robert Covington","HOU",26,838,1772,16.196388261851016,2.200902934537246,3.6681715575620766,0.6,3.4424379232505644,10.609480812641083,0.324468085106383,0.32620320855614976,1.4672686230248306,3.386004514672686,1.0158013544018059,10.327313769751694,0,0.7692307692307693,0.9375,1,0.7430830039525692,0.5511193227091633,0.5158102766798419,0.5394736842105263,0.7900677200902935,0.33860045146726864,0.09230769230769231,0.16930022573363432,0.015957446808510637,15.639564992232005
"Jeff Green","HOU",22,547,1178,24.533106960950764,5.857385398981324,7.555178268251273,0.7752808988764045,3.480475382003396,8.99830220713073,0.3867924528301887,0.3942307692307692,2.3769100169779285,7.470288624787776,4.244482173174872,9.67741935483871,0.7640067911714771,0.6376811594202898,0.6666666666666666,0.926829268292683,0.5435897435897435,0.55159453125,0.6692307692307692,0.6880952380952381,0.5093378607809848,0.3395585738539898,0.0449438202247191,0.08488964346349745,0.009433962264150943,18.053375196232338
"Thabo Sefolosha","HOU",41,436,941,9.77683315621679,2.3379383634431457,3.9319872476089266,0.5945945945945946,1.5940488841657812,5.738575982996812,0.2777777777777778,0.2777777777777778,0.3188097768331562,2.763018065887354,1.9128586609989373,4.782146652497343,0,0.5909090909090909,0.7222222222222222,1,0.5934065934065934,0.5458873626373626,0.489010989010989,0.48936170212765956,0.8501594048884166,0.4250797024442083,0.10810810810810811,0.10626992561105207,0.018518518518518517,10.371075166508088
"Chris Clemons","HOU",33,291,634,25.394321766561514,3.1545741324921135,5.520504731861199,0.5714285714285714,5.83596214511041,16.876971608832807,0.34579439252336447,0.34579439252336447,1.5772870662460567,1.8927444794952681,4.416403785488959,9.936908517350158,7.570977917981073,0.3,0.3157894736842105,0.5675675675675675,0.7535211267605634,0.5301475352112677,0.5316901408450704,0.54421768707483,0.31545741324921134,0.47318611987381703,0.08571428571428572,0.15772870662460567,0.009345794392523364,23.850574712643677
"Isaiah Hartenstein","HOU",23,266,571,18.739054290718038,7.705779334500876,10.85814360770578,0.7096774193548387,0,0.8756567425569177,0,0,3.327495621716287,12.609457092819614,2.8021015761821366,0,0,0.8181818181818182,1,0,0.07462686567164178,0.5777925373134328,0.6567164179104478,0.6858974358974359,2.8021015761821366,0.3502626970227671,0.03225806451612903,0,0,14.710485133020345
