"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"T.J. Warren","IND",71,2359,4792,29.340567612687813,9.766277128547578,17.111853088480803,0.5707317073170731,2.045075125208681,5.112687813021703,0.4,0.4,3.672787979966611,11.89482470784641,7.637729549248748,5.509181969949917,0.6260434056761269,0.6089743589743589,0.6597222222222222,0.8979591836734694,0.2300469483568075,0.5086454460093897,0.5774647887323944,0.611353711790393,1.5025041736227045,0.7303839732888147,0.042682926829268296,0.041736227045075125,0.00816326530612245,23.356564324731586
"Domantas Sabonis","IND",62,2159,4368,26.25915750915751,10.096153846153847,17.88003663003663,0.5646606914212549,0.3891941391941392,1.533882783882784,0.2537313432835821,0.2537313432835821,4.8992673992674,13.14102564102564,7.051282051282051,1.1675824175824177,0,0.6507936507936508,0.7493472584856397,1,0.07900943396226415,0.5187067806603773,0.5501179245283019,0.585204081632653,2.6556776556776556,1.2591575091575091,0.07042253521126761,0.022893772893772892,0.014925373134328358,23.555919705038917
"Myles Turner","IND",66,1971,3968,20.463709677419356,5.065524193548387,9.24899193548387,0.547683923705722,2.318548387096774,6.653225806451613,0.3484848484848485,0.34980988593155893,3.377016129032258,7.157258064516129,2.973790322580645,6.955645161290323,0,0.7064676616915423,0.8160919540229885,1,0.4183835182250396,0.5110275396825397,0.5372424722662441,0.5702247191011236,1.3608870967741935,0.5796370967741935,0.06267029972752043,0,0,18.34319526627219
"Justin Holiday","IND",77,1957,4042,15.635823849579417,1.880257298367145,3.958436417615042,0.475,3.5131123206333497,8.584858980702622,0.4092219020172911,0.4139941690962099,1.3359722909450766,2.8698664027709055,0.8906481939633845,10.316674913409203,0.22266204849084612,0.7631578947368421,0.7837837837837838,0.9788732394366197,0.6844181459566075,0.5467017928286853,0.5700197238658777,0.5875232774674115,0.09896091044037605,0.5195447798119742,0.13125,0.09896091044037605,0.011527377521613832,13.070725156669651
"Malcolm Brogdon","IND",58,1826,3702,26.445164775796865,7.239330091842247,14.991896272285251,0.4828828828828829,2.2690437601296596,6.861156131820637,0.33070866141732286,0.33070866141732286,5.159373311723392,2.6472177201512697,11.831442463533225,3.079416531604538,3.727714748784441,0.1828358208955224,0.18992248062015504,0.4523809523809524,0.31396786155747836,0.507711448019802,0.48702101359703337,0.5344827586206896,0.5402485143165856,1.431658562938952,0.09549549549549549,0.10804970286331712,0.015748031496062992,25.390625
"Aaron Holiday","IND",70,1689,3464,18.99538106235566,4.445727482678984,10.219399538106236,0.4350282485875706,2.6270207852193996,6.63972286374134,0.39565217391304347,0.39737991266375544,2.222863741339492,2.7136258660508084,6.177829099307159,6.581986143187067,1.2990762124711317,0.3051948051948052,0.31333333333333335,0.8351648351648352,0.3938356164383562,0.4976250859106529,0.4974315068493151,0.5272435897435898,0.23094688221709006,0.8083140877598153,0.07909604519774012,0.028868360277136258,0.004347826086956522,18.61674466978679
"Doug McDermott","IND",73,1427,2954,24.373730534867974,4.773188896411646,8.733920108327691,0.5465116279069767,4.400812457684496,10.291130670277589,0.4276315789473684,0.4276315789473684,1.6249153689911984,8.192281651997291,1.3540961408259986,13.202437373053487,0,0.8581560283687943,0.9307692307692308,1,0.5409252669039146,0.5341529359430605,0.597864768683274,0.6153184165232358,0.7447528774542993,1.015572105619499,0.11627906976744186,0.3046716316858497,0.029605263157894735,18.969197926197012
"T.J. McConnell","IND",74,1354,2811,16.755602988260407,7.4706510138740665,14.300960512273212,0.5223880597014925,0.17787264318747775,0.6047669868374244,0.29411764705882354,0.3125,1.2806830309498398,3.4863038064745644,11.454998221273568,0.5336179295624333,0,0.23333333333333334,0.23671497584541062,1,0.0405727923627685,0.47791247002398085,0.5190930787589498,0.5389016018306636,0.21344717182497333,0.8182141586623978,0.05721393034825871,0,0,17.336764232872305
"Jeremy Lamb","IND",46,1291,2621,22.014498283098053,6.219000381533766,12.247233880198397,0.5077881619937694,2.0221289584128197,6.0282334986646315,0.33544303797468356,0.3375796178343949,3.5101106447920642,4.578405188859214,7.859595574208317,4.578405188859214,1.4879816863792446,0.36809815950920244,0.4,0.7547169811320755,0.3298538622129436,0.49224779874213836,0.5062630480167014,0.5454545454545454,0.9919877909194964,0.6104540251812285,0.04984423676012461,0,0,19.96545768566494
"Victor Oladipo","IND",23,651,1342,25.782414307004473,5.514157973174367,12.295081967213115,0.4484848484848485,3.3532041728763042,10.208643815201192,0.3284671532846715,0.3284671532846715,4.694485842026825,4.769001490312966,6.259314456035767,5.141579731743666,4.918032786885246,0.43243243243243246,0.43243243243243246,0.5111111111111111,0.45364238410596025,0.5133380398671096,0.4685430463576159,0.5133531157270029,0,0.819672131147541,0.06666666666666667,0,0,26.983050847457626
