"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"LeBron James","LAL",71,2447,5058,35.56741795175959,10.280743376828786,18.14946619217082,0.5664488017429193,3.103993673388691,8.81771451166469,0.35201793721973096,0.35201793721973096,5.693950177935943,4.903123764333729,15.658362989323843,4.329774614472123,4.98220640569395,0.23846153846153847,0.2540983606557377,0.46496815286624205,0.32697947214076245,0.5193886313465784,0.5538856304985337,0.5853976531942634,1.265322261763543,1.1862396204033214,0.06535947712418301,0.039541320680110716,0.004484304932735426,31.657063034747683
"Anthony Davis","LAL",66,2258,4759,36.22609791973104,10.779575541080058,19.68901029628073,0.5474919957310566,1.5759613364152132,4.832948098339988,0.32608695652173914,0.33185840707964603,9.939062828325278,12.607690691321706,8.951460390838411,4.6018071023324225,0.12607690691321707,0.5847953216374269,0.6593406593406593,0.9733333333333334,0.19708654670094258,0.5050064113597246,0.5359897172236504,0.6047008547008547,2.437486866988863,0.945576801849128,0.048025613660619,0,0,29.07973174366617
"Kentavious Caldwell-Pope","LAL",73,1864,3891,17.656129529683884,3.8550501156515034,7.27319455152917,0.5300353356890459,2.595733744538679,6.733487535337959,0.38549618320610685,0.38697318007662834,2.158828064764842,5.911076843998972,1.7990233873040349,7.247494217424826,0.5397070161912105,0.7666666666666667,0.8041958041958042,0.9306930693069307,0.48073394495412847,0.5359388581952118,0.5532110091743119,0.5780984719864176,0.35980467746080697,0.3855050115651503,0.053003533568904596,0.05140066820868671,0.007633587786259542,14.780443639655953
"Danny Green","LAL",72,1789,3763,15.466383204889716,2.179112410310922,4.278501195854371,0.5093167701863354,3.401541323412171,9.221365931437683,0.3688760806916426,0.3688760806916426,0.9035344140313579,2.9231995748073345,1.4350252458145096,9.965453095934095,0.2391708743024183,0.6707317073170732,0.7432432432432432,0.9765625,0.6830708661417323,0.5455893700787402,0.5393700787401575,0.5490566037735849,0.4251926654265214,0.15944724953494552,0.037267080745341616,0.07972362476747276,0.008645533141210375,13.924643107886732
"Kyle Kuzma","LAL",65,1622,3419,24.217607487569463,6.229891781222579,12.138052062006434,0.5132530120481927,2.7200935946183096,8.511260602515355,0.31958762886597936,0.3240418118466899,3.597543141269377,7.546066101199181,4.913717461245978,7.546066101199181,0.6142146826557473,0.6056338028169014,0.6515151515151515,0.9247311827956989,0.4121813031161473,0.501025429799427,0.4992917847025496,0.532258064516129,0.8774495466510676,0.6434630008774496,0.05301204819277108,0.029248318221702253,0.003436426116838488,22.60665972944849
"Dwight Howard","LAL",73,1380,2790,19.6415770609319,7.598566308243727,10.43010752688172,0.7285223367697594,0.10752688172043011,0.21505376344086022,0.5,0.5,4.121863799283154,9.46236559139785,5.734767025089606,0.3225806451612903,0,0.6226415094339622,0.9103448275862069,1,0.020202020202020204,0.5770819865319866,0.7289562289562289,0.6867167919799498,4.802867383512544,0.5734767025089605,0.054982817869415807,0,0,15.087281795511222
"Alex Caruso","LAL",68,1269,2647,13.940309784661881,3.173403853418965,6.800151114469211,0.4666666666666667,1.624480544012089,5.024556101246694,0.3233082706766917,0.32575757575757575,2.7200604457876842,3.702304495655459,2.644503211182471,4.193426520589346,0.6800151114469211,0.5833333333333334,0.5975609756097561,0.8604651162790697,0.4249201277955272,0.5289440705128204,0.4744408945686901,0.5153631284916201,0.1511144692104269,0.9822440498677748,0.14444444444444443,0.037778617302606725,0.007518796992481203,13.964417589795234
"Avery Bradley","LAL",49,1186,2500,16.92,4.28,8.4,0.5095238095238095,2.52,6.92,0.36416184971098264,0.36627906976744184,0.8,6.32,2.24,6.96,0.6,0.7383177570093458,0.7523809523809524,0.9206349206349206,0.4516971279373368,0.524616884816754,0.5261096605744126,0.5368020304568528,0.16,0.88,0.10476190476190476,0.04,0.005780346820809248,15.688367129135539
"JaVale McGee","LAL",72,1184,2467,19.213619781110662,8.350222942845562,12.930685042561816,0.64576802507837,0.12160518848804215,0.2432103769760843,0.5,0.6,2.1483583299554114,11.998378597486827,4.702067288204296,0.2432103769760843,0.12160518848804215,0.7184466019417476,0.891566265060241,0.6666666666666666,0.018461538461538463,0.5589217592592592,0.6476923076923077,0.6583333333333333,3.2428050263477908,0.7701661937576003,0.05956112852664577,0,0,14.89437880415324
"Rajon Rondo","LAL",48,984,2033,16.822429906542055,4.722085587801279,9.98524348253812,0.4729064039408867,2.016724053123463,6.148548942449582,0.328,0.328,1.3280865715691097,1.1805213969503197,8.263649778652239,3.984259714707329,2.0659124446630597,0.125,0.12903225806451613,0.6585365853658537,0.38109756097560976,0.5022275914634147,0.4801829268292683,0.49137931034482757,0.2951303492375799,0.7378258730939499,0.07389162561576355,0,0,19.11188506747932
"Quinn Cook","LAL",46,525,1105,21.176470588235293,5.701357466063349,12.126696832579185,0.4701492537313433,2.8959276018099547,7.873303167420814,0.367816091954023,0.37209302325581395,1.085972850678733,3.6199095022624435,7.782805429864253,6.515837104072398,2.171945701357466,0.31746031746031744,0.3225806451612903,0.75,0.3936651583710407,0.5012711363636364,0.502262443438914,0.5132743362831859,0.18099547511312217,0.995475113122172,0.08208955223880597,0.09049773755656108,0.011494252873563218,20.883534136546185
"Troy Daniels","LAL",41,456,940,18.51063829787234,2.3404255319148937,4.8936170212765955,0.4782608695652174,4.25531914893617,11.914893617021276,0.35714285714285715,0.35714285714285715,1.0638297872340425,3.404255319148936,1.2765957446808511,12.127659574468085,0.6382978723404256,0.7272727272727273,0.8,0.95,0.7088607594936709,0.5144224683544304,0.5189873417721519,0.5308641975308642,0.425531914893617,0.3191489361702128,0.06521739130434782,0.10638297872340426,0.008928571428571428,16.056338028169012
"Jared Dudley","LAL",47,378,767,8.865710560625814,0.7822685788787483,2.4771838331160363,0.3157894736842105,2.346805736636245,5.60625814863103,0.4186046511627907,0.4186046511627907,0.2607561929595828,1.303780964797914,0.2607561929595828,7.040417209908735,0,0.8333333333333334,1,1,0.6935483870967742,0.5274387096774193,0.532258064516129,0.5396825396825397,0.2607561929595828,0.2607561929595828,0.10526315789473684,0,0,8.372093023255815
"Markieff Morris","LAL",18,271,570,15.43859649122807,3.3333333333333335,5.964912280701754,0.5588235294117647,2.6315789473684212,8.596491228070175,0.30612244897959184,0.3125,0.8771929824561403,4.2105263157894735,2.456140350877193,6.842105263157895,1.0526315789473684,0.631578947368421,0.8,0.8666666666666667,0.5903614457831325,0.5343359756097561,0.5,0.5116279069767442,1.4035087719298245,0.3508771929824561,0.058823529411764705,0,0,14.263803680981596
"Dion Waiters","LAL",10,195,408,22.30392156862745,6.862745098039215,12.254901960784315,0.56,1.7156862745098038,7.598039215686274,0.22580645161290322,0.22580645161290322,3.4313725490196076,4.411764705882353,9.313725490196079,4.411764705882353,0.7352941176470589,0.32142857142857145,0.32142857142857145,0.8571428571428571,0.38271604938271603,0.5060037037037037,0.47530864197530864,0.5174418604651163,0,0.7352941176470589,0.06,0,0,21.88183807439825
"JR Smith","LAL",9,126,262,11.83206106870229,2.6717557251908395,5.7251908396946565,0.4666666666666667,1.9083969465648856,10.305343511450381,0.18518518518518517,0.18518518518518517,0.7633587786259542,3.053435114503817,2.2900763358778624,5.7251908396946565,0,0.5714285714285714,0.5714285714285714,1,0.6428571428571429,0.5130166666666667,0.34523809523809523,0.36046511627906974,0,0,0,0,0,18.596491228070175
"Talen Horton-Tucker","LAL",6,81,174,19.54022988505747,5.747126436781609,9.770114942528735,0.5882352941176471,2.2988505747126435,7.471264367816092,0.3076923076923077,0.3076923076923077,1.1494252873563218,6.896551724137931,4.597701149425287,6.896551724137931,0,0.6,0.6,1,0.43333333333333335,0.50896,0.5333333333333333,0.53125,0,0.5747126436781609,0.058823529411764705,0,0,18.446601941747574
"Kostas Antetokounmpo","LAL",5,20,45,15.555555555555555,6.666666666666667,6.666666666666667,1,0,0,0,0,2.2222222222222223,8.88888888888889,4.444444444444445,0,0,0.6666666666666666,0.6666666666666666,0,0,0.6484333333333333,1,0.875,0,0,0,0,0,10
"Devontae Cacok","LAL",1,9,22,27.272727272727273,13.636363636363637,27.272727272727273,0.5,0,0,0,0,0,27.272727272727273,0,0,0,1,1,0,0,0.5007,0.5,0.5,0,0,0,0,0,22.22222222222222
"Zach Norvell Jr.","LAL",2,5,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3183,0,0,0,0,0,0,0,10
