"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Bam Adebayo","MIA",76,2554,5131,23.5041902163321,8.984603391151822,16.05924770999805,0.5594660194174758,0.038978756577665176,0.2728512960436562,0.14285714285714285,0.15384615384615385,5.418047164295459,12.785032157474177,5.184174624829468,0.05846813486649776,0.05846813486649776,0.7114967462039046,0.7717647058823529,0.5,0.016706443914081145,0.5091056220095694,0.5536992840095465,0.593503937007874,1.4032352367959462,1.3057883453517833,0.08131067961165049,0.019489378288832588,0.07142857142857142,21.68632283048759
"Duncan Robinson","MIA",77,2266,4598,22.466289691170076,1.2179208351457156,1.8703784254023488,0.6511627906976745,6.133101348412353,13.766855154414962,0.44549763033175355,0.4462025316455696,1.6311439756415833,2.0008699434536754,0.43497172683775553,17.681600695954764,0.7177033492822966,0.8214285714285714,0.8214285714285714,0.9609929078014184,0.8803894297635605,0.5462407949790795,0.6662030598052852,0.6860776439089692,0,0.13049151805132667,0.06976744186046512,0.06524575902566333,0.004739336492890996,16.196488459262184
"Jimmy Butler","MIA",62,2094,4238,29.164700330344502,7.833883907503539,16.068900424728646,0.48751835535976507,0.7786691835771591,2.973100519112789,0.2619047619047619,0.2727272727272727,11.160924964605947,6.370929683813119,9.29683813119396,1.2033978291647003,1.1326097215667768,0.4066265060240964,0.42586750788643535,0.5151515151515151,0.15613382899628253,0.49442952559300873,0.47273853779429986,0.5819128787878788,0.7078810759792354,1.2033978291647003,0.07488986784140969,0,0,25.37091988130564
"Kendrick Nunn","MIA",68,1977,4008,25.723552894211576,6.611776447105789,13.098802395209582,0.5047619047619047,3.44311377245509,9.830339321357286,0.350253807106599,0.35294117647058826,2.1706586826347305,4.8902195608782435,8.333333333333334,7.7844311377245505,2.5449101796407185,0.36981132075471695,0.3726235741444867,0.7536231884057971,0.42872687704026113,0.5127259016393442,0.5136017410228509,0.5327102803738317,0.0998003992015968,1.2974051896207586,0.09904761904761905,0.1497005988023952,0.015228426395939087,24.202247191011235
"Goran Dragic","MIA",63,1800,3691,28.285017610403685,5.933351395285831,11.704145218098077,0.5069444444444444,3.6846383094012465,9.943104849634246,0.37057220708446864,0.37158469945355194,5.364399891628285,3.9013817393660255,7.965321051205636,7.558927120021674,3.4949878081820644,0.3287671232876712,0.33488372093023255,0.6838235294117647,0.4593241551939925,0.49971892230576437,0.5294117647058824,0.5693989071038251,0.2167434299647792,0.6502302898943376,0.05555555555555555,0.1625575724735844,0.01634877384196185,26.017052375152254
"Tyler Herro","MIA",59,1638,3359,24.084548972908603,5.001488538255433,10.687704674010122,0.467966573816156,3.691574873474248,9.526644834772254,0.3875,0.389937106918239,3.0068472759749927,4.525156296516821,5.477820779994046,8.841917237272998,2.232807383149747,0.4523809523809524,0.46060606060606063,0.7983870967741935,0.47128129602356406,0.4908169128508124,0.5213549337260678,0.552054794520548,0.17862459065197975,0.6847275974992557,0.06406685236768803,0.05954153021732658,0.00625,21.954484605087014
"Derrick Jones Jr.","MIA",63,1418,2843,17.90362293352093,5.240942666197679,7.738304607808653,0.6772727272727272,1.3366162504396764,4.748505100246219,0.2814814814814815,0.29457364341085274,3.4118888498065423,8.09004572634541,2.391839606049947,3.904326415758002,0.10552233556102708,0.7718120805369127,0.8846153846153846,0.9736842105263158,0.38028169014084506,0.5722098853868195,0.5802816901408451,0.6177184466019418,1.3366162504396764,0.5276116778051354,0.06818181818181818,0,0,14.027292922881625
"Kelly Olynyk","MIA",71,1355,2813,20.405261286882332,3.412726626377533,6.114468538926413,0.5581395348837209,3.483825097760398,8.709562744400996,0.4,0.4016393442622951,3.128332740846072,4.763597582651973,2.0618556701030926,9.918236757909705,0.5332385353714895,0.6979166666666666,0.7790697674418605,0.9489795918367347,0.5875299760191847,0.5333044471153847,0.5827338129496403,0.6177105831533477,0.7109847138286527,0.4976892996800569,0.08139534883720931,0,0,17.22472633612363
"Meyers Leonard","MIA",51,1034,2064,14.970930232558139,3.197674418604651,5.135658914728682,0.6226415094339622,2.567829457364341,6.2015503875969,0.4140625,0.4140625,0.872093023255814,5.329457364341085,1.065891472868217,7.267441860465116,0.436046511627907,0.8333333333333334,0.8870967741935484,0.9433962264150944,0.5470085470085471,0.5384271367521367,0.6217948717948718,0.6331967213114754,0.3875968992248062,0.436046511627907,0.08490566037735849,0.04844961240310078,0.0078125,12.385120350109409
"Jae Crowder","MIA",24,656,1344,20.535714285714285,1.9345238095238095,3.125,0.6190476190476191,4.836309523809524,11.30952380952381,0.4276315789473684,0.4304635761589404,2.1577380952380953,3.2738095238095237,0.5952380952380952,13.169642857142858,1.3392857142857142,0.8461538461538461,0.9565217391304348,0.9076923076923077,0.7835051546391752,0.5501468911917099,0.6365979381443299,0.6540284360189573,0.44642857142857145,0.44642857142857145,0.14285714285714285,0.22321428571428573,0.019736842105263157,15.296495956873315
