"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Giannis Antetokounmpo","MIL",67,2047,4488,44.16221033868093,14.193404634581105,22.459893048128343,0.6319444444444444,2.1390374331550803,6.97415329768271,0.30670926517571884,0.30670926517571884,9.358288770053475,12.477718360071302,15.909090909090908,3.5427807486631018,2.874331550802139,0.43956043956043955,0.4886561954624782,0.5520833333333334,0.23694171082513246,0.5492507954545455,0.5912187736563209,0.617665418227216,2.8520499108734403,1.6265597147950088,0.07242063492063493,0,0,37.023666265543525
"Khris Middleton","MIL",66,1978,4312,31.33116883116883,7.74582560296846,14.49443413729128,0.5344,3.6178107606679037,8.766233766233766,0.4126984126984127,0.4148936170212766,4.986085343228201,5.890538033395177,9.601113172541744,7.583487940630798,3.269944341372913,0.38023952095808383,0.39197530864197533,0.6987179487179487,0.37686939182452645,0.48764345654345653,0.5663010967098704,0.6103008204193254,0.46382189239332094,0.8116883116883117,0.056,0.16233766233766234,0.018518518518518517,26.339097427245886
"Brook Lopez","MIL",72,1941,4242,20.367751060820368,4.785478547854786,8.604431871758605,0.5561643835616439,2.593116454502593,8.156529938708157,0.3179190751445087,0.3179190751445087,3.0174446016030174,6.5535124941065535,3.0174446016030174,7.708628005657709,0.07072135785007072,0.6847290640394089,0.7433155080213903,0.990909090909091,0.4866385372714487,0.5276269338959212,0.5175808720112518,0.5545571245186136,0.7543611504007544,0.5421970768505422,0.06301369863013699,0.023573785950023574,0.002890173410404624,18.281183026146593
"Eric Bledsoe","MIL",65,1749,3854,24.88323819408407,7.161390762843799,13.440581214322782,0.5328185328185329,1.9979242345614945,5.9159314997405295,0.33771929824561403,0.33771929824561403,4.566683964711988,4.514789828749351,9.807991696938245,2.724442138038402,3.269330565646082,0.31521739130434784,0.32222222222222224,0.45454545454545453,0.30563002680965146,0.5254374664879357,0.524798927613941,0.5715137067938022,0.3113648157758173,1.0119356512714064,0.07528957528957529,0.02594706798131811,0.0043859649122807015,23.660502607871027
"Wesley Matthews","MIL",71,1729,3774,14.096449390567038,1.6163222045574988,3.3651298357180712,0.48031496062992124,3.1531531531531534,8.426073131955485,0.3742138364779874,0.3753943217665615,1.404345521992581,1.9607843137254901,1.2718600953895072,8.823529411764707,0.6359300476947536,0.6065573770491803,0.6379310344827587,0.9327731092436975,0.7146067415730337,0.5456498873873873,0.5382022471910113,0.5570824524312896,0.1589825119236884,0.45045045045045046,0.13385826771653545,0.052994170641229466,0.006289308176100629,12.536302032913843
"Donte DiVincenzo","MIL",70,1575,3427,18.50014590020426,4.58126641377298,8.141231397723956,0.5627240143369175,2.451123431572804,7.411730376422527,0.33070866141732286,0.3346613545816733,1.984242777939889,4.960606944849723,4.201925882696235,6.040268456375839,1.3131018383425737,0.5414012738853503,0.5821917808219178,0.8214285714285714,0.47654784240150094,0.5538228733459357,0.5309568480300187,0.5493934142114385,0.6419608987452582,0.7003209804493726,0.08602150537634409,0.11672016340822877,0.015748031496062992,17.46031746031746
"George Hill","MIL",63,1360,2892,20.36652835408022,4.149377593360996,7.330567081604426,0.5660377358490566,2.939142461964039,6.431535269709544,0.45698924731182794,0.4594594594594595,3.2503457814661134,3.8035961272475793,4.495159059474412,5.809128630705394,3.008298755186722,0.4583333333333333,0.49107142857142855,0.6588235294117647,0.46733668341708545,0.5351133501259446,0.621859296482412,0.6535874439461884,0.5532503457814661,0.7261410788381742,0.09905660377358491,0,0,15.708101422387134
"Pat Connaughton","MIL",71,1331,2866,13.503140265177949,2.9658060013956735,4.84996510816469,0.6115107913669064,2.1632937892533146,6.28053035589672,0.34444444444444444,0.34444444444444444,1.0816468946266573,4.326587578506629,1.6050244242847174,6.071179344033496,0.418702023726448,0.7294117647058823,0.8985507246376812,0.9354838709677419,0.5642633228840125,0.5536189655172413,0.5579937304075235,0.5758928571428571,1.1165387299371947,0.5931612002791347,0.1223021582733813,0.06978367062107467,0.011111111111111112,12.123096052222566
"Kyle Korver","MIL",62,1023,2261,18.575851393188856,1.3268465280849182,2.6979212737726668,0.4918032786885246,4.732419283502875,11.322423706324635,0.41796875,0.41796875,1.7249004865103936,2.122954444935869,0.5307386112339673,13.799203892083149,0.3980539584254755,0.8,0.8275862068965517,0.9719626168224299,0.807570977917981,0.5245854889589905,0.6009463722397477,0.6238670694864048,0.08845643520566121,0.13268465280849182,0.04918032786885246,0.13268465280849182,0.01171875,15.119047619047619
"Ersan Ilyasova","MIL",65,997,2170,19.308755760368662,4.470046082949309,8.15668202764977,0.5480225988700564,2.3502304147465436,6.451612903225806,0.36428571428571427,0.3669064748201439,3.3179723502304146,7.188940092165899,1.7511520737327189,6.912442396313364,0.1382488479262673,0.8041237113402062,0.9512195121951219,0.9803921568627451,0.4416403785488959,0.524304126984127,0.5473186119873817,0.5868347338935574,1.3824884792626728,0.5990783410138248,0.07344632768361582,0,0,16.284881299458558
