"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Julius Randle","NYK",64,2080,4237,29.454802926599008,9.417040358744394,18.291243804578713,0.5148387096774194,1.5105027141845646,5.451970734009913,0.27705627705627706,0.27705627705627706,6.089214066556526,7.59971678074109,11.234363936747698,4.248288883644088,0.28321925890960586,0.40350877192982454,0.44722222222222224,0.9375,0.22962226640159045,0.5126169980119284,0.49204771371769385,0.5375,1.840925182912438,1.5341043190936983,0.08387096774193549,0,0,27.659574468085104
"RJ Barrett","NYK",56,1704,3504,22.916666666666668,6.5353881278538815,15.125570776255708,0.4320754716981132,1.797945205479452,5.622146118721461,0.3197969543147208,0.32142857142857145,4.4520547945205475,4.623287671232877,8.447488584474886,5.051369863013699,0.3424657534246575,0.3537117903930131,0.37327188940092165,0.9365079365079365,0.27097661623108665,0.5336325068870523,0.4449793672627235,0.4774078478002378,0.684931506849315,1.6837899543378996,0.11132075471698114,0.028538812785388126,0.005076142131979695,23.927597322092737
"Mitchell Robinson","NYK",61,1412,2876,20.51460361613352,8.796940194714882,11.856745479833101,0.7419354838709677,0,0,0,0,2.920723226703755,11.752433936022253,5.84144645340751,0,0,0.6679841897233202,0.9548022598870056,0,0,0.6273228739002933,0.7419354838709677,0.7266009852216748,5.285118219749652,0.6954102920723226,0.05865102639296188,0,0,13.25734853029394
"Bobby Portis","NYK",66,1393,2864,23.324022346368714,6.91340782122905,14.03631284916201,0.4925373134328358,2.339385474860335,6.529329608938547,0.3582887700534759,0.3582887700534759,2.4790502793296088,7.82122905027933,6.005586592178771,6.91340782122905,0.10474860335195531,0.5656565656565656,0.6363636363636364,0.9850746268656716,0.3174872665534805,0.494449149659864,0.5067911714770797,0.5318471337579618,1.5363128491620113,0.9078212290502793,0.06467661691542288,0.06983240223463687,0.0106951871657754,21.496473474394357
"Marcus Morris Sr.","NYK",43,1387,2796,30.07868383404864,5.901287553648069,13.304721030042918,0.4435483870967742,4.148783977110157,9.44206008583691,0.4393939393939394,0.4461538461538462,5.829756795422031,3.4334763948497855,8.369098712446352,9.549356223175966,2.8969957081545066,0.2909090909090909,0.3037974683544304,0.7672413793103449,0.41509433962264153,0.4784552380952381,0.5330188679245284,0.5806451612903226,0.5007153075822603,0.7153075822603719,0.053763440860215055,0,0,24.219956750077234
"Elfrid Payton","NYK",45,1246,2563,17.518532969176746,6.984003121342177,14.475224346468982,0.48247978436657685,0.5462348809988294,2.6921576277799453,0.2028985507246377,0.2028985507246377,1.9118220834959032,2.96527506827936,11.002731174404994,1.404603979711276,0.23410066328521265,0.2122905027932961,0.2261904761904762,0.8571428571428571,0.15681818181818183,0.5149497727272727,0.45454545454545453,0.4696652719665272,0.8583690987124464,1.7557549746390948,0.12129380053908356,0,0,19.346140883046846
"Frank Ntilikina","NYK",57,1187,2385,14.968553459119496,3.647798742138365,8.218029350104821,0.44387755102040816,1.8448637316561844,5.744234800838575,0.32116788321167883,0.3235294117647059,2.138364779874214,1.928721174004193,5.366876310272537,4.40251572327044,1.1320754716981132,0.26436781609195403,0.26436781609195403,0.7954545454545454,0.4114114114114114,0.5121433734939759,0.4594594594594595,0.49162011173184356,0,0.5450733752620545,0.0663265306122449,0.041928721174004195,0.0072992700729927005,15.723732549595885
"Kevin Knox II","NYK",65,1166,2423,17.292612463887743,3.2604209657449443,8.336772595955427,0.3910891089108911,2.682624845233182,8.212959141560049,0.32663316582914576,0.3282828282828283,2.723895996698308,3.30169211721007,3.2191498142798185,7.428807263722658,0.6190672719768882,0.5063291139240507,0.547945205479452,0.9230769230769231,0.49625935162094764,0.523102375,0.4401496259351621,0.4654017857142857,0.49525381758151055,0.8666941807676434,0.10396039603960396,0,0,17.81713046620889
"Taj Gibson","NYK",62,1025,2060,18.398058252427184,7.912621359223301,13.20388349514563,0.5992647058823529,0.1941747572815534,0.6796116504854369,0.2857142857142857,0.2857142857142857,1.9902912621359223,11.45631067961165,4.368932038834951,0.5825242718446602,0,0.7239263803680982,0.8740740740740741,1,0.04895104895104895,0.537822027972028,0.5909090909090909,0.6132686084142395,2.7184466019417477,0.8252427184466019,0.0625,0,0,14.995787700084247
"Damyean Dotson","NYK",48,836,1720,18.662790697674417,3.546511627906977,7.383720930232558,0.48031496062992124,3.4302325581395348,9.476744186046512,0.3619631901840491,0.3619631901840491,1.2790697674418605,3.8372093023255816,3.255813953488372,8.372093023255815,1.9186046511627908,0.5409836065573771,0.559322033898305,0.8135593220338984,0.5620689655172414,0.5049794827586207,0.5155172413793103,0.5298013245033113,0.23255813953488372,0.4069767441860465,0.05511811023622047,0,0,16.320324379118095
