"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Evan Fournier","ORL",70,2213,4530,27.969094922737305,5.894039735099338,11.302428256070641,0.521484375,4.0176600441501105,10.198675496688741,0.3939393939393939,0.3939393939393939,4.1280353200883,5.121412803532009,6.666666666666667,10,2.052980132450331,0.4344569288389513,0.4393939393939394,0.8296703296703297,0.47433264887063653,0.5054432751540041,0.5544147843942505,0.5873831775700935,0.13245033112582782,0.5960264900662252,0.052734375,0.06622516556291391,0.006493506493506494,23.813306852035748
"Nikola Vucevic","ORL",66,2144,4407,30.247333787156798,9.68913092806898,18.062173814386203,0.5364321608040201,2.5641025641025643,7.329248922169276,0.3498452012383901,0.3498452012383901,3.1767642387111414,13.750850918992512,5.62741093714545,7.624234172906739,0.06807351940095303,0.7096018735362998,0.787012987012987,0.9911504424778761,0.28865058087578194,0.48863739946380697,0.533065236818588,0.5577405857740586,1.9060585432266848,1.1572498298162015,0.06407035175879397,0,0,26.547765477654774
"Markelle Fultz","ORL",76,2111,4344,21.086556169429098,7.734806629834254,15.469613259668508,0.5,0.9438305709023941,3.3609576427255985,0.2808219178082192,0.291970802919708,2.785451197053407,4.6040515653775325,10.865561694290976,2.2099447513812156,0.6215469613259669,0.2976190476190476,0.303951367781155,0.7804878048780488,0.1784841075794621,0.5004597651421507,0.48594132029339854,0.5146067415730337,0.32228360957642727,1.1970534069981584,0.07738095238095238,0.02302025782688766,0.00684931506849315,21.608247422680414
"Aaron Gordon","ORL",62,2017,4090,21.858190709046454,6.405867970660147,12.95843520782396,0.49433962264150944,1.784841075794621,5.794621026894865,0.3080168776371308,0.31601731601731603,3.6919315403422983,6.405867970660147,6.405867970660147,4.767726161369193,0.58679706601467,0.5,0.5670995670995671,0.8904109589041096,0.3089960886571056,0.5256045394736842,0.48435462842242505,0.5167630057803468,1.5158924205378974,0.9535452322738386,0.07358490566037736,0.07334963325183375,0.012658227848101266,21.014808362369337
"Terrence Ross","ORL",73,2001,4105,26.431181485992692,4.433617539585871,9.013398294762485,0.4918918918918919,4.4823386114494514,12.886723507917175,0.34782608695652173,0.3511450381679389,4.116930572472595,5.7003654080389765,3.166869671132765,11.69305724725944,1.753958587088916,0.6428571428571429,0.6464088397790055,0.8695652173913043,0.5884315906562848,0.5045596304591264,0.5094549499443827,0.5583677685950413,0.048721071863580996,0.682095006090134,0.07567567567567568,0.3654080389768575,0.02835538752362949,22.377172280626475
"D.J. Augustin","ORL",61,1524,3117,20.85338466474174,3.8819377606673084,9.015078601219122,0.4306049822064057,2.438241899262111,6.897658004491499,0.35348837209302325,0.3619047619047619,5.774783445620789,1.5399422521655437,6.2239332691690725,4.427333974975938,2.8873917228103947,0.19834710743801653,0.19834710743801653,0.6052631578947368,0.4334677419354839,0.4926267346938776,0.4737903225806452,0.5493079584775087,0,0.8662175168431184,0.09608540925266904,0.25665704202759065,0.037209302325581395,19.203210088850675
"Wes Iwundu","ORL",56,1014,2074,15.091610414657666,3.4233365477338475,7.81099324975892,0.4382716049382716,1.446480231436837,4.1947926711668275,0.3448275862068966,0.3448275862068966,3.90549662487946,3.664416586306654,3.1822565091610415,3.326904532304725,1.012536162005786,0.5352112676056338,0.5588235294117647,0.7666666666666667,0.3493975903614458,0.5064144578313253,0.46586345381526106,0.5287162162162162,0.2892960462873674,0.8678881388621023,0.1111111111111111,0,0,13.966480446927374
"Khem Birch","ORL",52,992,2019,11.490837048043586,3.9128281327389796,7.677067855373948,0.5096774193548387,0,0.04952947003467063,0,0,3.6651807825656264,5.250123823675087,2.575532441802873,0,0,0.6708860759493671,0.9137931034482759,0,0.00641025641025641,0.5061865384615384,0.5064102564102564,0.5576923076923077,2.0802377414561666,0.5943536404160475,0.07741935483870968,0,0,10.611353711790393
"Jonathan Isaac","ORL",34,980,2008,20.1195219123506,6.175298804780876,11.852589641434262,0.5210084033613446,1.593625498007968,4.681274900398407,0.3404255319148936,0.3404255319148936,2.9880478087649402,7.370517928286852,4.9800796812749,4.48207171314741,0.29880478087649404,0.5967741935483871,0.7254901960784313,0.9375,0.28313253012048195,0.5327061746987952,0.5180722891566265,0.5534246575342465,2.191235059760956,0.49800796812749004,0.04201680672268908,0,0,18.37188612099644
"Mo Bamba","ORL",62,878,1756,18.906605922551254,5.41002277904328,10.193621867881548,0.5307262569832403,2.1070615034168565,6.093394077448747,0.34579439252336447,0.34579439252336447,1.765375854214123,5.808656036446469,5.011389521640091,6.3211845102505695,0,0.5368421052631579,0.864406779661017,1,0.3741258741258741,0.5390276223776224,0.5262237762237763,0.5407166123778502,4.100227790432802,1.2528473804100229,0.12290502793296089,0.17084282460136674,0.028037383177570093,17.099461048505635
