"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Devin Booker","PHX",70,2512,5290,35.21739130434783,9.187145557655954,16.729678638941397,0.5491525423728814,2.665406427221172,7.5236294896030245,0.3542713567839196,0.3560606060606061,8.8468809073724,7.637051039697543,10.737240075614366,4.877126654064273,3.119092627599244,0.4156378600823045,0.4190871369294606,0.6099290780141844,0.3102104442712393,0.5028820562939796,0.5436477007014809,0.6108521970705726,0.15122873345935728,1.1531190926275992,0.06892655367231638,0.1323251417769376,0.017587939698492462,29.871230091494407
"Mikal Bridges","PHX",73,2042,4291,15.54416219995339,4.124912607783734,6.758331391284083,0.6103448275862069,1.6313213703099512,4.521090654859007,0.36082474226804123,0.36649214659685864,2.400372873456071,6.292239571195526,1.9575856443719413,4.82405033791657,0.06991377301328362,0.7627118644067796,0.823170731707317,0.9857142857142858,0.40082644628099173,0.5692610187110188,0.5826446280991735,0.6187384044526901,0.6059193661151246,0.6991377301328362,0.10344827586206896,0.06991377301328362,0.015463917525773196,12.787296280819056
"Ricky Rubio","PHX",65,2016,4256,19.901315789473685,4.910714285714286,11.18421052631579,0.43907563025210083,1.8327067669172932,5.075187969924812,0.3611111111111111,0.3611111111111111,4.581766917293233,2.725563909774436,7.095864661654136,4.793233082706767,0.7048872180451128,0.27751196172248804,0.28292682926829266,0.8717948717948718,0.31213872832369943,0.5086260492040521,0.47109826589595377,0.5321158690176322,0.18796992481203006,1.0103383458646618,0.09033613445378151,0,0,20.31578947368421
"Kelly Oubre Jr.","PHX",56,1933,4052,25.81441263573544,6.539980256663376,12.808489634748273,0.5105973025048169,2.665350444225074,7.576505429417572,0.3517915309446254,0.35294117647058826,4.738400789733465,7.502467917077986,5.577492596248766,7.625863770977295,0.37018756169792694,0.5735849056603773,0.6229508196721312,0.9537037037037037,0.37167070217917675,0.5455794902912622,0.5169491525423728,0.5612244897959183,1.0365251727541955,1.8015794669299112,0.14065510597302505,0.049358341559723594,0.006514657980456026,22.3841059602649
"Dario Saric","PHX",66,1632,3411,20.639108765757843,5.042509527997654,8.883025505716798,0.5676567656765676,2.4626209322779244,6.8894752272060975,0.3574468085106383,0.3574468085106383,3.1662269129287597,6.742890647903841,3.342128408091469,7.211961301671065,0.1759014951627089,0.6686046511627907,0.7467532467532467,0.9761904761904762,0.4368029739776952,0.5486620817843867,0.5539033457249071,0.5935919055649241,1.0554089709762533,1.1140428026971563,0.1254125412541254,0.11726766344180592,0.01702127659574468,17.771398747390396
"Cameron Johnson","PHX",57,1255,2638,19.10538286580743,2.6535253980288096,5.0416982562547386,0.5263157894736842,4.018195602729341,10.310841546626232,0.3897058823529412,0.39114391143911437,1.7437452615617892,3.9423805913570886,1.3646702047005308,11.940864291129644,0.11372251705837756,0.7428571428571429,0.8666666666666667,0.9905660377358491,0.671604938271605,0.5525986386138614,0.5654320987654321,0.5876168224299065,0.7581501137225171,0.45489006823351025,0.09022556390977443,0.11372251705837756,0.011029411764705883,15.577378936674569
"Deandre Ayton","PHX",38,1236,2578,26.764934057408844,11.90845616757176,21.52831652443755,0.5531531531531532,0.11636927851047324,0.504266873545384,0.23076923076923078,0.23076923076923078,2.5989138867339023,17.765709852598913,6.051202482544608,0.3491078355314197,0,0.745928338762215,0.8910505836575876,1,0.022887323943661973,0.5209798415492958,0.5484154929577465,0.5702479338842975,3.878975950349108,1.3964313421256789,0.06486486486486487,0.038789759503491075,0.07692307692307693,23.604410751206064
"Jevon Carter","PHX",58,945,1960,14.642857142857142,1.989795918367347,4.948979591836735,0.4020618556701031,3.163265306122449,7.448979591836735,0.4246575342465753,0.4305555555555556,1.1734693877551021,1.7346938775510203,2.2448979591836733,8.571428571428571,0.9183673469387755,0.4358974358974359,0.4857142857142857,0.9032258064516129,0.6008230452674898,0.5273956431535269,0.5432098765432098,0.5607843137254902,0.40816326530612246,0.45918367346938777,0.09278350515463918,0.10204081632653061,0.0136986301369863,13.135011441647597
"Aron Baynes","PHX",42,934,1950,24.666666666666668,6.358974358974359,10.923076923076923,0.5821596244131455,3.0256410256410255,8.615384615384615,0.35119047619047616,0.35119047619047616,2.871794871794872,9.333333333333334,3.3846153846153846,9.076923076923077,0,0.7338709677419355,0.8504672897196262,1,0.4409448818897638,0.5514766404199475,0.5577427821522309,0.5797101449275363,1.7435897435897436,0.717948717948718,0.06572769953051644,0.10256410256410256,0.011904761904761904,21.23569794050343
"Frank Kaminsky","PHX",39,777,1656,22.82608695652174,5.857487922705314,11.05072463768116,0.5300546448087432,2.475845410628019,7.48792270531401,0.33064516129032256,0.33064516129032256,3.683574879227053,7.971014492753623,3.743961352657005,7.427536231884058,0,0.6804123711340206,0.7586206896551724,1,0.40390879478827363,0.527134690553746,0.5162866449511401,0.5446685878962536,1.2077294685990339,1.1473429951690821,0.10382513661202186,0,0,21.02957283680175
