"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"CJ McCollum","POR",75,2751,5714,29.138956947847394,7.805390269513476,15.785789289464473,0.49445676274944567,3.6226811340567027,9.572978648932446,0.37842778793418647,0.37842778793418647,2.6601330066503324,3.5001750087504373,12.110605530276514,7.140357017850892,3.727686384319216,0.2242152466367713,0.22935779816513763,0.6570048309178744,0.3775017253278123,0.4977162870945479,0.5220841959972394,0.5400912646675359,0.35001750087504374,1.0500525026251313,0.06651884700665188,0.03500175008750438,0.003656307129798903,26.01993148551853
"Damian Lillard","POR",71,2661,5601,37.600428494911625,6.5702553115515085,12.622745938225316,0.5205091937765205,5.141938939475094,12.87270130333869,0.39944521497919555,0.40083798882681565,9.034101053383324,1.428316372076415,11.712194251026602,4.6598821638993035,10.765934654525978,0.10869565217391304,0.11049723756906077,0.3020833333333333,0.5049019607843137,0.5221654609929077,0.5602240896358543,0.6288473144236573,0.21424745581146223,1.4997321906802357,0.1188118811881188,0.1428316372076415,0.011095700416088766,29.62668784749801
"Hassan Whiteside","POR",72,2112,4385,24.538198403648803,10.148232611174459,16.396807297605474,0.6189151599443672,0.11402508551881414,0.18244013683010263,0.625,0.625,3.8996579247434435,13.135689851767388,7.160775370581528,0.34207525655644244,0,0.647191011235955,0.8861538461538462,1,0.011004126547455296,0.5276240027510316,0.6224209078404401,0.6466346153846154,5.473204104903079,0.935005701254276,0.05702364394993046,0,0,19.34048148897431
"Carmelo Anthony","POR",63,2075,4272,22.58895131086142,6.25,14.091760299625468,0.4435215946843854,2.1769662921348316,5.781835205992509,0.3765182186234818,0.3780487804878049,3.5580524344569286,4.775280898876405,7.724719101123595,6.109550561797753,0.42134831460674155,0.38202247191011235,0.4063745019920319,0.9354838709677419,0.29093050647820967,0.4874135023584906,0.4787985865724382,0.5188577586206896,0.7490636704119851,1.1470037453183521,0.08139534883720931,0.023408239700374533,0.004048582995951417,21.74732872407291
"Anfernee Simons","POR",73,1503,3141,18.879337790512576,4.457179242279529,10.156001273479783,0.438871473354232,2.483285577841452,7.513530722699777,0.3305084745762712,0.33620689655172414,2.5151225724291626,3.3747214262973575,5.5396370582617,4.871060171919771,2.5787965616045847,0.37857142857142856,0.38405797101449274,0.6538461538461539,0.4252252252252252,0.4997976406533576,0.46306306306306305,0.49580536912751677,0.1273479783508437,1.0506208213944603,0.10344827586206896,0.22285896211397643,0.029661016949152543,18.50603762987925
"Gary Trent Jr.","POR",66,1480,3095,18.77221324717286,2.9079159935379644,6.17124394184168,0.4712041884816754,3.877221324717286,9.305331179321486,0.4166666666666667,0.4181184668989547,1.3247172859450727,2.520193861066236,3.295638126009693,9.983844911147012,1.6478190630048466,0.43333333333333335,0.45348837209302323,0.8583333333333333,0.6012526096033403,0.5113229079497909,0.5636743215031316,0.5788423153692615,0.25848142164781907,0.3877221324717286,0.06282722513089005,0.09693053311793215,0.010416666666666666,15.07006005147269
"Kent Bazemore","POR",43,1111,2323,14.636246233318984,2.4537236332328884,6.67240637107189,0.36774193548387096,2.410675850193715,7.361170899698665,0.32748538011695905,0.33532934131736525,2.496771416272062,1.9801980198019802,2.9272492466637967,6.8445975032285835,0.38743004735256137,0.40350877192982454,0.4107142857142857,0.9464285714285714,0.5245398773006135,0.5366965838509317,0.4325153374233129,0.4748603351955307,0.08609556607834697,0.6457167455876023,0.0967741935483871,0.12914334911752046,0.017543859649122806,16.009191880505554
"Mario Hezonja","POR",58,936,1973,14.19158641662443,3.699949315762798,7.754688291941206,0.477124183006536,1.3684744044602128,4.460212873796249,0.3068181818181818,0.313953488372093,2.6862645717181954,3.243791180942727,4.156107450582868,3.4972123669538773,0.6082108464267613,0.4383561643835616,0.47058823529411764,0.8518518518518519,0.3651452282157676,0.5247014644351464,0.470954356846473,0.5166051660516605,0.5068423720223011,0.963000506842372,0.12418300653594772,0.05068423720223011,0.011363636363636364,14.318078840054373
"Trevor Ariza","POR",21,702,1463,15.789473684210526,3.007518796992481,5.0580997949419,0.5945945945945946,2.3239917976760083,5.809979494190021,0.4,0.4,2.802460697197539,4.511278195488722,1.5037593984962405,6.356801093643199,0.6151742993848257,0.75,0.825,0.9117647058823529,0.5345911949685535,0.5763138364779874,0.5974842767295597,0.6424581005586593,0.5468215994531784,0.4784688995215311,0.0945945945945946,0,0,12.661339889366934
"Rodney Hood","POR",21,619,1305,17.624521072796934,3.9846743295019156,7.739463601532567,0.5148514851485149,2.681992337164751,5.440613026819923,0.49295774647887325,0.49295774647887325,1.6091954022988506,2.4521072796934864,5.517241379310345,7.126436781609195,0.9195402298850575,0.3076923076923077,0.32,0.8857142857142857,0.4127906976744186,0.5010168604651163,0.6075581395348837,0.625,0.3065134099616858,0.22988505747126436,0.0297029702970297,0.07662835249042145,0.014084507042253521,13.980716253443527
"Nassir Little","POR",48,573,1198,14.357262103505843,4.257095158597663,7.679465776293823,0.5543478260869565,1.1686143572621035,4.924874791318865,0.23728813559322035,0.23728813559322035,2.337228714524207,5.843071786310517,2.671118530884808,3.5058430717863107,0,0.6862745098039216,0.8333333333333334,1,0.39072847682119205,0.5499715231788079,0.4768211920529801,0.5058823529411764,1.5025041736227045,0.8347245409015025,0.10869565217391304,0.1669449081803005,0.03389830508474576,13.523391812865498
"Skal Labissiere","POR",33,567,1181,16.088060965283656,6.604572396274344,11.346316680779001,0.582089552238806,0.2540220152413209,1.100762066045724,0.23076923076923078,0.23076923076923078,2.116850127011008,9.652836579170195,3.5563082133784927,0.7620660457239627,0,0.7307692307692307,0.8769230769230769,1,0.08843537414965986,0.5062078231292517,0.5612244897959183,0.5828220858895705,2.201524132091448,0.5927180355630821,0.05223880597014925,0,0,14.424514200298953
"Anthony Tolliver","POR",33,554,1174,10.988074957410563,1.1073253833049403,2.385008517887564,0.4642857142857143,2.5553662691652472,7.5809199318569,0.33707865168539325,0.33707865168539325,1.1073253833049403,1.8739352640545144,0.34071550255536626,7.410562180579216,0.2555366269165247,0.8461538461538461,0.9166666666666666,0.9666666666666667,0.7606837606837606,0.541918376068376,0.49572649572649574,0.516,0.17035775127768313,0.2555366269165247,0.10714285714285714,0.17035775127768313,0.02247191011235955,11.145038167938932
"Jusuf Nurkic","POR",13,418,872,25,8.600917431192661,16.513761467889907,0.5208333333333334,0.6880733944954128,2.293577981651376,0.3,0.3,5.73394495412844,11.697247706422019,5.504587155963303,1.7201834862385321,0.3440366972477064,0.68,0.8095238095238095,0.8333333333333334,0.12195121951219512,0.5147862804878048,0.5121951219512195,0.5706806282722513,2.7522935779816513,0.6880733944954128,0.041666666666666664,0,0,22.851365015166834
"Zach Collins","POR",12,297,614,13.029315960912053,4.071661237785016,7.980456026058632,0.5102040816326531,1.3029315960912051,3.420195439739414,0.38095238095238093,0.38095238095238093,0.9771986970684039,5.537459283387622,2.6058631921824102,3.9087947882736156,0,0.68,0.8095238095238095,1,0.3,0.538285,0.5285714285714286,0.5405405405405406,1.3029315960912051,0.9771986970684039,0.12244897959183673,0,0,12.809315866084425
"Caleb Swanigan","POR",20,265,546,10.989010989010989,4.761904761904762,7.509157509157509,0.6341463414634146,0,0.3663003663003663,0,0,1.465201465201465,6.95970695970696,2.5641025641025643,0,0,0.7307692307692307,0.7916666666666666,0,0.046511627906976744,0.5292313953488372,0.6046511627906976,0.5882352941176471,0.7326007326007326,0.3663003663003663,0.04878048780487805,0,0,13.223140495867769
"Wenyen Gabriel","POR",24,236,485,14.02061855670103,3.5051546391752577,6.391752577319588,0.5483870967741935,1.6494845360824741,3.711340206185567,0.4444444444444444,0.4444444444444444,2.0618556701030926,4.536082474226804,2.4742268041237114,4.948453608247423,0,0.6470588235294118,0.9166666666666666,1,0.3673469387755102,0.5551979591836735,0.5918367346938775,0.6071428571428571,2.0618556701030926,0.41237113402061853,0.06451612903225806,0,0,12.720848056537102
"Jaylen Hoard","POR",15,124,262,17.557251908396946,7.251908396946565,13.358778625954198,0.5428571428571428,0,1.1450381679389312,0,0,3.053435114503817,6.870229007633588,7.633587786259542,0,0,0.47368421052631576,0.75,0,0.07894736842105263,0.5923184210526317,0.5,0.5348837209302325,5.343511450381679,1.5267175572519085,0.11428571428571428,0.3816793893129771,0.3333333333333333,15.555555555555555
"Moses Brown","POR",9,33,73,15.068493150684931,5.47945205479452,13.698630136986301,0.4,0,0,0,0,4.109589041095891,8.219178082191782,2.73972602739726,0,0,0.75,1,0,0,0.59968,0.4,0.39285714285714285,2.73972602739726,0,0,0,0,20.731707317073173
"Jaylen Adams","POR",2,19,38,10.526315789473685,5.2631578947368425,7.894736842105263,0.6666666666666666,0,10.526315789473685,0,0,0,5.2631578947368425,5.2631578947368425,0,0,0.5,0.5,0,0.5714285714285714,0.5562357142857143,0.2857142857142857,0.2857142857142857,0,0,0,0,0,14.893617021276597
