"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Pascal Siakam","TOR",64,2244,4714,30.844293593551125,8.336868901145523,16.758591429783625,0.49746835443037973,2.9062367416207042,8.188375053033518,0.3549222797927461,0.35584415584415585,5.451845566397964,7.212558336868901,9.461179465422147,5.854900296987696,2.8638099278744167,0.43256997455470736,0.4497354497354497,0.6715328467153284,0.3282312925170068,0.5102391489361703,0.5089285714285714,0.5504935459377372,0.6364022061943148,1.2515910055154857,0.07468354430379746,0.06364022061943148,0.007772020725388601,28.329484218629716
"Kyle Lowry","TOR",62,2218,4649,25.295762529576255,3.785760378576038,7.571520757152076,0.5,3.699720369972037,10.518391051839105,0.35173824130879344,0.35610766045548653,6.625080662508066,1.8498601849860186,5.721660572166058,6.00129060012906,5.097870509787051,0.24431818181818182,0.2471264367816092,0.5406976744186046,0.5814506539833532,0.5233778511404562,0.5160523186682521,0.5824064711830131,0.08604000860400086,0.903420090342009,0.11931818181818182,0.10755001075500108,0.010224948875255624,22.73344981556979
"OG Anunoby","TOR",73,2195,4569,16.830816371197198,4.508645217771941,7.76975268111184,0.5802816901408451,2.0354563361785947,5.274677172247757,0.38589211618257263,0.38589211618257263,1.707156927117531,5.778069599474721,3.239220836069162,5.843729481286934,0.262639527248851,0.6407766990291263,0.6984126984126984,0.956989247311828,0.40436241610738255,0.5798130872483221,0.5796979865771812,0.5961240310077519,0.7441453272050776,1.3350842635149924,0.17183098591549295,0.06565988181221274,0.012448132780082987,14.407620559634848
"Fred VanVleet","TOR",58,2061,4265,24.314185228604924,4.2907385697538105,9.847596717467761,0.4357142857142857,3.868698710433763,9.566236811254397,0.40441176470588236,0.40594059405940597,4.126611957796014,1.5474794841735053,7.033997655334115,7.94841735052755,3.6576787807737396,0.18032786885245902,0.18032786885245902,0.6848484848484848,0.4927536231884058,0.5271125606796117,0.519927536231884,0.5636561479869423,0,1.1488862837045721,0.11666666666666667,0.11723329425556858,0.012254901960784314,22.179732313575524
"Serge Ibaka","TOR",59,1579,3283,28.08406944867499,9.016143770941213,15.930551325007615,0.5659655831739961,2.375875723423698,5.970149253731344,0.3979591836734694,0.3979591836734694,2.924154736521474,14.316174230886384,3.71611331099604,7.127627170271094,0,0.793918918918919,0.9288537549407114,1,0.2726008344923505,0.4991969401947149,0.5744089012517385,0.5948387096774194,2.6195552848004873,0.6701187937861712,0.04206500956022945,0,0,24.201909959072307
"Norman Powell","TOR",56,1575,3336,26.97841726618705,6.085131894484412,10.371702637889689,0.5867052023121387,3.567146282973621,8.842925659472423,0.4033898305084746,0.4075342465753425,4.106714628297362,8.15347721822542,4.016786570743405,10.071942446043165,0.6294964028776978,0.6699507389162561,0.68,0.9411764705882353,0.46021840873634945,0.5456649371069182,0.5951638065522621,0.6292134831460674,0.17985611510791366,1.079136690647482,0.10404624277456648,0,0,21.500407719488994
"Terence Davis","TOR",75,1263,2630,21.93916349809886,4.182509505703422,7.642585551330798,0.5472636815920398,3.840304182509506,9.657794676806084,0.39763779527559057,0.39920948616600793,2.053231939163498,3.574144486692015,4.7908745247148286,10.494296577946768,1.026615969581749,0.42727272727272725,0.5164835164835165,0.9108910891089109,0.5582417582417583,0.5546831497797357,0.5747252747252747,0.6022964509394572,1.4448669201520912,0.9885931558935361,0.12935323383084577,0.07604562737642585,0.007874015748031496,18.53577371048253
"Marc Gasol","TOR",48,1241,2589,13.750482811896486,2.5878717651602936,5.44611819235226,0.475177304964539,2.317497103128621,6.1413673232908454,0.37735849056603776,0.37735849056603776,1.6222479721900347,3.4762456546929315,1.6994978756276555,6.952491309385863,0,0.6716417910447762,0.703125,1,0.53,0.5141565,0.5233333333333333,0.5493827160493827,0.23174971031286212,0.2703746620316725,0.04964539007092199,0,0,13.889875666074602
"Rondae Hollis-Jefferson","TOR",63,1152,2373,18.036241045090602,6.531816266329541,13.190054782975137,0.4952076677316294,0.1264222503160556,1.011378002528445,0.125,0.13043478260869565,4.593341761483354,8.34386852085967,4.71976401179941,0.37926675094816686,0,0.6387096774193548,0.7857142857142857,1,0.0712166172106825,0.5500885416666667,0.4732937685459941,0.5297029702970297,2.444163506110409,1.1378002528445006,0.08626198083067092,0,0,16.878865041833397
"Patrick McCaw","TOR",37,908,1885,9.018567639257295,2.3342175066313,4.827586206896552,0.4835164835164835,1.220159151193634,3.7665782493368702,0.323943661971831,0.323943661971831,0.6896551724137931,2.6525198938992043,2.0159151193633953,3.660477453580902,0,0.5681818181818182,0.5952380952380952,1,0.4382716049382716,0.5416746913580247,0.4845679012345679,0.5,0.21220159151193635,0.4244031830238727,0.08791208791208792,0,0,9.467174119885824
