"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Donovan Mitchell","UTA",74,2545,5186,35.53798688777478,9.005013497878904,18.048592364057075,0.49893162393162394,3.760123409178558,9.949865021210952,0.37790697674418605,0.3816046966731898,6.247589664481295,3.8565368299267258,14.153490165831084,6.363285769379098,4.917084458156576,0.21413276231263384,0.22123893805309736,0.5641025641025641,0.35537190082644626,0.47806554941257773,0.5230716253443526,0.5689869484151647,0.5784805244890089,0.9255688391824142,0.05128205128205128,0.11569610489780177,0.011627906976744186,31.50278940027894
"Rudy Gobert","UTA",73,2523,5119,21.762062902910724,8.263332682164485,11.916389919906232,0.6934426229508197,0,0,0,0,5.235397538581754,12.502441883180309,4.0242234811486615,0,0,0.7565011820330969,0.943952802359882,0,0,0.5686567213114755,0.6934426229508197,0.6902106567534076,3.281890994334831,1.1134987302207462,0.09344262295081968,0,0,16.654904728299226
"Joe Ingles","UTA",77,2302,4670,16.25267665952891,2.3768736616702357,4.475374732334047,0.5311004784688995,3.2762312633832975,8.222698072805139,0.3984375,0.39947780678851175,1.6702355460385439,1.7558886509635974,2.9978586723768736,6.552462526766595,3.2762312633832975,0.36936936936936937,0.3761467889908257,0.6666666666666666,0.6475548060708263,0.522845945945946,0.5741989881956155,0.5948275862068966,0.08565310492505353,0.4068522483940043,0.09090909090909091,0.042826552462526764,0.005208333333333333,15.045096910381885
"Royce O'Neale","UTA",76,2218,4482,10.6871932173137,1.5171798304328425,2.85586791610888,0.53125,2.2311468094600624,5.778670236501561,0.3861003861003861,0.3937007874015748,0.9593931280678268,2.49888442659527,0.535475234270415,6.693440428380187,0,0.8235294117647058,0.8484848484848485,1,0.6692506459948321,0.5382370078740158,0.5633074935400517,0.5799031476997578,0.0892458723784025,0.2677376171352075,0.09375,0,0,9.732555801327168
"Bojan Bogdanovic","UTA",63,2083,4260,29.929577464788732,5.375586854460094,11.220657276995306,0.4790794979079498,4.436619718309859,10.727699530516432,0.4135667396061269,0.4144736842105263,5.868544600938967,5.446009389671362,5.305164319248826,11.408450704225352,1.9014084507042253,0.5065502183406113,0.5201793721973094,0.8571428571428571,0.48877005347593583,0.515323982869379,0.5481283422459893,0.5988593155893536,0.28169014084507044,1.5023474178403755,0.13389121338912133,0.18779342723004694,0.0175054704595186,25.63123276044982
"Mike Conley","UTA",50,1454,2967,25.10953825412875,4.8870913380519045,11.02123356926188,0.4434250764525994,3.6737445230872936,9.369733737782271,0.3920863309352518,0.3978102189781022,4.314122008763061,2.4266936299292214,7.347489046174587,6.8756319514661275,4.145601617795753,0.2482758620689655,0.2482758620689655,0.6238532110091743,0.45950413223140496,0.4918581803005008,0.5099173553719009,0.5516467065868264,0,0.5055611729019212,0.045871559633027525,0.06740815638692282,0.007194244604316547,23.042032053220442
"Jordan Clarkson","UTA",47,1184,2400,31.291666666666668,7.416666666666667,13.458333333333334,0.5510835913312694,4.5,12.166666666666666,0.3698630136986301,0.3724137931034483,2.9583333333333335,3.3333333333333335,11.5,10.125,3.375,0.2247191011235955,0.24096385542168675,0.75,0.47479674796747967,0.5011485318107667,0.5528455284552846,0.5770416024653313,1,1.375,0.1021671826625387,0.041666666666666664,0.003424657534246575,26.292466765140325
"Georges Niang","UTA",71,1011,2062,21.047526673132882,2.909796314258002,5.33462657613967,0.5454545454545454,4.75266731328807,11.930164888457808,0.3983739837398374,0.3983739837398374,0.9699321047526673,2.812803103782735,3.0067895247332688,14.11251212415131,0.1454898157129001,0.48333333333333334,0.5087719298245614,0.9897959183673469,0.6910112359550562,0.5302414325842697,0.5814606741573034,0.5896739130434783,0.2909796314258002,0.3879728419010669,0.07272727272727272,0.09699321047526673,0.008130081300813009,17.086715079026057
"Emmanuel Mudiay","UTA",57,883,1831,22.282905516111416,6.772255598033861,13.708356089568541,0.4940239043824701,1.7476788640087384,4.915346805024576,0.35555555555555557,0.3595505617977528,3.495357728017477,3.713817586018569,9.830693610049153,3.7684325505188423,1.4746040415073731,0.27419354838709675,0.2764227642276423,0.71875,0.26392961876832843,0.49141548672566376,0.5043988269794721,0.5354330708661418,0.10922992900054615,1.2561441835062808,0.09163346613545817,0,0,22.341463414634145
"Tony Bradley","UTA",63,707,1451,20.261888352860097,8.61474844934528,13.370089593383874,0.6443298969072165,0.2067539627842867,0.2067539627842867,1,1,2.412129565816678,11.99172984148863,5.23776705720193,0.6202618883528601,0,0.696,0.9560439560439561,1,0.015228426395939087,0.5504771573604061,0.6573604060913706,0.6681818181818182,4.686423156443832,1.5851137146795313,0.11855670103092783,0,0,15.31966224366707
