"Name","TeamAbbreviation","GamesPlayed","Minutes","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers"
"Trae Young","ATL",60,2120,10.332022717343818,2.4464831804281344,0.06299212598425197,0.5024027959807776,1.0266491917868064,0.48936170212765956,0.32765399737876805,0.6989951944080385,0.46875,0.45871559633027525,0.5759493670886076,0.6235955056179775,0.4843535087719298,0.17474879860200962,0.32765399737876805,0.189873417721519,0.5333333333333333,0.25,0.08737439930100481,0.1529051987767584,0.08860759493670886,0.5714285714285714,1,0.24027959807776322,0.54608999563128,0.31645569620253167,0.44,0.9090909090909091,0.37134119702927043
"De'Andre Hunter","ATL",63,2018,10.771028037383177,1.9158878504672898,0.10539845758354756,0.37383177570093457,0.8644859813084113,0.43243243243243246,0.2803738317757009,0.7009345794392523,0.4,0.32710280373831774,0.5074626865671642,0.5466666666666666,0.5509056818181818,0.2570093457943925,0.5841121495327103,0.373134328358209,0.44,0.2727272727272727,0.09345794392523364,0.16355140186915887,0.1044776119402985,0.5714285714285714,1,0.18691588785046728,0.5373831775700935,0.34328358208955223,0.34782608695652173,1,0.18691588785046728
"Kevin Huerter","ATL",56,1760,10.65989847715736,1.5762757146673791,0.08625730994152046,0.24044883783061716,0.5076142131979695,0.47368421052631576,0.32059845044082286,0.7213465134918514,0.4444444444444444,0.1335826876836762,0.5869565217391305,0.6041666666666666,0.5428177419354838,0.16029922522041143,0.2671653753673524,0.21739130434782608,0.6,0.5,0.10686615014694095,0.18701576275714668,0.15217391304347827,0.5714285714285714,0.5,0.2137323002938819,0.5343307507347048,0.43478260869565216,0.4,1,0.18701576275714668
"Cam Reddish","ATL",58,1551,10.706766917293233,1.9248120300751879,0.10491803278688525,0.5112781954887218,1.0225563909774436,0.5,0.24060150375939848,0.6616541353383458,0.36363636363636365,0.18045112781954886,0.5178571428571429,0.5245901639344263,0.5440073529411764,0.39097744360902253,0.6616541353383458,0.39285714285714285,0.5909090909090909,0.46153846153846156,0.06015037593984962,0.12030075187969924,0.07142857142857142,0.5,1,0.18045112781954886,0.5413533834586466,0.32142857142857145,0.3333333333333333,1,0.18045112781954886
"John Collins","ATL",41,1363,10.598761183757743,4.783207157604955,0.15706214689265538,1.9614590502408809,3.0626290433585686,0.6404494382022472,0.06882312456985547,0.516173434273916,0.13333333333333333,0.653819683413627,0.5769230769230769,0.5889830508474576,0.5595123529411764,1.82381280110117,2.615278733654508,0.7307692307692307,0.6973684210526315,0.16981132075471697,0.034411562284927734,0.10323468685478321,0.028846153846153848,0.3333333333333333,1,0.034411562284927734,0.41293874741913283,0.11538461538461539,0.08333333333333333,0,0.20646937370956642
"DeAndre' Bembry","ATL",43,915,11.320754716981131,1.5298317185109638,0.12048192771084337,0.4589495155532891,0.9178990311065782,0.5,0.1529831718510964,0.3059663437021928,0.5,0.1529831718510964,0.5625,0.5357142857142857,0.5299076923076923,0.35696073431922487,0.6629270780214176,0.5416666666666666,0.5384615384615384,0.14285714285714285,0.05099439061703213,0.10198878123406425,0.08333333333333333,0.5,1,0.10198878123406425,0.2039775624681285,0.16666666666666666,0.5,1,0.25497195308516063
"Damian Jones","ATL",55,887,10.537519957424161,3.2464076636508783,0.19934640522875818,1.1176157530601383,1.9159127195316659,0.5833333333333334,0.05321979776476849,0.05321979776476849,1,0.8515167642362959,0.6081081081081081,0.648936170212766,0.597801923076923,1.1176157530601383,1.9159127195316659,0.972972972972973,0.5833333333333334,0.14285714285714285,0.05321979776476849,0.05321979776476849,0.02702702702702703,1,1,0,0,0,0,0,0.05321979776476849
"Vince Carter","ATL",60,876,9.551760939167556,1.7075773745997866,0.10738255033557047,0.37353255069370334,0.5869797225186766,0.6363636363636364,0.26680896478121663,0.6937033084311632,0.38461538461538464,0.16008537886872998,0.6041666666666666,0.6153846153846154,0.5399657894736842,0.10672358591248667,0.21344717182497333,0.16666666666666666,0.5,0,0.05336179295624333,0.21344717182497333,0.16666666666666666,0.25,0,0.21344717182497333,0.48025613660619,0.375,0.4444444444444444,0.75,0.16008537886872998
"Jabari Parker","ATL",32,837,10.824453168816602,4.094223219293326,0.15208333333333332,1.7386427369601796,2.748177229388671,0.6326530612244898,0.11217049915872125,0.5608524957936063,0.2,0.28042624789680315,0.576271186440678,0.5887096774193549,0.5670329545454545,1.5703869882220975,2.4677509814918674,0.7457627118644068,0.6363636363636364,0.17857142857142858,0.11217049915872125,0.2243409983174425,0.06779661016949153,0.5,1,0,0.33651149747616377,0.1016949152542373,0,0,0.33651149747616377
"Alex Len","ATL",40,745,11.075949367088608,4.936708860759493,0.22349570200573066,1.9620253164556962,3.4177215189873418,0.5740740740740741,0.06329113924050633,0.189873417721519,0.3333333333333333,0.8227848101265823,0.5701754385964912,0.609375,0.5782635416666667,1.7721518987341771,2.9746835443037973,0.8245614035087719,0.5957446808510638,0.17857142857142858,0.06329113924050633,0.06329113924050633,0.017543859649122806,1,1,0,0.12658227848101267,0.03508771929824561,0,0,0.4430379746835443
