"Name","TeamAbbreviation","GamesPlayed","Minutes","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers"
"Jayson Tatum","BOS",70,2410,11.500303705203482,2.753593844907876,0.08217522658610273,0.7896335290544645,1.7412431666329216,0.45348837209302323,0.28345818991698724,0.7086454747924681,0.4,0.32395221704798544,0.49586776859504134,0.5152671755725191,0.5164261363636364,0.5669163798339745,1.1135857461024499,0.45454545454545453,0.509090909090909,0.35714285714285715,0.14172909495849362,0.22271714922049,0.09090909090909091,0.6363636363636364,0.5714285714285714,0.14172909495849362,0.4859283255719781,0.19834710743801653,0.2916666666666667,0.8571428571428571,0.16197610852399272
"Jaylen Brown","BOS",61,2084,11.695354869134638,2.711624616835652,0.09236947791164658,0.6602216458382457,1.4147606696533837,0.4666666666666667,0.3536901674133459,0.8488564017920301,0.4166666666666667,0.33011082291912286,0.5260416666666666,0.5528846153846154,0.4966712121212122,0.5187455788729073,0.9195944352746994,0.40625,0.5641025641025641,0.18181818181818182,0.09431737797689224,0.25937278943645364,0.11458333333333333,0.36363636363636365,0.75,0.25937278943645364,0.5894836123555766,0.2604166666666667,0.44,0.9090909090909091,0.28295213393067675
"Marcus Smart","BOS",64,2063,11.959586466165414,1.574248120300752,0.08271604938271605,0.2819548872180451,0.7518796992481203,0.375,0.2819548872180451,1.0338345864661653,0.2727272727272727,0.16447368421052633,0.39473684210526316,0.41358024691358025,0.48878181818181815,0.14097744360902256,0.32894736842105265,0.18421052631578946,0.42857142857142855,0.5,0.023496240601503758,0.14097744360902256,0.07894736842105263,0.16666666666666666,1,0.25845864661654133,0.8928571428571429,0.5,0.2894736842105263,0.8181818181818182,0.21146616541353383
"Kemba Walker","BOS",60,1874,10.923276983094928,1.8205461638491547,0.05636070853462158,0.3641092327698309,0.7542262678803641,0.4827586206896552,0.28608582574772434,0.8322496749024707,0.34375,0.2340702210663199,0.5,0.5230769230769231,0.5131175,0.2340702210663199,0.41612483745123535,0.26229508196721313,0.5625,0.1111111111111111,0.02600780234070221,0.10403120936280884,0.06557377049180328,0.25,1,0.26007802340702213,0.7282184655396619,0.45901639344262296,0.35714285714285715,0.6,0.18205461638491546
"Gordon Hayward","BOS",53,1774,10.726830586328019,2.431775195893002,0.09771986970684039,0.7295325587679006,1.4860848419346122,0.4909090909090909,0.2431775195893002,0.5403944879762227,0.45,0.2431775195893002,0.54,0.5625,0.488372641509434,0.4323155903809781,0.7295325587679006,0.36,0.5925925925925926,0.0625,0,0.10807889759524453,0.05333333333333334,0,0,0.2431775195893002,0.4323155903809781,0.21333333333333335,0.5625,0.6666666666666666,0.1621183463928668
"Daniel Theis","BOS",69,1656,10.972346119536128,4.490038655961939,0.2377952755905512,1.575973832887303,2.5572405590246805,0.6162790697674418,0.11894142134998513,0.3865596193874517,0.3076923076923077,0.9812667261373773,0.5959595959595959,0.6398305084745762,0.5588320512820513,1.367826345524829,2.170680939637229,0.7373737373737373,0.6301369863013698,0.17391304347826086,0.029735355337496282,0.08920606601248884,0.030303030303030304,0.3333333333333333,1,0.08920606601248884,0.29735355337496283,0.10101010101010101,0.3,1,0.11894142134998513
"Brad Wanamaker","BOS",75,1439,11.317567567567568,1.4527027027027026,0.08514851485148515,0.2702702702702703,0.6081081081081081,0.4444444444444444,0.23648648648648649,0.33783783783783783,0.7,0.20270270270270271,0.6607142857142857,0.6935483870967742,0.516925,0.2702702702702703,0.33783783783783783,0.35714285714285715,0.8,0.5,0,0,0,0,0,0.23648648648648649,0.33783783783783783,0.35714285714285715,0.7,1,0.2702702702702703
"Grant Williams","BOS",73,1083,11.512717536813922,2.0080321285140563,0.17578125,0.8032128514056225,1.3833110218652387,0.5806451612903226,0.04462293618920125,0.31236055332440876,0.14285714285714285,0.2677376171352075,0.5131578947368421,0.5487804878048781,0.54742,0.6247211066488175,1.0263275323516288,0.6052631578947368,0.6086956521739131,0,0.04462293618920125,0.0892458723784025,0.05263157894736842,0.5,1,0,0.22311468094600626,0.13157894736842105,0,0,0.04462293618920125
"Enes Kanter","BOS",62,1044,13.30188679245283,8.537735849056604,0.36863543788187375,3.8207547169811322,6.933962264150943,0.5510204081632653,0,0.04716981132075472,0,0.8962264150943396,0.5472972972972973,0.558641975308642,0.5663463114754098,3.5377358490566038,6.509433962264151,0.9324324324324325,0.5434782608695652,0.08,0,0,0,0,0,0,0.04716981132075472,0.006756756756756757,0,0,0.330188679245283
"Semi Ojeleye","BOS",72,1039,11.717267552182163,1.1385199240986716,0.100418410041841,0.23719165085388993,0.5692599620493358,0.4166666666666667,0.14231499051233396,0.5692599620493358,0.25,0.23719165085388993,0.3958333333333333,0.46153846153846156,0.5428166666666666,0.18975332068311196,0.3795066413662239,0.3333333333333333,0.5,0.25,0,0.04743833017077799,0.041666666666666664,0,0,0.14231499051233396,0.5218216318785579,0.4583333333333333,0.2727272727272727,1,0.04743833017077799
