"Name","TeamAbbreviation","GamesPlayed","Minutes","SecondChanceOffPoss","SecondChancePoints","SecondChancePointsPct","SecondChanceFG2M","SecondChanceFG2A","SecondChanceFg2Pct","SecondChanceFG3M","SecondChanceFG3A","SecondChanceFg3Pct","SecondChanceFtPoints","SecondChanceEfgPct","SecondChanceTsPct","SecondChanceShotQualityAvg","SecondChanceAtRimFGM","SecondChanceAtRimFGA","SecondChanceAtRimFrequency","SecondChanceAtRimAccuracy","SecondChanceAtRimPctAssisted","SecondChanceCorner3FGM","SecondChanceCorner3FGA","SecondChanceCorner3Frequency","SecondChanceCorner3Accuracy","SecondChanceCorner3PctAssisted","SecondChanceArc3FGM","SecondChanceArc3FGA","SecondChanceArc3Frequency","SecondChanceArc3Accuracy","SecondChanceArc3PctAssisted","SecondChanceTurnovers"
"Devonte' Graham","CHA",63,2211,11.806187443130119,1.478616924476797,0.056768558951965066,0.29572338489535943,0.6369426751592356,0.4642857142857143,0.272975432211101,1.046405823475887,0.2608695652173913,0.06824385805277525,0.4189189189189189,0.43333333333333335,0.5159456521739131,0.1592356687898089,0.3867151956323931,0.22972972972972974,0.4117647058823529,0.14285714285714285,0.04549590536851683,0.18198362147406733,0.10810810810810811,0.25,1,0.22747952684258416,0.8644222020018199,0.5135135135135135,0.2631578947368421,0.7,0.272975432211101
"Terry Rozier","CHA",63,2164,11.874272409778813,2.863795110593714,0.10846560846560846,0.5355064027939465,1.140861466821886,0.46938775510204084,0.4190919674039581,1.071012805587893,0.391304347826087,0.5355064027939465,0.5263157894736842,0.5707547169811321,0.5247953703703704,0.44237485448195574,0.7683352735739232,0.3473684210526316,0.5757575757575758,0.15789473684210525,0.11641443538998836,0.3492433061699651,0.15789473684210525,0.3333333333333333,0.8,0.30267753201396974,0.7217694994179278,0.3263157894736842,0.41935483870967744,0.6923076923076923,0.2561117578579744
"Miles Bridges","CHA",65,1995,12.015209125475286,3.041825095057034,0.1423487544483986,0.9125475285171103,1.673003802281369,0.5454545454545454,0.3041825095057034,0.7351077313054499,0.41379310344827586,0.3041825095057034,0.5684210526315789,0.5825242718446602,0.5581811475409836,0.861850443599493,1.3434727503168569,0.5578947368421052,0.6415094339622641,0.20588235294117646,0.10139416983523447,0.22813688212927757,0.09473684210526316,0.4444444444444444,0.75,0.20278833967046894,0.5069708491761724,0.21052631578947367,0.4,1,0.2788339670468948
"P.J. Washington","CHA",58,1759,10.936607652769846,1.770416904625928,0.08732394366197183,0.6282124500285551,1.227869788692176,0.5116279069767442,0.1142204454597373,0.5139920045688178,0.2222222222222222,0.17133066818960593,0.45901639344262296,0.47692307692307695,0.5461673913043478,0.5425471159337522,0.970873786407767,0.5573770491803278,0.5588235294117647,0.3684210526315789,0.05711022272986865,0.17133066818960593,0.09836065573770492,0.3333333333333333,1,0.05711022272986865,0.34266133637921187,0.19672131147540983,0.16666666666666666,1,0.1427755568246716
"Cody Zeller","CHA",58,1341,12.649700598802395,6.025449101796407,0.2507788161993769,2.432634730538922,4.0793413173652695,0.5963302752293578,0.0374251497005988,0.1497005988023952,0.25,1.0479041916167664,0.588495575221239,0.624031007751938,0.5719648936170213,2.3577844311377247,3.779940119760479,0.8938053097345132,0.6237623762376238,0.2698412698412698,0,0,0,0,0,0.0374251497005988,0.1497005988023952,0.035398230088495575,0.25,1,0.37425149700598803
"Malik Monk","CHA",55,1169,12.059447983014863,2.462845010615711,0.10283687943262411,0.6794055201698513,1.1464968152866242,0.5925925925925926,0.25477707006369427,1.019108280254777,0.25,0.33970276008492567,0.49019607843137253,0.5272727272727272,0.5470071428571429,0.5944798301486199,0.9766454352441614,0.45098039215686275,0.6086956521739131,0.42857142857142855,0,0.25477707006369427,0.11764705882352941,0,0,0.25477707006369427,0.7643312101910829,0.35294117647058826,0.3333333333333333,0.8333333333333334,0.21231422505307856
"Bismack Biyombo","CHA",53,1029,12.081877184223664,3.7943085371942087,0.19338422391857507,1.3479780329505742,2.995506739890165,0.45,0,0,0,1.0983524712930604,0.45,0.4634146341463415,0.5397877551020408,1.1982026959560659,2.4463305042436345,0.8166666666666667,0.4897959183673469,0.25,0,0,0,0,0,0,0,0,0,0,0.34947578632051923
"Cody Martin","CHA",48,903,12.52783964365256,2.0044543429844097,0.15126050420168066,0.5011135857461024,0.89086859688196,0.5625,0.27839643652561247,0.3897550111358575,0.7142857142857143,0.16703786191536749,0.717391304347826,0.72,0.5468708333333333,0.44543429844098,0.6124721603563474,0.4782608695652174,0.7272727272727273,0.125,0.16703786191536749,0.16703786191536749,0.13043478260869565,1,1,0.111358574610245,0.22271714922049,0.17391304347826086,0.5,1,0.0556792873051225
"Marvin Williams","CHA",41,808,11.226993865030675,2.6993865030674846,0.16,0.49079754601226994,0.7975460122699386,0.6153846153846154,0.4294478527607362,1.1042944785276074,0.3888888888888889,0.4294478527607362,0.5967741935483871,0.6470588235294118,0.5643568181818183,0.3067484662576687,0.3067484662576687,0.16129032258064516,1,0,0.18404907975460122,0.49079754601226994,0.25806451612903225,0.375,1,0.24539877300613497,0.6134969325153374,0.3225806451612903,0.4,1,0.06134969325153374
"Dwayne Bacon","CHA",39,687,12.235979606700656,1.8936635105608157,0.11607142857142858,0.43699927166788055,1.1653313911143481,0.375,0.14566642388929352,0.43699927166788055,0.3333333333333333,0.5826656955571741,0.4090909090909091,0.48148148148148145,0.5053823529411765,0.29133284777858703,0.8011653313911143,0.5,0.36363636363636365,0.25,0.07283321194464676,0.07283321194464676,0.045454545454545456,1,1,0.07283321194464676,0.3641660597232338,0.22727272727272727,0.2,0,0.07283321194464676
